['603', '910', '564', '40', '482', '349', '177', '446', '294', '223', '345', '255', '31', '320', '170', '915', '119', '517', '862', '47']
['843', '961', '912', '494', '102', '650', '241', '981', '252', '870', '253', '292', '270', '385', '718', '933', '736', '160', '789', '247']
['269', '356', '74', '672', '352', '799', '495', '998', '696', '803', '795', '693', '227', '904', '597', '602', '52', '742', '3', '784']
['705', '355', '695', '29', '525', '514', '882', '109', '653', '277', '513', '940', '637', '476', '67', '407', '834', '234', '462', '640']
['200', '576', '949', '836', '18', '533', '8', '970', '248', '115', '159', '293', '489', '657', '347', '647', '214', '562', '387', '863']
['42', '161', '79', '301', '530', '837', '76', '792', '901', '633', '395', '403', '121', '312', '103', '106', '877', '660', '211', '434']
['522', '523', '401', '830', '313', '465', '258', '805', '991', '65', '982', '994', '985', '535', '26', '612', '511', '832', '604', '614']
['997', '108', '656', '725', '726', '698', '669', '69', '582', '156', '509', '88', '939', '486', '125', '32', '871', '864', '438', '235']
['0', '732', '350', '457', '412', '529', '217', '233', '581', '765', '846', '879', '341', '485', '123', '173', '306', '414', '307', '966']
['124', '537', '189', '952', '207', '611', '378', '524', '563', '920', '133', '323', '208', '113', '116', '382', '813', '360', '417', '394']
['295', '766', '684', '477', '460', '363', '951', '1', '165', '700', '995', '245', '166', '171', '187', '654', '794', '561', '433', '327']
['351', '402', '590', '667', '536', '992', '875', '580', '466', '285', '976', '478', '391', '768', '61', '814', '472', '219', '999', '174']
['368', '127', '715', '545', '442', '112', '780', '176', '30', '519', '980', '719', '606', '903', '709', '681', '737', '158', '6', '508']
['373', '775', '428', '464', '526', '757', '413', '458', '448', '932', '97', '364', '470', '288', '71', '639', '738', '556', '734', '131']
['362', '747', '909', '634', '929', '743', '459', '142', '429', '953', '699', '808', '469', '215', '938', '683', '73', '260', '50', '755']
['105', '852', '268', '271', '860', '665', '202', '14', '971', '704', '326', '264', '645', '431', '298', '510', '584', '338', '848', '493']
['134', '229', '435', '204', '439', '196', '149', '889', '518', '849', '868', '620', '361', '57', '842', '793', '956', '761', '917', '759']
['781', '785', '497', '626', '444', '817', '543', '2', '136', '892', '783', '642', '343', '49', '668', '652', '680', '779', '821', '346']
['829', '228', '9', '890', '894', '297', '21', '931', '178', '758', '267', '921', '673', '15', '947', '184', '625', '948', '374', '357']
['886', '663', '461', '741', '739', '610', '937', '790', '541', '17', '924', '678', '841', '203', '878', '691', '769', '686', '84', '110']
['11', '898', '389', '38', '872', '922', '242', '337', '221', '316', '815', '548', '366', '926', '372', '392', '107', '592', '861', '336']
['281', '972', '82', '43', '114', '484', '544', '256', '148', '749', '787', '135', '167', '623', '262', '591', '210', '27', '163', '651']
['339', '506', '419', '714', '828', '302', '914', '873', '155', '195', '549', '146', '748', '706', '60', '59', '85', '906', '454', '226']
['332', '638', '825', '45', '899', '309', '619', '989', '539', '168', '586', '95', '201', '688', '967', '583', '75', '853', '140', '867']
['10', '284', '496', '36', '957', '120', '802', '643', '831', '62', '727', '64', '979', '334', '274', '425', '826', '605', '865', '908']
['883', '635', '812', '420', '762', '216', '380', '198', '593', '777', '676', '329', '682', '325', '447', '820', '798', '911', '289', '328']
['960', '266', '117', '935', '132', '86', '122', '887', '220', '490', '305', '453', '500', '528', '568', '157', '505', '601', '617', '763']
['186', '559', '487', '746', '807', '183', '632', '48', '730', '520', '96', '321', '565', '573', '969', '379', '240', '857', '145', '199']
['888', '723', '46', '101', '371', '213', '259', '275', '671', '974', '542', '824', '348', '154', '209', '896', '677', '752', '923', '182']
['164', '39', '711', '661', '965', '194', '206', '708', '246', '555', '907', '144', '729', '756', '93', '263', '55', '538', '782', '503']
['212', '181', '712', '317', '596', '230', '383', '764', '35', '721', '180', '415', '72', '880', '56', '990', '512', '224', '474', '978']
['859', '733', '299', '422', '172', '662', '731', '499', '679', '243', '111', '609', '916', '735', '426', '222', '16', '179', '376', '456']
['375', '801', '687', '400', '405', '276', '218', '881', '290', '810', '424', '330', '796', '20', '993', '925', '169', '595', '569', '552']
['913', '430', '791', '483', '713', '897', '838', '567', '724', '943', '919', '393', '847', '560', '406', '531', '697', '359', '905', '962']
['427', '968', '89', '91', '58', '866', '24', '984', '153', '130', '315', '19', '527', '396', '33', '636', '811', '958', '416', '722']
['68', '571', '278', '694', '310', '126', '869', '515', '78', '786', '986', '631', '599', '250', '455', '613', '720', '63', '282', '354']
['99', '874', '587', '891', '463', '358', '558', '397', '955', '481', '251', '902', '835', '54', '409', '488', '236', '702', '188', '942']
['855', '231', '87', '311', '365', '239', '707', '507', '265', '504', '475', '471', '473', '480', '954', '884', '553', '25', '540', '944']
['744', '516', '823', '342', '449', '283', '450', '322', '774', '936', '816', '41', '137', '34', '963', '418', '437', '340', '440', '254']
['192', '579', '151', '575', '934', '594', '618', '900', '754', '141', '819', '432', '658', '381', '37', '550', '501', '666', '858', '685']
['197', '745', '854', '760', '451', '445', '138', '578', '44', '80', '190', '83', '436', '300', '641', '574', '51', '467', '128', '844']
['386', '238', '771', '257', '152', '893', '804', '845', '286', '147', '162', '100', '950', '674', '566', '410', '608', '776', '98', '319']
['649', '767', '398', '690', '175', '703', '441', '237', '822', '615', '624', '664', '388', '4', '370', '324', '927', '77', '570', '452']
['279', '280', '335', '92', '479', '118', '491', '959', '941', '885', '589', '94', '353', '622', '716', '498', '987', '701', '308', '443']
['856', '303', '770', '740', '833', '964', '751', '399', '588', '616', '28', '23', '646', '331', '585', '492', '827', '806', '809', '468']
['607', '928', '546', '377', '521', '818', '753', '5', '996', '655', '973', '143', '185', '66', '728', '554', '773', '314', '629', '191']
['800', '551', '70', '7', '572', '53', '287', '659', '689', '344', '502', '628', '627', '12', '22', '850', '273', '797', '750', '244']
['577', '532', '304', '630', '129', '621', '918', '411', '945', '193', '710', '534', '788', '367', '557', '670', '547', '296', '261', '232']
['423', '975', '839', '205', '851', '333', '404', '692', '249', '225', '675', '408', '717', '318', '600', '946', '876', '384', '988', '291']
['778', '13', '977', '648', '369', '840', '772', '139', '272', '895', '930', '644', '421', '90', '983', '598', '81', '390', '104', '150']
