['771', '700', '131', '368', '204', '326', '612', '10', '39', '572', '551', '381', '448']
['291', '857', '827', '945', '295', '623', '647', '516', '885', '334', '11', '9', '12']
['652', '144', '418', '569', '786', '72', '58', '75', '579', '943', '430', '813', '971']
['422', '849', '354', '42', '389', '283', '602', '176', '788', '839', '752', '968', '182']
['563', '198', '344', '86', '395', '88', '935', '722', '704', '611', '472', '105', '561']
['619', '500', '981', '716', '103', '22', '726', '810', '624', '876', '228', '28', '527']
['316', '608', '252', '216', '257', '927', '284', '130', '793', '331', '993', '636', '203']
['327', '385', '542', '844', '590', '260', '89', '646', '427', '68', '215', '755', '762']
['406', '91', '414', '96', '838', '435', '478', '988', '199', '250', '19', '180', '842']
['434', '432', '92', '297', '155', '351', '690', '377', '582', '264', '679', '576', '628']
['48', '872', '620', '454', '757', '27', '282', '481', '952', '134', '467', '442', '573']
['54', '108', '37', '229', '829', '887', '605', '34', '863', '854', '529', '902', '190']
['853', '349', '439', '585', '562', '87', '520', '878', '46', '691', '81', '989', '796']
['976', '559', '742', '425', '274', '733', '883', '391', '864', '830', '469', '931', '730']
['21', '145', '934', '242', '165', '298', '803', '506', '998', '629', '98', '174', '987']
['221', '99', '834', '505', '584', '580', '29', '749', '168', '519', '371', '702', '800']
['496', '903', '220', '117', '118', '852', '152', '369', '78', '996', '685', '739', '714']
['825', '225', '258', '850', '315', '592', '194', '947', '23', '269', '375', '490', '342']
['239', '249', '710', '463', '73', '917', '539', '983', '832', '171', '750', '109', '38']
['303', '515', '791', '475', '477', '188', '713', '4', '960', '363', '508', '440', '77']
['479', '93', '609', '756', '366', '959', '809', '848', '504', '880', '777', '189', '615']
['972', '521', '922', '219', '135', '95', '304', '637', '937', '918', '116', '862', '60']
['335', '224', '100', '393', '723', '912', '62', '932', '822', '456', '843', '748', '909']
['806', '783', '634', '324', '183', '886', '630', '263', '202', '962', '868', '20', '821']
['162', '65', '447', '337', '921', '415', '794', '593', '707', '589', '898', '83', '893']
['218', '115', '632', '656', '302', '586', '645', '44', '352']
['277', '532', '40', '856', '85', '728', '694', '990', '654']
['339', '492', '653', '695', '487', '665', '267', '895', '139']
['538', '211', '24', '677', '18', '313', '745', '881', '50']
['400', '128', '178', '309', '388', '293', '914', '7', '15']
['461', '431', '709', '877', '356', '248', '606', '141', '384']
['455', '814', '276', '692', '436', '836', '906', '271', '747']
['941', '994', '879', '889', '979', '49', '557', '410', '13']
['214', '985', '701', '977', '495', '289', '94', '815', '547']
['397', '246', '233', '540', '503', '553', '901', '873', '206']
['513', '311', '372', '744', '911', '433', '306', '905', '907']
['61', '279', '270', '437', '26', '175', '421', '292', '459']
['136', '973', '396', '696', '784', '186', '53', '129', '933']
['407', '143', '567', '780', '511', '801', '428', '318', '323']
['67', '982', '420', '266', '237', '346', '555', '450', '858']
['74', '688', '157', '507', '446', '350', '90', '328', '554']
['940', '187', '163', '682', '512', '45', '546', '510', '643']
['965', '676', '671', '600', '159', '66', '17', '36', '317']
['123', '859', '514', '441', '797', '598', '265', '107', '826']
['763', '773', '767', '882', '811', '604', '662', '724', '720']
['235', '486', '984', '792', '70', '104', '764', '154', '683']
['33', '978', '621', '577', '240', '419', '869', '807', '818']
['597', '502', '80', '322', '734', '866', '126', '195', '954']
['438', '238', '133', '705', '380', '300', '290', '995', '649']
['101', '191', '59', '273', '528', '587', '151', '574', '595']
['360', '408', '146', '967', '25', '286', '330', '35', '52']
['626', '661', '974', '951', '991', '457', '964', '464', '648']
['805', '153', '570', '799', '986', '310', '460', '668', '362']
['560', '817', '831', '896', '488', '213', '774', '212', '908']
['847', '719', '294', '670', '453', '725', '201', '870', '497']
['466', '340', '110', '192', '113', '588', '2', '735', '900']
['14', '288', '97', '664', '84', '658', '738', '798', '525']
['445', '336', '939', '948', '524', '929', '980', '374', '851']
['172', '992', '558', '518', '413', '184', '401', '938', '491']
['833', '575', '55', '522', '281', '43', '949', '405', '489']
['526', '449', '617', '312', '743', '523', '930', '394', '802']
['731', '230', '251', '737', '160', '181', '76', '753', '361']
