['315', '126', '616', '583', '243', '704', '226', '574', '932', '99', '161', '690', '461', '796', '713', '180', '611', '263', '351', '849', '888', '831', '130', '779', '293', '634', '333', '195', '176', '562', '692', '321', '196', '432', '227']
['925', '850', '88', '864', '635', '33', '27', '921', '973', '550', '957', '323', '857', '996', '387', '761', '516', '991', '559', '688', '417', '365', '360', '40', '118', '861', '67', '199', '788', '517', '937', '147', '400', '963', '534']
['0', '735', '967', '22', '873', '664', '867', '756', '296', '835', '172', '18', '685', '599', '710', '68', '844', '64', '30', '636', '994', '613', '44', '29', '655', '112', '676', '77', '477', '258', '218', '458', '833', '789', '165']
['392', '764', '886', '730', '210', '493', '622', '700', '131', '191', '348', '848', '866', '536', '376', '773', '787', '751', '774', '538', '786', '694', '917', '73', '208', '300', '70', '464', '743', '949', '31']
['235', '895', '824', '395', '703', '551', '380', '482', '995', '154', '956', '798', '249', '390', '187', '527', '617', '589', '986', '254', '39', '153', '658', '367']
['741', '361', '117', '513', '291', '439', '26', '915', '375', '540', '58', '324', '24', '814', '46', '298', '16', '736', '71', '115', '101', '577', '456', '720']
['858', '236', '768', '501', '598', '566', '469', '661', '744', '84', '146', '691', '723', '132', '446', '567', '916', '128', '487', '737', '168', '894', '149', '490']
['862', '231', '96', '659', '911', '473', '52', '984', '811', '802', '982', '74', '463', '42', '903', '221', '962', '672', '51', '868', '92', '244', '345', '139']
['657', '539', '145', '618', '97', '326', '869', '640', '160', '237', '95', '582', '366', '48', '182', '383', '137', '286', '183', '762', '13', '590', '612', '674']
['563', '954', '948', '197', '660', '86', '120', '252', '162', '629', '784', '271', '233', '340', '171', '7', '234', '437', '214', '702', '413', '359', '642', '670']
['349', '151', '998', '445', '135', '382', '342', '396', '125', '931', '799', '689', '285', '705', '281', '116', '653', '483', '976', '841', '813', '733', '448', '846']
['299', '358', '760', '110', '530', '329', '436', '820', '649', '49', '565', '697', '194', '654', '105', '474', '409', '256', '496', '230', '806', '821', '502', '232']
['492', '709', '639', '462', '515', '651', '107', '219', '414', '54', '213', '192', '871', '372', '891', '675', '980', '901', '421', '216', '475', '401', '274', '509']
['600', '28', '431', '900', '668', '398', '912', '307', '568', '430', '238', '753', '339', '904', '701', '554', '872', '778', '434', '615', '331', '330', '953', '905']
['576', '265', '805', '804', '731', '272', '586', '593', '746', '14', '53', '338', '780', '328', '279', '819', '275', '189', '851', '10', '763', '836', '552', '173']
['881', '632', '371', '212', '175', '495', '943', '211', '259', '309', '877', '429', '428', '205', '2', '707', '269', '87', '578', '443', '712', '384', '484', '127']
['524', '822', '965', '643', '488', '608', '379', '188', '682', '939', '791', '486', '75', '346', '507', '755', '839', '224', '719', '807', '993', '207', '783', '282']
['853', '239', '790', '369', '506', '772', '945', '201', '738', '80', '347', '17', '749', '377', '742', '410', '770', '609', '686', '542', '337', '808', '124', '90']
['929', '185', '997', '656', '164', '21', '893', '646', '253', '541', '399', '785', '769', '856', '222', '93', '816', '336', '828', '591', '757', '35', '344', '435']
['923', '55', '521', '926', '418', '220', '718', '947', '696', '545', '503', '273', '662', '215', '109', '163', '734', '47', '863', '78', '537', '440', '572', '19']
['426', '133', '408', '143', '397', '341', '159', '262', '472', '570', '531', '481', '970', '842', '766', '908', '556', '466', '906', '167', '547', '424', '357', '726']
['104', '717', '61', '91', '423', '897', '373', '601', '626', '425', '528', '721', '558', '716', '144', '644', '15', '564', '404', '882', '548', '624', '533', '406']
['412', '605', '267', '316', '69', '317', '422', '628', '498', '603', '313', '186', '467', '245', '114', '200', '677', '100', '82', '102', '522', '193', '875', '889']
['999', '631', '386', '388', '865', '641', '89', '284', '23', '457', '588', '627', '630', '683', '614', '826', '765', '420', '918', '391', '72', '898', '449', '520']
['318', '575', '724', '711', '818', '549', '119', '555', '20', '302', '416', '637', '870', '41', '855', '607', '985', '706', '878', '455', '981', '452', '913', '403']
['727', '320', '306', '950', '859', '511', '111', '823', '830', '966', '930', '8', '499', '887', '837', '122', '680', '585', '480', '679', '354', '129', '184', '815']
['266', '951', '59', '883', '198', '301', '121', '619', '792', '335', '684', '319', '223', '170', '9', '225', '992', '714', '453', '952', '518', '270', '663', '447']
['66', '355', '332', '374', '969', '454', '561', '57', '204', '303', '1', '98', '747', '571', '968', '362', '959', '708', '523', '353', '652', '793', '777', '385']
['880', '62', '419', '990', '771', '592', '276', '108', '294', '978', '928', '34', '32', '752', '350', '927', '292', '278', '38', '465', '489', '280', '579', '860']
['305', '975', '190', '597', '625', '415', '166', '964', '368', '693', '356', '594', '264', '277', '648', '178', '393', '543', '471', '874', '450', '759', '228', '152']
['289', '987', '843', '596', '12', '938', '505', '202', '665', '647', '546', '25', '512', '584', '847', '295', '255', '934', '748', '800', '257', '169', '519', '902']
['936', '411', '248', '914', '476', '103', '60', '138', '79', '312', '43', '304', '569', '491', '157', '478', '444', '581', '246', '767', '695', '158', '553', '529']
['460', '758', '334', '283', '50', '910', '803', '229', '63', '907', '438', '94', '775', '6', '123', '834', '81', '560', '776', '56', '394', '363', '37', '4']
['687', '754', '352', '852', '671', '113', '327', '797', '470', '389', '810', '920', '745', '666', '988', '958', '209', '83', '261', '715', '750', '36', '297', '961']
['606', '919', '854', '827', '451', '604', '650', '892', '728', '378', '508', '479', '722', '381', '268', '308', '602', '812', '621', '76', '972', '525', '179', '150']
['532', '181', '638', '832', '485', '140', '134', '885', '935', '838', '106', '944', '535', '899', '287', '500', '402', '206', '825', '250', '698', '699', '427', '148']
['5', '241', '251', '729', '203', '909', '217', '896', '155', '971', '955', '311', '433', '669', '595', '290', '974', '45', '633', '364', '514', '242', '441', '405']
['739', '510', '678', '156', '623', '497', '587', '667', '922', '725', '960', '673', '979', '924', '983', '845', '817', '142', '136', '468', '370', '781', '941', '794']
['946', '322', '645', '494', '310', '85', '580', '989', '740', '681', '573', '610', '407', '247', '544', '3', '940', '459', '260', '840', '314', '933', '504', '879']
['174', '942', '526', '977', '620', '884', '809', '343', '325', '795', '732', '11', '557', '141', '65', '177', '240', '801', '829', '890', '442', '782', '876', '288']
