['718', '313', '51', '340', '184', '351', '651', '369', '316', '778']
['626', '591', '246', '370', '100', '586', '427', '152', '539', '364']
['438', '385', '677', '584', '172', '656', '728', '392', '485', '30']
['11', '761', '131', '302', '403', '463', '541', '595', '481', '54']
['119', '383', '97', '647', '646', '338', '175', '156', '61', '740']
['17', '71', '27', '2', '690', '162', '90', '596', '21', '639']
['179', '540', '554', '159', '163', '273', '606', '382', '688', '798']
['180', '746', '122', '526', '275', '790', '662', '660', '794', '197']
['193', '511', '689', '400', '542', '772', '507', '198', '89', '555']
['227', '512', '468', '96', '102', '589', '120', '225', '533', '762']
['256', '357', '7', '460', '465', '641', '435', '579', '425', '128']
['266', '434', '603', '484', '708', '487', '522', '566', '298', '373']
['270', '737', '638', '536', '191', '666', '785', '368', '470', '203']
['280', '253', '682', '126', '744', '515', '33', '222', '719', '63']
['293', '218', '573', '145', '550', '657', '749', '674', '70', '155']
['308', '236', '414', '390', '702', '410', '685', '395', '758', '139']
['314', '331', '157', '769', '342', '208', '384', '654', '684', '42']
['326', '200', '28', '16', '202', '0', '698', '279', '549', '264']
['378', '4', '137', '705', '770', '622', '45', '443', '551', '255']
['413', '321', '81', '269', '196', '231', '52', '743', '189', '350']
['416', '374', '630', '517', '36', '304', '604', '265', '629', '445']
['418', '495', '598', '616', '500', '271', '665', '405', '40', '775']
['43', '588', '226', '695', '505', '731', '462', '76', '402', '444']
['516', '779', '776', '249', '352', '585', '608', '94', '115', '335']
['55', '244', '328', '664', '531', '251', '546', '82', '8', '475']
['6', '138', '372', '742', '125', '204', '556', '228', '88', '760']
['632', '577', '741', '663', '32', '753', '754', '240', '148', '653']
['640', '732', '365', '648', '241', '458', '432', '367', '727', '437']
['67', '366', '18', '150', '104', '62', '299', '221', '177', '375']
['681', '292', '567', '259', '134', '19', '188', '675', '669', '406']
['707', '309', '714', '658', '276', '307', '725', '233', '386', '118']
['748', '77', '491', '581', '72', '301', '575', '356', '387', '206']
['763', '693', '401', '679', '558', '683', '289', '767', '116', '752']
['667', '5', '15', '454', '130', '617', '83', '668', '534', '678']
['165', '627', '31', '234', '363', '623', '262', '260', '642', '26']
['592', '480', '671', '113', '105', '543', '710', '419', '417', '670']
['359', '25', '757', '322', '281', '506', '220', '101', '453', '123']
['498', '217', '34', '194', '548', '169', '614', '691', '547', '65']
['756', '285', '759', '466', '482', '645', '13', '433', '624', '272']
['774', '333', '649', '618', '242', '634', '492', '764', '560', '361']
['117', '20', '174', '799', '237', '411', '371', '111', '106', '23']
['354', '404', '493', '499', '48', '24', '343', '295', '303', '73']
['376', '451', '286', '44', '564', '490', '521', '766', '399', '611']
['694', '353', '329', '459', '257', '103', '793', '407', '46', '574']
['87', '187', '553', '739', '552', '457', '428', '254', '527', '635']
['146', '565', '58', '447', '396', '49', '213', '305', '661', '687']
['143', '537', '243', '673', '129', '250', '39', '593', '557', '423']
['274', '530', '724', '607', '380', '509', '755', '282', '412', '1']
['479', '633', '336', '173', '471', '38', '135', '389', '569', '721']
['53', '112', '676', '110', '609', '730', '332', '324', '168', '643']
['186', '476', '170', '306', '528', '518', '709', '637', '41', '153']
['700', '114', '327', '78', '514', '207', '312', '467', '79', '706']
['68', '160', '64', '597', '263', '782', '339', '723', '625', '86']
['441', '644', '544', '456', '601', '182', '421', '735', '697', '787']
['478', '672', '334', '545', '439', '377', '267', '599', '85', '108']
['210', '300', '132', '773', '529', '713', '783', '181', '360', '22']
['497', '494', '345', '430', '166', '323', '393', '192', '347', '795']
['158', '344', '37', '750', '659', '3', '446', '164', '594', '717']
['473', '311', '729', '426', '424', '151', '80', '167', '199', '133']
['310', '615', '786', '297', '136', '294', '580', '408', '248', '201']
['409', '337', '219', '346', '358', '362', '483', '238', '751', '532']
['620', '605', '563', '612', '183', '176', '726', '699', '600', '195']
['287', '568', '650', '216', '178', '535', '636', '149', '504', '488']
['562', '477', '223', '561', '780', '745', '455', '121', '628', '245']
['379', '75', '214', '788', '235', '415', '652', '450', '93', '701']
['613', '95', '791', '686', '513', '789', '559', '291', '538', '452']
['161', '420', '388', '348', '107', '680', '461', '602', '268', '501']
['325', '503', '341', '229', '722', '35', '733', '205', '47', '469']
['655', '211', '98', '99', '431', '284', '74', '576', '258', '508']
['486', '610', '583', '50', '59', '66', '171', '330', '711', '215']
['296', '154', '797', '436', '239', '147', '56', '736', '422', '715']
['320', '391', '355', '381', '510', '127', '496', '796', '734', '619']
['590', '144', '69', '283', '570', '224', '587', '394', '212', '440']
['720', '631', '738', '57', '578', '747', '765', '768', '252', '704']
['10', '525', '14', '703', '502', '109', '60', '124', '474', '142']
['571', '288', '230', '621', '91', '429', '185', '12', '520', '692']
['92', '277', '716', '319', '209', '261', '777', '232', '792', '318']
['572', '140', '489', '472', '29', '141', '696', '523', '784', '464']
['582', '317', '349', '84', '449', '448', '781', '190', '290', '278']
['315', '397', '9', '247', '524', '771', '519', '442', '712', '398']
