['9', '788', '177', '11', '364', '10', '26', '71', '170', '400', '193', '118', '868', '627', '982', '160', '724', '125', '511', '379', '3', '978', '549', '655', '911', '652', '713', '362', '829']
['512', '492', '539', '126', '811', '610', '115', '198', '61', '324', '570', '529', '882', '769', '256', '313', '659', '104', '770', '861', '863', '641', '827', '17', '226', '216', '714', '686', '208']
['6', '814', '413', '409', '639', '319', '744', '540', '349', '691', '329', '699', '411', '636', '425', '750', '246', '617', '422', '758', '483', '905', '150', '955', '670', '253', '587', '548', '807']
['787', '138', '831', '508', '632', '279', '615', '388', '393', '46', '898', '671', '806', '23', '14', '165', '298', '222', '568', '925', '77', '375', '886', '878', '837', '459', '880', '288', '934']
['106', '219', '867', '761', '896', '211', '635', '514', '874', '169', '623', '546', '756', '815', '58', '902', '847', '139', '34', '841', '630', '541', '404', '285', '725', '937', '322', '78', '380']
['233', '65', '80', '121', '245', '650', '516', '173', '871', '202', '970', '824', '339', '109', '282', '991', '182', '848', '416', '795', '644', '487', '941', '797', '519', '751', '44', '705', '420']
['494', '842', '781', '25', '124', '231', '574', '771', '708', '116', '598', '495', '753', '647', '852', '776', '702', '802', '261', '478', '272', '30', '710', '547', '466', '235', '603', '961', '952']
['558', '676', '18', '54', '792', '651', '194', '353', '86', '103', '12', '716', '112', '255', '47', '521', '739', '55', '293', '559', '633', '712', '887', '107', '799', '742', '434', '664', '460']
['62', '534', '638', '840', '637', '66', '977', '16', '765', '287', '839', '229', '888', '980', '7', '557', '305', '800', '271', '701', '429', '257', '564', '823', '693', '438']
['768', '221', '450', '19', '929', '924', '535', '381', '158', '532', '881', '855', '455', '225', '825', '794', '963', '356', '571', '550', '522']
['817', '428', '975', '605', '790', '114', '423', '333', '224', '50', '804', '192', '697', '141', '203', '503', '464', '481', '653', '354', '473']
['330', '439', '69', '870', '399', '131', '720', '280', '954', '906', '683', '611', '497', '415', '90', '943', '579', '269', '506', '414', '599']
['445', '560', '236', '946', '128', '137', '942', '877', '723', '260', '310', '474', '309', '692', '715', '789', '373', '277', '533', '938', '92']
['510', '431', '454', '586', '581', '677', '149', '60', '449', '976', '757', '850', '67', '895', '969', '244', '793', '264', '552', '475', '480']
['971', '812', '672', '939', '32', '507', '989', '681', '35', '144', '258', '456', '267', '743', '613', '360', '452', '145', '951', '161', '496']
['110', '746', '130', '188', '397', '845', '654', '573', '728', '120', '218', '609', '63', '79', '538', '932', '5', '371', '88', '308', '866']
['134', '527', '935', '917', '530', '391', '463', '263', '152', '734', '926', '154', '440', '186', '869', '628', '843', '968', '206', '340', '897']
['442', '48', '448', '387', '0', '846', '168', '482', '727', '85', '382', '315', '98', '543', '986', '436', '89', '299', '661', '389', '816']
['205', '791', '614', '36', '600', '826', '731', '171', '801', '166', '645', '517', '822', '953', '666', '656', '515', '471', '490', '526', '444']
['268', '523', '588', '580', '500', '646', '730', '694', '27', '479', '178', '782', '706', '13', '105', '983', '501', '274', '894', '851', '336']
['312', '525', '331', '100', '52', '302', '972', '148', '31', '562', '608', '316', '230', '528', '890', '366', '403', '385', '53', '805', '604']
['402', '736', '477', '772', '419', '687', '113', '688', '893', '249', '119', '718', '634', '631', '752', '536', '621', '973', '290', '176', '675']
['43', '101', '622', '183', '468', '38', '485', '682', '318', '584', '833', '749', '283', '748', '368', '102', '296', '406', '680', '484', '721']
['457', '396', '117', '561', '493', '111', '773', '347', '918', '363', '544', '83', '649', '410', '213', '369', '803', '189', '984', '164', '620']
['469', '785', '965', '426', '920', '321', '243', '472', '21', '553', '181', '821', '359', '813', '201', '657', '872', '931', '300', '365', '59']
['678', '242', '754', '248', '234', '361', '217', '42', '784', '489', '594', '294', '421', '962', '612', '857', '40', '913', '910', '919', '332']
['820', '64', '576', '443', '892', '199', '520', '590', '151', '967', '643', '223', '407', '596', '505', '854', '240', '595', '891', '424', '992']
['97', '84', '401', '270', '949', '835', '435', '81', '174', '818', '437', '338', '207', '704', '155', '760', '860', '729', '707', '844', '323']
['129', '175', '370', '899', '441', '372', '740', '328', '314', '504', '395', '518', '879', '619', '190', '722', '405', '96', '755', '51', '325']
['184', '834', '832', '775', '762', '864', '930', '648', '447', '889', '735', '187', '956', '355', '348', '273', '56', '278', '556', '320', '451']
['626', '398', '238', '136', '8', '33', '135', '923', '15', '499', '572', '948', '39', '197', '289', '75', '123', '779', '185', '690', '220']
['726', '87', '68', '311', '317', '921', '94', '45', '950', '778', '251', '343', '601', '810', '684', '417', '830', '49', '908', '430', '745']
['674', '597', '153', '577', '367', '306', '4', '695', '945', '470', '865', '591', '286', '625', '284', '297', '498', '91', '679', '132', '351']
['698', '957', '458', '944', '974', '295', '555', '838', '947', '2', '569', '259', '763', '629', '304', '667', '462', '589', '200', '618', '57']
['41', '602', '147', '738', '327', '326', '502', '531', '247', '759', '133', '156', '196', '191', '703', '210', '159', '390', '696', '884', '928']
['374', '607', '212', '376', '960', '345', '936', '237', '985', '859', '73', '276', '959', '486', '566', '658', '565', '624', '668', '709', '809']
['204', '28', '575', '476', '578', '907', '798', '127', '357', '940', '350', '987', '856', '685', '140', '172', '642', '93', '862', '143', '232']
['341', '700', '241', '979', '849', '342', '292', '836', '142', '418', '819', '567', '99', '108', '427', '228', '337', '990', '780', '509', '660']
['545', '669', '461', '467', '551', '783', '876', '95', '432', '766', '640', '592', '352', '334', '537', '988', '1', '554', '335', '885', '717']
['563', '386', '915', '72', '76', '732', '239', '796', '786', '828', '909', '673', '912', '122', '904', '711', '741', '488', '146', '281', '307']
