['0', '541', '377', '662', '691', '161', '398']
['1', '278', '467', '106', '321', '205', '222']
['100', '561', '570', '417', '629', '149', '604']
['102', '631', '614', '108', '228', '535', '384']
['105', '587', '540', '245', '223', '499', '326']
['109', '522', '492', '685', '282', '489', '373']
['111', '686', '31', '519', '651', '27', '504']
['118', '549', '113', '154', '243', '613', '127']
['120', '516', '446', '502', '620', '635', '690']
['124', '285', '610', '254', '47', '552', '598']
['13', '196', '462', '121', '244', '264', '338']
['132', '547', '59', '394', '134', '170', '186']
['14', '198', '472', '593', '303', '26', '571']
['140', '437', '158', '129', '18', '80', '476']
['145', '53', '698', '533', '35', '666', '68']
['151', '480', '382', '678', '699', '355', '107']
['153', '216', '79', '599', '695', '185', '190']
['155', '567', '20', '401', '82', '692', '564']
['168', '527', '431', '594', '356', '633', '3']
['169', '16', '645', '481', '249', '550', '609']
['175', '74', '55', '412', '61', '85', '73']
['180', '12', '229', '96', '430', '147', '536']
['187', '262', '665', '333', '530', '578', '44']
['197', '453', '524', '560', '448', '487', '25']
['2', '657', '428', '395', '664', '585', '65']
['204', '90', '548', '471', '365', '679', '238']
['206', '330', '372', '618', '141', '160', '660']
['208', '174', '193', '317', '189', '30', '500']
['211', '201', '507', '324', '119', '91', '184']
['214', '271', '242', '538', '225', '443', '607']
['215', '213', '420', '323', '424', '689', '101']
['218', '48', '92', '255', '22', '454', '312']
['224', '676', '295', '203', '426', '302', '289']
['231', '634', '83', '45', '320', '622', '652']
['234', '259', '178', '348', '33', '551', '157']
['235', '693', '595', '159', '512', '374', '450']
['241', '603', '393', '451', '110', '172', '60']
['251', '529', '623', '351', '463', '179', '565']
['258', '508', '300', '534', '601', '378', '69']
['260', '445', '477', '270', '298', '195', '408']
['265', '6', '364', '253', '638', '478', '673']
['267', '217', '266', '361', '84', '349', '616']
['268', '49', '608', '150', '596', '432', '625']
['269', '104', '641', '230', '687', '473', '647']
['273', '306', '577', '586', '592', '456', '220']
['276', '138', '28', '293', '114', '572', '23']
['280', '441', '558', '304', '328', '4', '87']
['281', '210', '227', '668', '340', '11', '380']
['288', '301', '347', '274', '583', '639', '72']
['290', '322', '24', '425', '337', '643', '78']
['292', '117', '655', '357', '94', '427', '482']
['297', '9', '615', '363', '165', '200', '176']
['307', '523', '272', '544', '682', '563', '192']
['308', '526', '568', '404', '515', '649', '557']
['32', '309', '511', '128', '566', '555', '367']
['325', '517', '582', '8', '559', '239', '658']
['329', '345', '334', '344', '71', '144', '368']
['331', '63', '56', '597', '286', '152', '411']
['339', '474', '142', '418', '359', '423', '277']
['343', '332', '327', '21', '256', '370', '133']
['350', '509', '294', '554', '98', '318', '628']
['352', '590', '246', '403', '684', '396', '449']
['358', '97', '135', '353', '392', '163', '52']
['360', '341', '263', '697', '543', '531', '182']
['362', '546', '166', '612', '656', '447', '136']
['37', '602', '89', '177', '34', '410', '688']
['375', '419', '275', '279', '146', '485', '354']
['376', '64', '591', '407', '672', '648', '537']
['379', '661', '421', '296', '493', '57', '632']
['38', '525', '606', '46', '314', '123', '469']
['381', '67', '486', '191', '346', '261', '125']
['383', '556', '619', '637', '669', '240', '575']
['386', '183', '636', '41', '164', '584', '93']
['387', '299', '311', '466', '15', '143', '433']
['388', '202', '627', '611', '54', '188', '439']
['390', '444', '291', '173', '406', '112', '520']
['391', '588', '81', '495', '675', '402', '498']
['397', '483', '95', '313', '461', '589', '514']
['399', '212', '116', '389', '457', '429', '521']
['413', '156', '680', '442', '385', '232', '237']
['414', '569', '250', '221', '50', '503', '315']
['415', '409', '513', '194', '458', '371', '139']
['416', '316', '580', '310', '199', '130', '579']
['42', '76', '605', '671', '336', '162', '490']
['422', '542', '40', '39', '122', '501', '137']
['436', '640', '497', '319', '247', '553', '434']
['438', '70', '653', '646', '252', '505', '257']
['452', '219', '405', '532', '400', '663', '435']
['455', '496', '115', '654', '506', '674', '5']
['459', '103', '574', '528', '75', '233', '58']
['460', '630', '484', '342', '209', '17', '369']
['464', '10', '696', '283', '545', '99', '335']
['465', '36', '621', '86', '248', '581', '624']
['468', '207', '667', '518', '600', '29', '694']
['470', '7', '670', '226', '510', '617', '236']
['475', '539', '366', '66', '576', '131', '644']
['479', '626', '88', '171', '650', '677', '167']
['488', '440', '19', '562', '642', '77', '51']
['491', '681', '305', '181', '573', '43', '287']
['494', '284', '148', '126', '62', '683', '659']
