['525', '710', '785', '721', '462', '294', '698', '519', '229', '734', '643', '115', '423', '28', '58', '434', '436', '487', '305', '224', '194', '362', '612', '29', '432', '560', '367', '414', '759', '47', '665', '786', '223', '24', '189', '114', '242', '408', '70', '692', '588', '356', '297', '270', '636', '211', '425', '37', '611', '279', '556', '709', '474', '46', '582', '627', '420', '220', '264', '148', '245', '527', '594', '545', '481']
['492', '261', '456', '574', '102', '65', '283', '309', '86', '439', '632', '111', '327', '191', '295', '113', '351', '516', '340', '81', '51', '197', '493', '323', '235', '569', '488', '452', '543', '397', '96', '727', '152', '704', '790', '373', '271', '555', '724', '238', '620', '468', '500', '132', '515', '154', '143', '776', '74']
['298', '513', '292', '22', '540', '686', '459', '483', '635', '587', '138', '722', '230', '445', '104', '617', '697', '496', '752', '326', '538', '667', '345', '341', '31', '558', '338', '669', '589', '262', '457', '626', '718', '730', '135', '291', '750', '254', '795', '306', '463', '673', '789', '778', '679', '682', '578', '426', '15']
['128', '360', '654', '655', '251', '95', '668', '443', '213', '263', '419', '219', '659', '155', '646', '348', '782', '437', '690', '258', '740', '796', '166', '755', '116', '239', '185', '3', '193', '144', '125', '684', '712', '701', '716', '78', '84', '124', '775', '284', '644', '410', '387', '708', '88', '173', '688', '342', '139']
['767', '440', '39', '768', '374', '336', '282', '477', '531', '40', '465', '568', '451', '106', '503', '501', '324', '392', '773', '339', '629', '5', '122', '428', '475', '14', '303', '725', '645', '711', '17', '26', '103', '268', '702', '542', '490', '554', '310', '377', '170', '606', '371', '145', '175', '50', '236', '464', '379']
['38', '364', '167', '318', '53', '394', '378', '395', '404', '738', '16', '286', '296', '160', '64', '662', '212', '723', '42', '433', '714', '780', '49', '100', '288', '216', '422', '473', '548', '13', '693', '581', '746', '753', '522', '507', '158', '287', '671', '534', '455', '233', '183', '402', '469', '508', '140', '564', '756']
['343', '539', '177', '375', '398', '478', '742', '198', '681', '498', '322', '674', '68', '783', '273', '748', '509', '656', '479', '757', '304', '131', '523', '134', '480', '52', '300', '142', '573', '760', '530', '467', '666', '741', '453', '280', '234', '565', '633', '9', '10', '71', '471', '243', '535', '566', '495', '505', '713']
['247', '107', '562', '641', '347', '370', '99', '137', '161', '316', '18', '784', '546', '435', '406', '550', '676', '77', '333', '647', '586', '33', '231', '308', '133', '272', '521', '764', '657', '623', '44', '399', '55', '638', '61', '217', '622', '241', '381', '276', '771', '489', '797', '157', '112', '731', '150', '156', '174']
['791', '472', '717', '389', '188', '337', '405', '411', '168', '726', '278', '689', '179', '506', '735', '700', '705', '537', '447', '267', '252', '136', '302', '388', '365', '171', '372', '225', '625', '737', '330', '511', '162', '417', '458', '461', '350', '89', '602', '517', '227', '584', '178', '208', '346', '497', '781', '165', '777']
['108', '176', '499', '571', '246', '80', '491', '0', '34', '640', '466', '320', '675', '329', '567', '73', '678', '2', '449', '544', '331', '63', '528', '576', '652', '321', '256', '442', '382', '281', '551', '615', '118', '680', '253', '672', '67', '630', '180', '745', '649', '762', '441', '354', '572', '244', '82', '706', '159']
['123', '289', '20', '240', '43', '621', '561', '386', '418', '214', '248', '749', '93', '460', '642', '255', '699', '146', '739', '598', '6', '249', '328', '596', '653', '325', '69', '334', '619', '547', '794', '772', '485', '683', '593', '754', '36', '147', '409', '792', '601', '357', '30', '732', '196', '446', '91', '215', '130']
['482', '376', '361', '129', '149', '401', '583', '765', '694', '105', '203', '577', '11', '7', '184', '707', '363', '438', '400', '747', '552', '788', '117', '380', '187', '332', '413', '210', '728', '658', '412', '181', '761', '604', '301', '799', '624', '164', '368', '779', '570', '97', '703', '524', '384', '634', '383', '600', '250']
['421', '275', '269', '35', '470', '21', '639', '169', '290', '204', '729', '391', '424', '32', '484', '614', '4', '163', '352', '12', '127', '277', '121', '92', '200', '60', '613', '787', '415', '62', '631', '736', '319', '172', '685', '190', '293', '226', '205', '691', '403', '520', '549', '590', '763', '41', '494', '715', '532']
['651', '182', '444', '720', '769', '366', '514', '48', '650', '192', '607', '553', '599', '486', '202', '648', '59', '90', '733', '228', '19', '591', '793', '75', '344', '76', '585', '743', '201', '119', '209', '450', '85', '770', '512', '390', '54', '94', '126', '307', '87', '186', '687', '195', '27', '758', '427', '285', '407']
['557', '221', '416', '317', '510', '476', '353', '8', '232', '237', '431', '355', '79', '349', '1', '448', '610', '454', '101', '359', '618', '663', '533', '83', '206', '605', '259', '218', '608', '677', '72', '637', '536', '575', '504', '670', '660', '314', '774', '592', '109', '385', '695', '358', '299', '616', '141', '56', '45']
['311', '66', '207', '609', '563', '559', '579', '151', '312', '260', '315', '661', '429', '580', '664', '120', '766', '266', '628', '595', '430', '751', '518', '541', '23', '369', '719', '696', '313', '110', '257', '265', '798', '603', '744', '153', '199', '597', '502', '25', '222', '529', '393', '98', '396', '335', '57', '274', '526']
