['45', '43', '44', '53', '128', '169', '186', '271', '260', '146', '321', '324', '408', '438', '462', '262', '291', '388', '181', '185', '248', '355', '365', '410', '411', '180', '325', '375', '389', '419', '91', '203', '297', '407', '473', '409', '316', '416', '430', '37', '122', '460', '463', '464', '188', '273', '401', '332', '458', '178']
['157', '3', '136', '155', '156', '310', '320', '347', '397', '200', '399', '105', '99', '103', '195', '478', '107', '94', '383', '393', '101', '246', '171', '109', '331', '412', '470', '366', '450', '327', '352', '402', '339', '394', '80', '219', '311', '443', '240', '449', '333', '50', '224', '303', '328', '163', '253', '467', '281', '361']
['113', '59', '79', '111', '112', '236', '293', '312', '213', '376', '35', '243', '251', '488']
['119', '7', '61', '110', '117', '118', '130', '234']
['152', '70', '98', '150', '151', '166', '199', '211']
['177', '0', '134', '175', '176', '189', '222', '227']
['30', '31', '32', '133', '190', '258', '298', '302']
['255', '27', '33', '38', '42', '65', '88', '89']
['138', '14', '56', '137', '154', '179', '206', '276']
['193', '12', '25', '47', '52', '67', '73', '83']
['245', '4', '21', '22', '57', '86', '92', '184']
['28', '20', '26', '58', '214', '215', '232', '289']
['288', '201', '216', '280', '286', '287', '295', '307']
['370', '16', '72', '77', '196', '209', '210', '225']
['479', '34', '60', '104', '148', '270', '322', '343']
['10', '11', '24', '76', '283', '319', '350', '364']
['447', '278', '318', '340', '392', '418', '424', '445']
['125', '84', '123', '124', '172', '198', '242', '247']
['129', '1', '18', '39', '108', '120', '121', '127']
['174', '165', '173', '268', '334', '381', '382', '417']
['68', '6', '29', '66', '139', '167', '182', '212']
['218', '161', '217', '266', '267', '306', '369', '378']
['233', '36', '75', '132', '142', '194', '231', '259']
['239', '126', '153', '204', '230', '237', '238', '282']
['368', '49', '78', '85', '158', '187', '223', '228']
['257', '17', '74', '241', '256', '398', '414', '451']
['55', '19', '51', '54', '62', '244', '250', '296']
['309', '5', '300', '301', '308', '314', '358', '362']
['341', '9', '141', '144', '164', '170', '226', '252']
['380', '48', '197', '249', '275', '357', '387', '454']
['405', '140', '208', '264', '354', '377', '403', '404']
['413', '2', '41', '82', '96', '221', '269', '284']
['446', '349', '360', '431', '444', '457', '448', '90']
['465', '97', '183', '191', '272', '371', '386', '423']
['428', '46', '63', '81', '93', '106', '114', '116']
['162', '8', '13', '149', '160', '263', '277', '305']
['168', '115', '254', '374', '440', '453', '472', '15']
['290', '261', '299', '323', '326', '385', '400', '421']
['220', '147', '265', '348', '359', '390', '396', '229']
['235', '23', '95', '292', '441', '452', '456', '466']
['476', '135', '317', '363', '391', '433', '474', '475']
['315', '192', '285', '313', '384', '422', '434', '468']
['345', '131', '344', '356', '471', '477', '346', '40']
['435', '353', '455', '459', '436', '437', '205', '207']
['64', '102', '304', '342', '372', '406', '432', '100']
['484', '159', '294', '335', '482', '483', '485', '486']
['426', '69', '87', '330', '420', '425', '461', '427']
['336', '71', '274', '367', '373', '337', '338', '145']
['489', '351', '395', '439', '469', '480', '481', '487']
['143', '442', '202', '279', '329', '379', '415', '429']
