['101', '35', '1', '25', '46', '47', '121', '213', '55', '0', '417', '426', '139', '238', '399', '175', '164', '81', '54', '119', '171', '2', '4', '472']
['109', '31', '6', '20', '193', '162', '163', '133', '434', '82', '180', '123', '317', '7', '9', '266', '13', '144', '145', '282', '32', '33', '419', '177']
['112', '5', '3', '261', '146', '19', '24', '156', '29', '286', '168', '42', '174', '431', '51', '52', '58', '189', '66', '72', '75', '79', '212', '427']
['113', '267', '224', '339', '8', '10', '73', '77', '182', '454', '271', '233', '298', '414', '466', '448', '240', '116', '406', '185', '107', '199', '232', '273']
['114', '91', '18', '23', '43', '62', '68', '321', '165', '178', '361', '268', '142', '239', '308', '407', '333', '478', '196', '155', '132', '37', '71', '287']
['115', '172', '243', '26', '118', '457', '356', '430', '439', '319', '64', '128', '161', '40', '76', '44', '206', '303', '48', '337', '384', '283', '34', '234']
['120', '78', '108', '375', '265', '300', '301', '329', '395', '12', '88', '93', '126', '228', '349', '381', '444', '69', '83', '198', '205', '433', '469', '345']
['215', '92', '157', '166', '176', '412', '220', '89', '386', '391', '398', '276', '473', '159', '429', '309', '325', '225', '363', '369', '117', '249', '122', '297']
['129', '293', '147', '272', '373', '103', '285', '16', '259', '148', '422', '425', '306', '330', '204', '84', '229', '102', '241', '202', '288', '443', '56', '131']
['137', '85', '331', '140', '150', '87', '154', '379', '127', '36', '323', '320', '223', '294', '311', '252', '410', '169', '256', '226', '423', '281', '475', '474']
['138', '385', '74', '291', '315', '28', '236', '65', '80', '340', '221', '22', '38', '290', '400', '248', '245', '184', '100', '218', '318', '389', '231', '362']
['14', '370', '110', '453', '27', '61', '63', '348', '455', '401', '476', '41', '141', '207', '324', '441', '21', '67', '408', '328', '394', '368', '217', '335']
['237', '343', '377', '302', '397', '255', '98', '192', '354', '374', '151', '250', '257', '344', '382', '277', '11', '200', '305', '310', '158', '149', '357', '104']
['143', '416', '383', '313', '258', '462', '289', '404', '203', '280', '463', '299', '134', '208', '278', '253', '244', '336', '338', '411', '211', '222', '442', '135']
['39', '456', '350', '316', '17', '209', '15', '95', '353', '470', '187', '296', '458', '342', '451', '262', '477', '447', '190', '216', '179', '254', '274', '355']
['461', '275', '468', '160', '403', '105', '263', '53', '322', '445', '467', '413', '57', '191', '106', '86', '351', '279', '111', '45', '130', '327', '136', '432']
['352', '380', '242', '424', '251', '170', '186', '94', '260', '125', '334', '365', '230', '181', '304', '421', '183', '376', '312', '96', '197', '360', '59', '465']
['152', '347', '247', '307', '396', '153', '219', '428', '99', '358', '326', '227', '450', '392', '246', '390', '479', '387', '270', '167', '195', '341', '378', '70']
['393', '346', '459', '366', '201', '60', '437', '435', '438', '264', '314', '405', '409', '402', '420', '269', '284', '418', '460', '371', '295', '97', '194', '415']
['173', '124', '332', '367', '436', '214', '440', '449', '359', '372', '452', '49', '188', '235', '292', '471', '446', '90', '464', '388', '364', '210', '30', '50']
