['301', '48', '92', '321', '388', '61', '141', '488', '206', '53', '309', '413', '69', '91', '100', '324', '332', '398', '55', '72', '87', '164', '116', '58', '104']
['344', '46', '307', '385', '93', '89', '54', '86', '418', '268', '177', '455', '245', '147', '156', '193', '233', '235', '405', '435', '12', '15', '68', '117', '446']
['374', '384', '200', '414', '441', '21', '180', '219', '215', '356', '390', '407', '468', '6', '37', '84', '98', '121', '300', '305', '326', '33', '40', '132', '95']
['493', '124', '244', '426', '66', '88', '110', '285', '229', '351', '412', '427', '436', '67', '127', '191', '195', '239', '322', '113', '155', '184', '228', '383', '335']
['35', '28', '368', '44', '251', '402', '410', '478', '491', '115', '223', '396', '341', '241', '248', '325', '333', '350', '357', '369', '381', '486', '34', '38', '20']
['79', '346', '429', '0', '32', '103', '112', '267', '281', '304', '382', '432', '479', '78', '173', '294', '349', '403', '460', '469', '148', '179', '196', '497', '211']
['102', '76', '182', '220', '487', '273', '498', '406', '246', '355', '470', '444', '133', '149', '277', '56', '157', '320', '190', '231', '295', '316', '345', '42', '400']
['107', '65', '82', '80', '253', '9', '51', '409', '447', '214', '262', '171', '183', '256', '334', '365', '401', '39', '477', '207', '176', '278', '290', '340', '260']
['146', '64', '152', '226', '454', '234', '472', '145', '286', '489', '18', '129', '140', '170', '289', '330', '434', '168', '314', '258', '371', '227', '360', '352', '162']
['178', '11', '425', '343', '318', '338', '209', '362', '452', '14', '27', '218', '299', '378', '419', '424', '467', '22', '118', '151', '210', '270', '284', '484', '283']
['181', '23', '416', '126', '130', '361', '372', '123', '185', '257', '263', '353', '445', '63', '101', '204', '163', '169', '199', '213', '216', '291', '347', '366', '408']
['225', '192', '438', '52', '109', '159', '275', '247', '375', '492', '128', '298', '394', '237', '172', '197', '287', '71', '232', '272', '317', '359', '194', '379', '421']
['254', '49', '208', '221', '30', '186', '391', '415', '106', '135', '490', '252', '265', '288', '29', '41', '217', '310', '264', '189', '158', '26', '36', '90', '313']
['271', '136', '205', '337', '5', '137', '431', '105', '451', '240', '417', '308', '329', '411', '471', '25', '323', '422', '480', '282', '60', '31', '114', '99', '242']
['296', '230', '292', '45', '222', '269', '276', '459', '348', '380', '433', '495', '144', '311', '443', '10', '131', '236', '249', '456', '363', '430', '439', '481', '122']
['367', '13', '70', '255', '150', '7', '165', '74', '342', '464', '1', '8', '97', '143', '187', '224', '238', '19', '138', '440', '474', '449', '376', '16', '2']
['386', '476', '483', '62', '175', '198', '461', '166', '73', '96', '370', '212', '466', '331', '358', '437', '134', '83', '259', '111', '354', '297', '387', '482', '499']
['395', '453', '50', '373', '4', '280', '266', '81', '306', '47', '161', '174', '339', '94', '139', '312', '125', '293', '274', '392', '336', '389', '475', '43', '302']
['397', '458', '17', '328', '364', '3', '303', '423', '250', '496', '202', '57', '377', '442', '24', '203', '463', '153', '59', '279', '75', '188', '154', '261', '327']
['457', '119', '473', '485', '393', '319', '465', '404', '462', '108', '201', '142', '160', '243', '420', '494', '167', '399', '77', '448', '120', '450', '85', '428', '315']
