['105', '299', '74', '219', '443', '67', '158', '469', '472', '366', '349', '28', '350', '128', '353', '404', '134', '397', '369', '173']
['109', '310', '292', '213', '237', '435', '15', '391', '438', '38', '379', '380', '54', '68', '56', '234', '39', '224', '61', '346']
['115', '239', '337', '395', '320', '361', '290', '304', '21', '53', '308', '22', '177', '410', '268', '347', '141', '215', '58', '23']
['117', '416', '370', '248', '432', '407', '12', '201', '373', '102', '76', '442', '143', '437', '385', '29', '465', '449', '170', '36']
['120', '287', '336', '30', '419', '281', '11', '150', '393', '325', '49', '112', '331', '238', '462', '470', '42', '319', '423', '174']
['121', '35', '55', '372', '175', '195', '332', '122', '96', '236', '103', '246', '0', '100', '200', '7', '473', '92', '322', '388']
['125', '251', '77', '482', '279', '229', '367', '183', '402', '329', '91', '186', '377', '263', '72', '87', '127', '222', '193', '209']
['13', '198', '491', '108', '496', '427', '457', '456', '360', '146', '157', '467', '301', '235', '420', '165', '113', '493', '284', '453']
['130', '274', '406', '123', '260', '32', '104', '422', '194', '2', '6', '176', '255', '313', '306', '70', '355', '129', '247', '414']
['132', '333', '223', '270', '27', '363', '436', '24', '9', '206', '271', '340', '69', '135', '57', '148', '285', '93', '341', '460']
['133', '307', '1', '293', '330', '20', '31', '411', '468', '351', '352', '277', '463', '272', '403', '485', '484', '394', '106', '202']
['136', '17', '199', '481', '185', '84', '267', '220', '73', '396', '97', '448', '471', '318', '180', '261', '178', '241', '191', '47']
['137', '450', '431', '421', '303', '371', '34', '167', '145', '250', '289', '179', '208', '245', '323', '354', '392', '156', '348', '88']
['138', '5', '71', '412', '497', '86', '295', '345', '390', '152', '99', '181', '232', '317', '119', '192', '25', '288', '266', '210']
['139', '4', '387', '151', '408', '458', '3', '418', '476', '324', '66', '365', '475', '383', '441', '114', '228', '81', '461', '316']
['14', '343', '258', '26', '233', '230', '242', '275', '252', '48', '63', '101', '124', '116', '428', '184', '327', '405', '424', '400']
['144', '163', '401', '254', '398', '240', '433', '65', '166', '362', '225', '203', '452', '389', '126', '334', '147', '162', '464', '204']
['149', '33', '262', '51', '315', '273', '83', '110', '256', '296', '300', '85', '142', '311', '359', '52', '227', '80', '425', '309']
['153', '44', '41', '480', '172', '269', '495', '182', '154', '338', '253', '131', '249', '498', '451', '382', '18', '75', '82', '384']
['159', '265', '302', '79', '189', '257', '446', '399', '118', '486', '286', '375', '492', '479', '160', '276', '445', '483', '490', '50']
['16', '259', '211', '207', '217', '283', '171', '45', '417', '328', '489', '46', '434', '188', '95', '374', '231', '111', '226', '415']
['161', '305', '90', '376', '357', '244', '43', '429', '430', '378', '487', '368', '386', '477', '282', '440', '455', '494', '439', '474']
['164', '197', '280', '40', '499', '426', '466', '221', '278', '214', '339', '364', '94', '89', '190', '381', '342', '356', '218', '297']
['168', '478', '37', '19', '62', '216', '60', '321', '107', '312', '78', '488', '205', '298', '243', '358', '326', '10', '447', '444']
['169', '64', '344', '409', '314', '335', '155', '196', '264', '294', '454', '212', '459', '59', '8', '413', '291', '98', '187', '140']
