['431', '1', '2', '5', '7', '9', '10', '13', '14', '15', '18', '22', '23', '26', '29', '32', '41', '44', '49', '50', '51', '53', '54', '57', '60', '435', '397', '455', '457', '463']
['262', '3', '4', '21', '27', '34', '35', '40', '42', '45', '56', '69', '72', '79', '82', '88', '91', '93', '95', '99', '102', '106', '110', '115', '116', '314', '390', '447', '485', '491']
['240', '16', '30', '31', '33', '36', '37', '48', '52', '55', '59', '61', '66', '75', '81', '85', '86', '89', '101', '103', '107', '108', '112', '120', '121', '494', '320', '472', '476', '480']
['250', '6', '8', '11', '62', '71', '73', '87', '92', '94', '109', '111', '114', '118', '129', '131', '137', '139', '140', '143', '147', '151', '152', '155', '157', '498', '464', '471', '474', '497']
['404', '17', '24', '28', '43', '58', '64', '70', '74', '98', '100', '105', '113', '119', '122', '123', '125', '126', '127', '141', '142', '150', '158', '159', '160', '493', '499', '490', '487', '469']
['430', '38', '46', '47', '63', '65', '67', '76', '83', '90', '97', '124', '128', '135', '138', '161', '163', '164', '167', '168', '172', '173', '180', '185', '188']
['462', '39', '77', '104', '130', '148', '149', '154', '166', '169', '174', '176', '177', '183', '191', '194', '196', '208', '209', '212', '214', '215', '219', '228', '230']
['488', '20', '80', '84', '117', '144', '153', '165', '175', '186', '189', '192', '195', '198', '199', '200', '201', '210', '221', '222', '224', '225', '226', '232', '238']
['300', '78', '132', '134', '136', '162', '171', '187', '190', '193', '205', '207', '213', '218', '242', '245', '246', '247', '248', '252', '260', '264', '265', '266', '270']
['308', '25', '68', '145', '156', '179', '182', '197', '211', '227', '233', '237', '239', '251', '253', '256', '259', '261', '273', '279', '287', '289', '291', '294', '295']
['415', '12', '133', '146', '178', '202', '217', '220', '234', '244', '249', '254', '263', '268', '272', '274', '276', '277', '286', '290', '297', '298', '301', '302', '307']
['429', '19', '206', '216', '236', '258', '267', '271', '288', '304', '311', '312', '313', '317', '326', '327', '328', '331', '332', '334', '337', '342', '345', '347', '350']
['380', '181', '204', '235', '275', '282', '283', '285', '296', '299', '303', '315', '318', '319', '323', '333', '335', '340', '344', '354', '356', '359', '360', '361', '362']
['482', '0', '96', '203', '223', '241', '278', '281', '292', '293', '306', '309', '316', '321', '322', '324', '325', '329', '341', '343', '349', '355', '363', '367', '369']
['336', '170', '184', '231', '243', '269', '284', '353', '357', '358', '366', '378', '379', '381', '383', '385', '391', '395', '399', '402', '403', '407', '408', '413', '419']
['424', '229', '257', '339', '348', '368', '370', '371', '372', '374', '384', '386', '387', '389', '398', '409', '411', '422', '425', '426', '427', '432', '434', '438', '443']
['484', '255', '352', '375', '393', '394', '396', '400', '406', '421', '423', '436', '437', '439', '444', '449', '450', '451', '452', '460', '465', '473', '475', '477', '481']
['445', '280', '310', '338', '346', '364', '382', '388', '401', '410', '412', '414', '416', '417', '442', '446', '448', '453', '458', '459', '461', '466', '468', '478', '479']
['467', '330', '351', '373', '376', '377', '392', '428', '433', '440', '441', '454', '470', '483', '486', '489', '492', '495', '496', '305', '365', '405', '418', '420', '456']
