['177', '443', '234', '97', '480', '478', '135', '299', '338', '495', '458', '233', '318', '198', '152', '195', '393', '447', '371', '228', '263', '463', '477', '397', '258', '328', '341', '489', '483', '349', '420', '288', '56', '255', '372', '440', '450', '256', '403', '445', '199', '139', '143', '225', '231', '220', '497', '128', '446', '471', '301', '247', '479', '262', '414', '264', '2', '197', '210', '283', '413', '415', '422', '327', '271', '491', '95', '347', '409', '454', '98', '367', '201', '142', '153', '324', '332', '336', '287', '160', '321', '385', '438', '487', '406', '386', '481', '448', '427', '488', '407', '408', '315', '244', '308', '366', '492', '291', '46', '126', '171', '485', '394', '357', '423', '383', '417', '257']
['298', '266', '380', '442']
['424', '30', '395', '441']
['10', '31', '285', '314']
['115', '4', '11', '330']
['127', '259', '433', '163']
['130', '175', '217', '361']
['136', '74', '439', '374']
['137', '213', '35', '239']
['141', '248', '270', '416']
['148', '90', '102', '202']
['183', '66', '467', '7']
['185', '230', '149', '265']
['190', '387', '24', '166']
['249', '289', '59', '165']
['273', '187', '218', '320']
['297', '109', '176', '182']
['351', '178', '384', '496']
['356', '402', '451', '484']
['358', '144', '418', '157']
['43', '45', '211', '392']
['430', '105', '245', '352']
['52', '78', '100', '200']
['54', '40', '162', '412']
['65', '432', '365', '376']
['70', '23', '158', '444']
['101', '38', '41', '88']
['106', '131', '140', '303']
['118', '87', '58', '436']
['150', '108', '154', '296']
['155', '156', '452', '470']
['186', '400', '456', '18']
['114', '224', '344', '302']
['170', '1', '80', '161']
['322', '28', '151', '235']
['284', '84', '145', '237']
['180', '113', '123', '212']
['362', '339', '68', '173']
['192', '104', '32', '63']
['193', '276', '306', '379']
['204', '350', '51', '107']
['61', '8', '124', '203']
['317', '353', '482', '404']
['240', '91', '472', '293']
['250', '37', '79', '243']
['26', '377', '89', '346']
['261', '116', '134', '313']
['269', '355', '345', '85']
['286', '388', '48', '323']
['292', '428', '174', '494']
['312', '22', '275', '373']
['426', '465', '27', '93']
['316', '222', '260', '329']
['455', '72', '36', '191']
['189', '55', '132', '159']
['96', '129', '188', '215']
['333', '335', '221', '122']
['64', '53', '167', '253']
['50', '474', '82', '117']
['307', '147', '169', '194']
['207', '110', '184', '326']
['267', '6', '34', '39']
['421', '468', '319', '112']
['431', '14', '83', '252']
['476', '49', '498', '279']
['449', '437', '462', '340']
['464', '363', '453', '334']
['459', '272', '274', '294']
['47', '3', '76', '81']
['473', '343', '391', '348']
['475', '42', '208', '242']
['493', '460', '311', '419']
['325', '25', '214', '236']
['457', '172', '209', '216']
['241', '229', '381', '396']
['429', '389', '369', '342']
['300', '20', '73', '99']
['67', '295', '382', '390']
['75', '227', '310', '331']
['77', '280', '44', '86']
['469', '13', '19', '119']
['405', '164', '337', '499']
['15', '17', '62', '133']
['486', '120', '181', '206']
['226', '305', '354', '398']
['368', '57', '71', '92']
['103', '278', '282', '359']
['232', '223', '268', '29']
['111', '12', '33', '290']
['364', '461', '309', '179']
['435', '360', '9', '16']
['121', '277', '490', '466']
['246', '21', '60', '125']
['401', '399', '254', '5']
['410', '281', '370', '375']
['219', '251', '304', '378']
['196', '0', '138', '146']
['425', '238', '69', '94']
['411', '434', '168', '205']
