['430', '1', '14', '78', '84', '132', '233', '359', '378', '46']
['271', '27', '50', '64', '197', '232', '240', '281', '307', '286']
['75', '37', '62', '107', '153', '226', '291', '341', '384', '476']
['358', '33', '52', '59', '79', '130', '173', '223', '339', '88']
['245', '6', '101', '117', '135', '138', '146', '194', '282', '491']
['25', '57', '76', '125', '150', '196', '345', '364', '370', '450']
['357', '32', '159', '184', '326', '333', '387', '398', '435', '436']
['71', '54', '99', '129', '131', '175', '187', '206', '257', '467']
['215', '144', '186', '193', '217', '312', '374', '414', '416', '479']
['224', '55', '89', '152', '166', '270', '330', '415', '419', '93']
['235', '177', '180', '212', '213', '288', '334', '338', '372', '498']
['327', '0', '3', '19', '21', '35', '142', '171', '315', '497']
['388', '181', '190', '214', '277', '279', '300', '324', '342', '433']
['483', '9', '16', '29', '114', '202', '211', '243', '296', '189']
['82', '17', '31', '72', '115', '143', '148', '219', '308', '423']
['118', '22', '68', '149', '203', '227', '242', '305', '366', '176']
['170', '28', '44', '137', '207', '258', '285', '443', '445', '200']
['91', '105', '201', '298', '321', '347', '353', '362', '368', '431']
['247', '4', '119', '121', '163', '182', '263', '297', '343', '185']
['261', '2', '12', '26', '56', '156', '161', '210', '220', '407']
['39', '127', '231', '262', '301', '306', '329', '336', '350', '485']
['393', '63', '140', '158', '260', '293', '295', '322', '356', '5']
['410', '30', '47', '87', '94', '259', '406', '448', '474', '174']
['459', '10', '58', '160', '250', '267', '303', '318', '328', '439']
['469', '23', '168', '188', '255', '266', '283', '311', '361', '418']
['484', '77', '98', '128', '229', '249', '274', '449', '468', '18']
['400', '70', '83', '123', '157', '172', '237', '292', '335', '354']
['112', '42', '178', '192', '199', '225', '273', '302', '323', '446']
['136', '154', '155', '376', '411', '426', '478', '494', '97', '488']
['254', '218', '234', '269', '391', '399', '440', '441', '454', '412']
['204', '38', '45', '100', '106', '236', '309', '349', '390', '371']
['252', '11', '20', '60', '241', '244', '340', '389', '394', '473']
['24', '15', '103', '122', '179', '198', '264', '265', '403', '48']
['275', '74', '80', '164', '420', '437', '465', '489', '8', '422']
['409', '113', '141', '169', '183', '287', '325', '380', '413', '319']
['495', '41', '120', '222', '320', '367', '381', '397', '61', '457']
['396', '85', '167', '344', '351', '493', '13', '69', '195', '408']
['425', '96', '111', '191', '386', '402', '421', '432', '463', '475']
['67', '108', '447', '73', '208', '404', '451', '460', '462', '466']
['230', '81', '246', '304', '444', '456', '487', '51', '280', '289']
['470', '90', '102', '109', '145', '238', '379', '424', '471', '151']
['438', '7', '133', '299', '383', '385', '253', '284', '401', '268']
['139', '239', '248', '290', '352', '481', '348', '458', '461', '95']
['104', '276', '482', '53', '205', '310', '496', '429', '453', '369']
['355', '86', '147', '216', '251', '209', '346', '365', '382', '363']
['134', '36', '332', '360', '373', '405', '492', '43', '110', '472']
['116', '126', '452', '477', '499', '49', '92', '375', '313', '442']
['272', '65', '66', '221', '317', '395', '464', '486', '40', '278']
['337', '331', '377', '392', '434', '480', '490', '34', '165', '162']
['428', '316', '417', '124', '256', '294', '314', '427', '455', '228']
