['108', '100', '109', '96', '101', '110', '94', '97', '111', '267', '268', '269', '155', '124', '186', '93']
['123', '107', '122', '99', '106', '121', '95', '98', '105', '62', '31', '0', '279', '248', '217', '240']
['139', '131', '140', '127', '132', '141', '125', '128', '142', '213', '205', '206', '19', '20', '228', '227']
['15', '7', '16', '3', '8', '17', '1', '4', '18', '239', '238', '182', '241', '242', '243', '58']
['154', '138', '153', '130', '137', '152', '126', '129', '136', '27', '56', '57']
['170', '162', '171', '158', '163', '172', '156', '159', '173']
['185', '169', '184', '161', '168', '183', '157', '160', '167']
['201', '193', '202', '189', '194', '203', '187', '190', '204']
['216', '200', '215', '192', '199', '214', '188', '191', '198']
['232', '224', '233', '220', '225', '234', '218', '221', '235']
['247', '231', '246', '223', '230', '245', '219', '222', '229']
['263', '255', '264', '251', '256', '265', '249', '252', '266']
['278', '262', '277', '254', '261', '276', '250', '253', '260']
['294', '286', '295', '282', '287', '296', '280', '283', '297']
['30', '14', '29', '6', '13', '28', '2', '5', '12']
['309', '293', '308', '285', '292', '307', '281', '284', '291']
['46', '38', '47', '34', '39', '48', '32', '35', '49']
['61', '45', '60', '37', '44', '59', '33', '36', '43']
['77', '69', '78', '65', '70', '79', '63', '66', '80']
['92', '76', '91', '68', '75', '90', '64', '67', '74']
['179', '166', '178', '180', '165', '177', '181', '164', '176']
['24', '11', '23', '25', '10', '22', '26', '9', '21']
['41', '40', '52', '53', '42', '50', '51', '54', '55']
['112', '102', '113', '103', '114', '115', '104', '116', '117']
['145', '134', '144', '146', '133', '135', '143', '147', '148']
['274', '273', '275', '272', '259', '271', '258', '270', '257']
['305', '304', '306', '303', '290', '302', '289', '301', '288']
['174', '175', '88', '87', '89', '86', '73', '85', '72']
['71', '81', '82', '83', '84', '150', '149', '151', '244']
['118', '119', '120', '300', '299', '298', '226', '236', '237']
['210', '197', '209', '211', '196', '208', '212', '195', '207']
