['123', '0', '1', '2', '3', '332', '337']
['124', '424', '30', '367', '368', '437', '249']
['125', '250', '5', '60', '12', '463', '168']
['126', '4', '9', '13', '18', '99', '252']
['128', '7', '20', '32', '47', '309', '484']
['129', '8', '21', '36', '48', '160', '488']
['131', '15', '50', '65', '162', '327', '410']
['133', '17', '52', '89', '218', '98', '243']
['134', '431', '217', '381', '11', '291', '88']
['135', '19', '6', '54', '105', '455', '357']
['136', '227', '90', '24', '331', '93', '279']
['137', '397', '371', '448', '468', '219', '321']
['138', '22', '57', '111', '276', '230', '273']
['139', '42', '170', '469', '406', '145', '297']
['140', '43', '200', '450', '399', '458', '460']
['141', '44', '222', '335', '26', '181', '487']
['143', '46', '260', '475', '334', '270', '438']
['144', '339', '28', '115', '71', '122', '311']
['146', '49', '278', '403', '369', '323', '275']
['147', '202', '73', '430', '237', '351', '442']
['148', '51', '16', '314', '79', '344', '82']
['149', '390', '349', '433', '456', '287', '114']
['150', '53', '318', '441', '188', '277', '304']
['152', '55', '322', '63', '176', '425', '274']
['153', '56', '324', '416', '366', '435', '409']
['154', '428', '376', '118', '393', '446', '389']
['155', '231', '418', '383', '242', '233', '470']
['156', '461', '360', '370', '384', '300', '214']
['157', '255', '102', '31', '345', '312', '293']
['158', '86', '35', '215', '352', '315', '220']
['159', '10', '27', '33', '62', '264', '413']
['161', '354', '91', '228', '76', '307', '482']
['163', '23', '66', '80', '193', '338', '317']
['164', '422', '387', '213', '374', '254', '346']
['165', '25', '68', '101', '246', '408', '421']
['166', '299', '362', '40', '103', '308', '333']
['167', '283', '261', '61', '174', '127', '356']
['169', '29', '72', '117', '294', '473', '386']
['459', '375', '207', '388', '404', '248', '340']
['171', '58', '201', '472', '372', '395', '378']
['172', '59', '223', '440', '238', '466', '244']
['173', '257', '104', '41', '364', '288', '109']
['400', '379', '451', '485', '130', '113', '286']
['175', '313', '263', '106', '453', '94', '239']
['457', '402', '476', '348', '84', '211', '281']
['177', '64', '296', '224', '87', '419', '208']
['178', '245', '14', '78', '100', '92', '229']
['179', '306', '108', '269', '347', '412', '268']
['180', '67', '330', '355', '110', '471', '285']
['182', '69', '266', '284', '373', '407', '272']
['183', '70', '336', '116', '37', '320', '290']
['184', '142', '45', '427', '236', '447', '396']
['185', '265', '192', '411', '209', '121', '310']
['186', '34', '85', '119', '198', '439', '465']
['187', '295', '282', '262', '392', '271', '259']
['189', '326', '382', '417', '445', '414', '432']
['190', '240', '95', '319', '426', '361', '226']
['191', '434', '391', '298', '467', '329', '256']
['479', '216', '241', '96', '343', '289', '350']
['194', '38', '97', '112', '234', '363', '132']
['195', '398', '232', '449', '474', '325', '212']
['196', '401', '107', '380', '452', '301', '280']
['197', '247', '477', '415', '462', '253', '258']
['221', '480', '120', '39', '305', '358', '225']
['199', '251', '74', '203', '359', '353', '423']
['316', '210', '81', '342', '483', '443', '292']
['454', '377', '151', '394', '429', '444', '341']
['436', '405', '464', '486', '83', '235', '365']
['204', '75', '267', '420', '385', '303', '328']
['205', '481', '302', '77', '206', '478']
