['354', '0', '1', '4', '11', '12', '19', '32', '33', '35', '36', '37', '46', '54', '57', '60', '61', '72', '75', '76', '80', '85', '88', '90', '400', '383', '404', '406', '407', '410', '417', '421', '424', '425', '493']
['415', '2', '3', '6', '7', '8', '13', '21', '26', '39', '40', '41', '42', '43', '44', '45', '47', '52', '58', '74', '77', '84', '92', '99', '499', '360', '492', '494', '495', '496', '497', '433', '431']
['184', '16', '17', '23', '28', '31', '48', '50', '55', '59', '62', '63', '66', '67', '69', '70', '71', '79', '82', '83', '86', '89', '91', '94']
['209', '24', '34', '51', '53', '96', '97', '103', '106', '108', '110', '115', '116', '117', '120', '129', '135', '147', '148', '126', '127', '151', '153', '161']
['412', '10', '14', '27', '30', '68', '98', '100', '107', '111', '118', '132', '136', '138', '139', '152', '154', '156', '160', '162', '168', '172', '174', '190']
['259', '5', '18', '20', '56', '93', '105', '113', '119', '121', '134', '140', '141', '166', '181', '182', '183', '193', '202', '205', '206', '208', '216', '217']
['269', '9', '64', '78', '87', '95', '124', '133', '137', '144', '145', '157', '170', '186', '189', '199', '201', '213', '215', '221', '224', '226', '230', '232']
['473', '29', '38', '49', '65', '73', '104', '109', '114', '146', '149', '125', '167', '175', '176', '180', '185', '187', '188', '194', '195', '196', '200', '210']
['158', '130', '150', '155', '159', '163', '164', '165', '169', '171', '173', '177', '191', '203', '207', '211', '231', '237', '238', '239', '244', '245', '257', '263']
['227', '15', '101', '112', '128', '131', '142', '143', '198', '204', '219', '225', '228', '229', '233', '234', '235', '236', '240', '241', '242', '243', '246', '247']
['451', '25', '81', '122', '214', '220', '222', '223', '261', '262', '265', '266', '268', '275', '279', '296', '297', '299', '303', '305', '309', '311', '312', '314']
['487', '22', '197', '250', '251', '280', '293', '300', '317', '319', '320', '323', '327', '337', '340', '341', '342', '344', '345', '346', '348', '350', '356', '358']
['316', '102', '178', '218', '248', '284', '292', '294', '295', '298', '301', '302', '304', '306', '307', '308', '310', '313', '315', '318', '321', '322', '324', '325']
['449', '249', '258', '260', '270', '271', '276', '277', '283', '285', '326', '331', '332', '349', '352', '357', '359', '363', '371', '372', '391', '395', '376', '378']
['252', '123', '192', '212', '256', '264', '267', '272', '273', '274', '253', '254', '255', '289', '335', '343', '351', '353', '361', '362', '366', '367', '392', '398']
['389', '179', '288', '290', '330', '334', '338', '339', '384', '385', '386', '387', '388', '390', '393', '394', '396', '397', '399', '375', '377', '379', '380', '381']
['485', '286', '328', '333', '355', '368', '369', '370', '382', '405', '408', '418', '423', '427', '429', '432', '436', '439', '441', '443', '447', '454', '457', '458']
['465', '278', '336', '347', '364', '374', '402', '409', '411', '414', '422', '426', '430', '435', '445', '446', '448', '450', '452', '453', '455', '456', '459', '460']
['467', '282', '287', '291', '373', '413', '419', '420', '428', '434', '438', '440', '444', '461', '462', '463', '464', '466', '468', '469', '470', '471', '472', '474']
['498', '281', '329', '365', '401', '403', '416', '437', '442', '475', '476', '477', '478', '479', '480', '481', '482', '483', '484', '486', '488', '489', '490', '491']
