['0', '5', '1', '478']
['10', '15', '6', '377']
['100', '97', '102', '324']
['104', '109', '105', '412']
['106', '111', '110', '358']
['107', '353', '356', '333']
['108', '181', '169', '372']
['11', '14', '9', '443']
['112', '117', '113', '457']
['114', '119', '118', '61']
['115', '30', '25', '385']
['116', '365', '360', '50']
['12', '249', '252', '320']
['120', '125', '121', '397']
['122', '127', '126', '414']
['123', '326', '321', '47']
['124', '386', '391', '54']
['128', '133', '129', '355']
['130', '135', '134', '426']
['131', '29', '17', '383']
['132', '74', '79', '94']
['136', '141', '137', '447']
['138', '143', '142', '395']
['139', '273', '276', '376']
['140', '434', '439', '444']
['144', '149', '145', '99']
['146', '151', '150', '90']
['147', '87', '78', '495']
['148', '464', '469', '461']
['152', '157', '153', '327']
['154', '159', '158', '332']
['155', '430', '425', '354']
['156', '65', '68', '81']
['16', '21', '23', '72']
['160', '165', '161', '352']
['162', '167', '166', '491']
['163', '370', '375', '429']
['164', '185', '188', '431']
['168', '173', '175', '484']
['170', '8', '13', '406']
['171', '174', '183', '336']
['172', '407', '398', '424']
['176', '394', '399', '329']
['178', '340', '337', '91']
['179', '182', '177', '381']
['18', '359', '350', '46']
['180', '237', '225', '380']
['184', '189', '191', '480']
['186', '37', '32', '460']
['187', '190', '199', '51']
['101', '89', '96', '59']
['19', '22', '31', '445']
['192', '197', '193', '75']
['194', '33', '36', '371']
['195', '198', '207', '42']
['196', '34', '39', '338']
['2', '7', '390', '463']
['20', '455', '446', '43']
['200', '205', '201', '454']
['202', '493', '481', '451']
['203', '206', '215', '56']
['204', '351', '342', '85']
['208', '213', '209', '345']
['210', '261', '256', '82']
['211', '214', '223', '378']
['212', '362', '367', '490']
['216', '221', '217', '415']
['218', '420', '417', '347']
['219', '222', '231', '334']
['220', '60', '57', '374']
['224', '229', '405', '348']
['226', '346', '331', '428']
['227', '230', '239', '388']
['228', '408', '413', '486']
['232', '419', '422', '466']
['234', '421', '409', '458']
['235', '238', '233', '38']
['236', '482', '487', '69']
['24', '293', '281', '364']
['240', '245', '241', '440']
['242', '247', '246', '401']
['243', '349', '344', '103']
['244', '450', '456', '416']
['248', '253', '255', '448']
['250', '295', '286', '393']
['251', '254', '263', '35']
['92', '449', '452', '442']
['427', '435', '438', '55']
['258', '363', '366', '411']
['259', '262', '257', '93']
['26', '465', '468', '341']
['260', '44', '41', '63']
['264', '269', '265', '396']
['266', '271', '270', '384']
['267', '49', '52', '322']
['268', '489', '492', '88']
['27', '437', '432', '441']
['272', '277', '279', '471']
['274', '400', '325', '58']
['275', '278', '287', '339']
['66', '71', '62', '494']
['28', '470', '467', '485']
['280', '285', '76', '404']
['282', '67', '70', '64']
['283', '488', '84', '474']
['284', '4', '475', '357']
['288', '53', '48', '328']
['290', '477', '472', '368']
['291', '294', '289', '462']
['292', '40', '45', '453']
['296', '301', '297', '369']
['298', '303', '302', '392']
['299', '433', '436', '483']
['3', '402', '343', '389']
['300', '387', '323', '335']
['304', '309', '305', '330']
['306', '311', '310', '73']
['307', '379', '382', '479']
['308', '418', '423', '80']
['312', '317', '313', '410']
['314', '319', '318', '77']
['315', '473', '476', '403']
['316', '95', '86', '98']
['83', '373', '361', '459']
