['ABYHN', 'OENWP', 'ZIJNW', 'ZJNIT', 'RDCTS']
['ACJRU', 'LVBGW', 'NUSHB', 'ZHVLK', 'KEMJT']
['AICHQ', 'MIKDS', 'WWYEF', 'YORBA', 'OCOQX']
['AILUZ', 'SJJMM', 'ZJQQO', 'KGIPC', 'KCHSD']
['ALMIE', 'YNIQG', 'BBKUO', 'VTOZN', 'OJGET']
['ALXRH', 'WHRVK', 'VGUGP', 'HXXMK', 'QSVBC']
['APXMD', 'XXRUC', 'ORRXP', 'AHMRO', 'ZPTPS']
['AWDBE', 'GOXXP', 'FZBVB', 'JEBNF', 'TVCFA']
['AWUBI', 'TBZDI', 'VBRPO', 'SHLYA', 'ZLQYF']
['AXQPJ', 'VFFHE', 'RMUXW', 'ZBJTS', 'VNVFZ']
['BEIFF', 'PLFWC', 'RMJIF', 'OUQMM', 'QIALM']
['BLHOQ', 'CUUFQ', 'FCJLJ', 'JXGHX', 'KYKCO']
['BNYBV', 'CIUZU', 'ZRVWH', 'SMSHQ', 'VWJWK']
['BPLLS', 'FXFUX', 'PTRTD', 'BNJLP', 'NSAJQ']
['BPZOY', 'HATBR', 'IAADS', 'GZQDO', 'NLRBO']
['BVCTY', 'HTJHJ', 'XBTFE', 'XUHAP', 'UHSWZ']
['CCNPM', 'SYIZZ', 'TKJBK', 'WNYYG', 'CBJEL']
['CFMPM', 'OXRUQ', 'UDTFQ', 'MTCGB', 'JHGWB']
['CHIJG', 'YBAFX', 'ZCVZT', 'KSCIB', 'QECFT']
['CIBMR', 'NDLFM', 'JWSRE', 'ZUTJZ', 'LCHJI']
['CIILB', 'OKQTW', 'ACMPF', 'HFDOF', 'WDGCR']
['CIOFH', 'UHYVL', 'QYLAH', 'RCZHM', 'JAFZN']
['CIPCP', 'OVYDG', 'LSZMU', 'GICKM', 'KXMSB']
['CKHRK', 'VIPLF', 'EAITX', 'KRWXO', 'MWVBQ']
['CPJBS', 'RWZXF', 'UQKOV', 'PXCKJ', 'XUYPR']
['CPTCX', 'XFNKQ', 'YXPNV', 'WAHPX', 'JOZYK']
['CSQHY', 'WJIWZ', 'VXLZU', 'QPVND', 'TYMOI']
['CVNCZ', 'QBZQQ', 'KUMCW', 'RQZPM', 'OMYLR']
['DBIOJ', 'QQUYY', 'KPECP', 'KQUJH', 'JCOPI']
['DCJPL', 'SGRXP', 'VATRQ', 'RURLC', 'TAIVA']
['DFBMK', 'RJIED', 'MRXML', 'PABIC', 'QGXZJ']
['DFVZW', 'WUCQA', 'SRUUN', 'ONQWA', 'SZXFW']
['DSUJE', 'TUSMK', 'LNIAF', 'QCHPG', 'MQDQQ']
['DUAEB', 'QQXNO', 'IVZGD', 'YWCZV', 'WCFRY']
['DVRRV', 'BJTHH', 'JMYIA', 'FZQXE', 'SGTRH']
['EADHZ', 'YQPNL', 'VQDCT', 'OVYUV', 'VGCRP']
['EBLCO', 'QBVUY', 'OZZTI', 'WAQDW', 'WTGUO']
['ECNTU', 'XWMKT', 'KDZKT', 'WJAIQ', 'JTHWI']
['EFKRH', 'QGRPC', 'KXUES', 'UGVLA', 'TAHXC']
['EHHWX', 'TFWCC', 'BGOJW', 'VPSEI', 'ZNMAJ']
['EHMWV', 'KENPF', 'HAXVF', 'VSPLU', 'LIGPC']
['ENKVR', 'PSVNQ', 'QGGOH', 'LBKGE', 'PKBGA']
['EOCJX', 'VVCGQ', 'SAVNS', 'VLQCW', 'VQAKV']
['ERQBP', 'NSTKH', 'XNYRJ', 'PQAHJ', 'SIGOM']
['ERTVL', 'MXBHP', 'TKYGG', 'AGDTK', 'FJPVZ']
['ETYTK', 'UBCVC', 'PQDFC', 'CKFJL', 'OTQON']
['EWNSH', 'PSZDK', 'MESKQ', 'WUTXG', 'JQBSO']
['EYFRR', 'HSIWG', 'ENWEP', 'NKCOJ', 'VATKD']
['FBWOW', 'RFWKF', 'NHQWU', 'YJPCO', 'OAGEZ']
