['147', '318', '244', '315', '188', '332', '89', '209', '21', '45', '95', '81', '329', '55', '299', '26', '1', '107', '8', '152', '177', '369', '286', '150', '337']
['182', '220', '388', '285', '181', '121', '389', '201', '168', '62', '305', '228', '32', '334', '52', '100', '3', '233', '158', '13', '123', '90', '287', '314', '169']
['225', '92', '349', '15', '84', '282', '109', '41', '194', '277', '108', '193', '390', '297', '159', '166', '230', '385', '42', '216', '51', '6', '306', '266', '48']
['243', '64', '335', '396', '370', '110', '30', '300', '221', '317', '144', '131', '184', '298', '132', '114', '345', '310', '139', '273', '167']
['279', '372', '44', '290', '294', '351', '386', '105', '161', '376', '157', '148', '344', '79', '23', '246', '56', '82', '391']
['7', '252', '43', '276', '143', '47', '39', '208', '14', '217', '205', '117', '375', '272', '234', '69', '202', '54', '74']
['97', '251', '379', '325', '250', '103', '77', '106', '289', '359', '212', '59', '156', '218', '397', '261', '262', '245', '347']
['153', '176', '53', '146', '341', '265', '358', '350', '312', '57', '86', '348', '363', '327', '241', '365', '203', '83', '80']
['259', '186', '229', '38', '72', '258', '231', '238', '236', '102', '174', '384', '257', '398', '130', '10', '36', '78', '338']
['340', '256', '125', '180', '316', '66', '31', '154', '155', '380', '190', '104', '207', '213', '249', '239', '364', '75', '149']
['320', '323', '0', '271', '189', '313', '291', '293', '319', '25', '399', '371', '260', '29', '232', '361', '49', '171', '342']
['324', '191', '178', '58', '333', '140', '173', '302', '28', '362', '321', '374', '165', '309', '133', '12', '172', '187', '288']
['112', '366', '255', '34', '210', '185', '223', '270', '20', '330', '356', '164', '33', '237', '65', '211', '214', '71', '307']
['111', '122', '160', '268', '206', '263', '61', '63', '120', '253', '142', '336', '382', '308', '135', '179', '198', '151', '247']
['116', '192', '98', '60', '381', '355', '68', '242', '87', '377', '296', '360', '101', '269', '175', '378', '200', '292', '183']
['127', '76', '4', '196', '283', '394', '85', '197', '170', '295', '353', '195', '145', '67', '224', '118', '9', '141', '303']
['248', '35', '280', '19', '113', '88', '395', '346', '129', '2', '219', '281', '274', '328', '40', '134', '264', '199', '227']
['138', '254', '240', '383', '204', '222', '93', '387', '311', '115', '162', '27', '91', '352', '73', '50', '343', '119', '136']
['5', '304', '96', '392', '367', '126', '357', '18', '339', '322', '46', '278', '128', '24', '94', '301', '235', '22', '17']
['16', '70', '284', '37', '393', '99', '226', '354', '275', '215', '124', '368', '326', '137', '267', '331', '373', '163', '11']
