['603', '910', '564', '40', '482', '349', '177', '446', '294', '223', '345', '255', '31', '320', '170', '915', '119', '517', '862', '774']
['843', '961', '912', '494', '102', '650', '241', '981', '252', '870', '253', '292', '270', '385', '718', '933', '736', '160', '789', '336']
['269', '356', '74', '672', '352', '799', '495', '998', '696', '803', '795', '693', '227', '904', '597', '602', '52', '742', '3', '237']
['705', '355', '695', '29', '525', '514', '882', '109', '653', '277', '513', '940', '637', '476', '67', '407', '834', '234', '462', '508']
['200', '576', '949', '836', '18', '533', '8', '970', '248', '115', '159', '293', '489', '657', '347', '647', '214', '562', '387', '467']
['174', '161', '633', '312', '702', '126', '207', '711', '922', '891', '258', '506', '460', '306', '276', '470', '218', '927', '639', '5']
['522', '523', '401', '830', '313', '465', '805', '991', '65', '982', '994', '985', '535', '26', '612', '511', '832', '604', '641', '427']
['997', '403', '108', '656', '725', '726', '698', '669', '69', '582', '156', '509', '88', '939', '486', '125', '32', '871', '864', '744']
['0', '76', '732', '350', '457', '412', '529', '217', '233', '581', '765', '846', '879', '341', '485', '123', '173', '414', '307', '463']
['124', '537', '189', '952', '611', '378', '524', '563', '920', '133', '323', '208', '113', '116', '382', '813', '360', '417', '946', '443']
['295', '792', '766', '660', '684', '477', '363', '951', '1', '165', '700', '995', '245', '166', '171', '187', '654', '794', '561', '552']
['351', '402', '590', '103', '667', '536', '106', '992', '875', '580', '466', '285', '976', '478', '391', '768', '61', '814', '472', '969']
['368', '127', '715', '545', '442', '112', '780', '176', '30', '519', '980', '719', '606', '903', '709', '681', '737', '158', '6', '615']
['373', '775', '428', '464', '526', '757', '413', '458', '448', '932', '999', '97', '364', '288', '71', '738', '556', '734', '704', '503']
['815', '242', '787', '419', '398', '316', '955', '968', '755', '135', '548', '554', '713', '731', '314', '678', '136', '953', '58', '150']
['105', '852', '268', '271', '860', '219', '665', '202', '14', '971', '433', '326', '264', '645', '431', '298', '510', '584', '338', '367']
['134', '229', '435', '204', '439', '196', '149', '889', '518', '849', '868', '620', '361', '57', '842', '793', '956', '761', '917', '236']
['781', '901', '785', '497', '626', '444', '817', '543', '2', '892', '783', '642', '343', '49', '668', '652', '680', '779', '821', '142']
['829', '228', '9', '890', '894', '297', '21', '931', '178', '758', '848', '267', '921', '673', '15', '947', '184', '625', '948', '215']
['886', '663', '461', '741', '739', '610', '937', '790', '541', '17', '924', '841', '203', '878', '691', '769', '686', '84', '274', '4']
['11', '898', '389', '38', '872', '337', '221', '366', '926', '372', '392', '107', '592', '438', '861', '50', '919', '685', '409', '802']
['281', '972', '82', '43', '114', '484', '544', '256', '148', '749', '167', '623', '262', '591', '210', '27', '163', '452', '759', '930']
['659', '551', '395', '733', '151', '310', '273', '369', '78', '226', '627', '812', '420', '155', '322', '111', '722', '760', '977', '993']
['332', '638', '825', '45', '743', '302', '899', '309', '619', '73', '989', '539', '168', '586', '95', '201', '688', '967', '583', '411']
['331', '266', '579', '36', '632', '934', '371', '662', '585', '828', '797', '303', '707', '507', '86', '380', '881', '77', '690', '19']
['883', '747', '635', '762', '216', '198', '593', '777', '676', '329', '682', '325', '447', '820', '798', '911', '289', '856', '664', '191']
['960', '117', '935', '132', '122', '887', '220', '490', '305', '453', '500', '528', '568', '157', '505', '601', '617', '850', '646', '244']
['616', '410', '559', '487', '773', '450', '206', '754', '838', '708', '938', '683', '139', '570', '867', '925', '254', '950', '822', '211']
['145', '346', '929', '655', '501', '291', '763', '300', '504', '90', '907', '796', '963', '205', '287', '598', '421', '847', '954', '7']
