['771', '700', '131', '368', '204', '326', '612', '10', '39', '625', '296', '228', '12']
['291', '857', '827', '945', '295', '623', '647', '516', '885', '739', '207', '763', '769']
['652', '144', '418', '569', '786', '72', '58', '75', '579', '820', '69', '398', '341']
['422', '849', '354', '42', '389', '283', '602', '176', '788', '60', '472', '772', '411']
['563', '198', '344', '86', '395', '88', '935', '722', '704', '83', '639', '813', '576']
['619', '500', '981', '716', '103', '22', '726', '810', '624', '760', '689', '975', '272']
['316', '608', '252', '216', '257', '927', '284', '130', '793', '795', '180', '182', '81']
['327', '385', '542', '844', '590', '260', '89', '646', '427', '440', '371', '98', '628']
['406', '91', '414', '96', '838', '435', '478', '988', '199', '868', '674', '68', '989']
['434', '432', '92', '297', '155', '351', '690', '377', '582', '611', '448', '105', '755']
['48', '872', '620', '454', '757', '27', '282', '481', '952', '171', '931', '796', '987']
['54', '108', '37', '229', '829', '887', '605', '34', '863', '109', '566', '731', '469']
['853', '349', '439', '585', '562', '87', '520', '878', '46', '730', '762', '203', '190']
['976', '559', '742', '425', '274', '733', '883', '391', '864', '636', '466', '685', '331']
['21', '145', '934', '242', '165', '298', '803', '506', '998', '77', '841', '519', '250']
['221', '99', '834', '505', '584', '580', '29', '749', '168', '526', '529', '902', '843']
['496', '903', '220', '117', '118', '852', '152', '369', '78', '19', '800', '909', '629']
['825', '225', '258', '850', '315', '592', '194', '947', '23', '114', '424', '38', '269']
['239', '249', '710', '463', '73', '917', '539', '983', '832', '490', '64', '375', '714']
['303', '515', '791', '475', '477', '188', '713', '4', '960', '137', '626', '174', '456']
['479', '93', '609', '756', '366', '959', '809', '848', '504', '691', '615', '116', '918']
['972', '521', '922', '219', '135', '95', '304', '637', '937', '862', '140', '527', '750']
['335', '224', '100', '393', '723', '912', '62', '932', '822', '589', '830', '876', '898']
['806', '783', '634', '324', '183', '886', '630', '263', '202', '363', '508', '261', '893']
['162', '65', '447', '337', '921', '415', '794', '593', '707', '962', '748', '536', '702']
['583', '279', '532', '994', '128', '24', '143', '688', '311']
['277', '40', '856', '85', '728', '645', '694', '990', '654']
['339', '492', '653', '695', '487', '656', '665', '267', '895']
['995', '115', '276', '309', '139', '352', '696', '836', '889']
['400', '178', '632', '388', '50', '293', '914', '7', '15']
['461', '211', '431', '709', '745', '877', '356', '248', '606']
['235', '814', '26', '141', '495', '186', '94', '441', '49']
['941', '692', '44', '881', '879', '979', '747', '557', '410']
['214', '18', '985', '586', '701', '977', '289', '815', '547']
['397', '246', '233', '540', '503', '553', '901', '873', '206']
['513', '372', '271', '744', '911', '433', '306', '905', '907']
['675', '396', '538', '780', '514', '53', '676', '129', '502']
['950', '677', '567', '420', '421', '318', '671', '486', '350']
['407', '313', '511', '384', '459', '801', '13', '428', '323']
['67', '982', '437', '175', '266', '237', '346', '555', '450']
['74', '973', '157', '507', '446', '90', '858', '328', '554']
['940', '302', '187', '163', '682', '512', '45', '546', '510']
['965', '436', '600', '159', '66', '17', '36', '317', '764']
['123', '859', '906', '797', '598', '265', '107', '826', '97']
['158', '933', '817', '80', '70', '408', '570', '869', '528']
['132', '784', '773', '240', '104', '799', '811', '683', '719']
['33', '978', '621', '577', '419', '807', '818', '986', '126']
['561', '292', '191', '238', '153', '575', '664', '705', '84']
['438', '984', '643', '133', '380', '300', '290', '649', '136']
['101', '270', '322', '59', '273', '882', '724', '954', '587']
['499', '662', '831', '294', '362', '574', '558', '25', '560']
['900', '288', '604', '974', '720', '453', '896', '488', '658']
['805', '792', '310', '460', '668', '151', '774', '787', '35']
['390', '154', '866', '195', '670', '860', '991', '464', '870']
['847', '725', '201', '648', '497', '55', '106', '184', '2']
['964', '340', '738', '457', '525', '192', '113', '735', '167']
['14', '734', '213', '330', '798', '491', '251', '743', '669']
['445', '967', '595', '336', '52', '939', '948', '524', '929']
['485', '110', '43', '312', '231', '837', '181', '307', '57']
['833', '522', '588', '281', '949', '405', '980', '489', '160']
['618', '992', '286', '161', '230', '523', '930', '776', '403']
['138', '661', '767', '121', '640', '394', '82', '603', '404']
['122', '884', '413', '473', '867', '305', '761', '156', '226']
['839', '951', '518', '212', '891', '374', '845', '76', '944']
