['160', '98', '269', '13', '976', '156', '265', '866', '772', '420', '867', '694', '475', '739', '848', '428', '278', '331', '508', '500', '721', '547', '80', '592', '729', '224', '526', '89', '744', '416', '423', '624', '535', '769', '903', '406', '342', '334', '114', '758']
['174', '113', '680', '175', '732', '192', '977', '324', '159', '816', '768', '183', '782', '889', '930', '75', '474', '304', '144', '560', '910', '520', '656', '84', '965', '674', '77', '851', '199', '484', '746', '60', '228', '408', '3', '569', '4', '583', '177', '528']
['210', '890', '306', '5', '401', '900', '194', '538', '808', '371', '626', '230', '557', '126', '864', '692', '338', '792', '979', '623', '318', '960', '262', '281', '676', '698', '272', '912', '818', '767', '32', '44', '275', '706', '486', '152', '55', '426', '682', '608']
['212', '771', '107', '780', '893', '552', '54', '714', '511', '512', '472', '135', '202', '790', '24', '125', '885', '388', '915', '64', '546', '40', '187', '764', '990', '116', '164', '256', '130', '336', '938', '189', '431', '279', '731', '740', '225', '138', '236', '165']
['234', '821', '285', '37', '458', '154', '9', '354', '123', '983', '1', '563', '804', '248', '14', '200', '766', '953', '268', '429', '685', '663', '989', '95', '188', '100', '609', '393', '233', '748']
['284', '356', '311', '440', '824', '545', '493', '287', '672', '926', '832', '751', '872', '909', '637', '323', '168', '301', '765', '941', '137', '544', '987', '855', '22', '859', '668']
['438', '684', '516', '629', '185', '894', '605', '504', '283', '527', '813', '367', '402', '459', '33', '280', '852', '374', '904', '434', '181', '455', '878', '289', '635', '645', '489']
['481', '469', '992', '59', '722', '588', '151', '571', '627', '858', '841', '932', '349', '664', '319', '31', '996', '566', '759', '447', '369', '358', '738', '752', '149', '454', '249']
['556', '441', '963', '62', '457', '317', '421', '755', '333', '112', '621', '793', '743', '353', '929', '847', '636', '968', '607', '50', '688', '683', '180', '669', '316', '576', '362']
['616', '802', '340', '761', '470', '986', '373', '321', '124', '103', '394', '445', '109', '66', '888', '634', '172', '6', '292', '63', '392', '377', '660', '881', '993', '582', '286']
['65', '245', '551', '665', '451', '762', '763', '988', '662', '984', '876', '276', '217', '307', '618', '972', '747', '750', '550', '8', '935', '341', '430', '410', '92', '241', '797']
['735', '61', '36', '873', '581', '962', '193', '521', '148', '288', '359', '213', '908', '261', '255', '85', '145', '282', '198', '465', '902', '435', '242', '905', '81', '432', '266']
['783', '20', '16', '510', '267', '925', '733', '506', '622', '800', '347', '439', '21', '399', '414', '553', '806', '799', '378', '875', '531', '497', '651', '901', '536', '701', '478']
['825', '773', '817', '562', '259', '463', '879', '658', '874', '12', '382', '167', '718', '973', '540', '760', '368', '418', '638', '555', '727', '677', '678', '498', '805', '227', '837']
['820', '670', '468', '999', '590', '522', '561', '35', '427', '693', '385', '322', '86', '898', '446', '922', '473', '170', '328', '491', '509', '220', '101', '247', '330', '163', '437']
['927', '502', '19', '518', '153', '38', '460', '631', '595', '479', '146', '366', '991', '68', '352', '964', '195', '294', '985', '384', '630', '26', '142', '29', '363', '741', '886']
