['139', '537', '387', '108', '132', '21', '807', '635', '64', '634', '323', '277', '189', '60', '107', '902', '41', '957', '508', '156', '962', '802', '857', '771', '516', '487', '978', '534', '106', '888', '976', '408', '640', '904', '258', '662', '723', '6', '205', '304', '590', '781', '335', '306', '201', '180', '468', '103', '917']
['147', '7', '270', '345', '584', '945', '261', '570', '671', '514', '672', '414', '488', '477', '235', '410', '819', '509', '312', '129', '40', '110', '631', '117', '599', '730', '667', '679', '622', '430', '776', '800', '761', '457', '948', '331', '343', '565', '479', '92', '918', '450', '455', '821', '939', '238', '134', '283', '35']
['15', '914', '305', '792', '257', '191', '633', '913', '755', '176', '184', '909', '162', '373', '82', '643', '695', '377', '365', '122', '940', '178', '198', '532', '552', '839', '875', '182', '220', '30', '272', '467', '496', '935', '130', '366', '32', '602', '447', '264', '1', '869', '523', '404', '798', '431', '393', '528', '836']
['157', '773', '898', '668', '770', '654', '928', '739', '218', '429', '579', '149', '768', '868', '645', '808', '936', '524', '173', '580', '151', '972', '907', '853', '116', '829', '840', '728', '702', '578', '826', '564', '273', '89', '275', '574', '402', '527', '231', '485', '71', '921', '892', '605', '50', '594', '383', '674', '718']
['171', '279', '233', '353', '401', '618', '814', '420', '31', '559', '88', '809', '970', '598', '428', '675', '23', '783', '213', '979', '469', '391', '311', '604', '704', '623', '850', '592', '619', '207', '356', '77', '625', '915', '805', '526', '512', '789', '51', '885', '340', '872', '138', '818', '832', '58', '114', '177', '46']
['175', '700', '115', '852', '160', '212', '319', '370', '109', '663', '81', '726', '262', '145', '298', '90', '204', '42', '586', '725', '8', '727', '61', '438', '359', '858', '202', '227', '724', '894', '63', '749', '641', '3', '876', '230', '371', '782', '621', '752', '595', '495', '329', '560', '192', '290', '167', '382', '949']
['219', '97', '291', '36', '27', '937', '226', '941', '344', '48', '69', '938', '765', '884', '498', '801', '942', '717', '710', '346', '617', '763', '582', '656', '188', '240', '253', '293', '950', '105', '245', '659', '285', '482', '742', '210', '249', '961', '83', '102', '738', '707', '573', '930', '228', '538', '665', '777', '842']
['222', '152', '326', '929', '325', '348', '756', '321', '417', '256', '880', '762', '476', '229', '101', '690', '971', '407', '337', '720', '716', '190', '670', '866', '39', '347', '956', '922', '684', '491', '536', '558', '449', '873', '315', '442', '510', '9', '666', '566', '521', '745', '254', '865', '703', '568', '791', '911', '446']
['225', '636', '355', '463', '296', '650', '422', '133', '895', '609', '511', '810', '17', '729', '644', '896', '613', '572', '327', '696', '472', '713', '453', '12', '211', '328', '367', '965', '421', '951', '525', '341', '38', '99', '299', '360', '268', '648', '127', '52', '94', '952', '736', '363', '423', '300', '722', '916', '834']
['234', '412', '406', '787', '155', '471', '743', '515', '392', '637', '419', '652', '434', '342', '34', '381', '864', '59', '95', '977', '128', '486', '848', '461', '750', '646', '709', '448', '338', '294', '250', '280', '735', '769', '638', '5', '881', '265', '539', '879', '44', '168', '499', '744', '861', '362', '464', '248', '545']
['236', '80', '846', '825', '583', '492', '751', '197', '320', '62', '741', '440', '931', '683', '778', '824', '615', '497', '339', '458', '780', '795', '14', '439', '797', '860', '737', '812', '386', '708', '693', '318', '816', '953', '24', '452', '174', '125', '433', '137', '332', '161', '100', '18', '54', '66', '441', '838', '784']
['269', '817', '714', '10', '206', '556', '616', '29', '209', '413', '955', '314', '815', '518', '57', '841', '958', '600', '779', '247', '324', '16', '241', '349', '506', '389', '632', '883', '701', '478', '208', '827', '575', '785', '697', '845', '56', '851', '141', '849', '179', '158', '244', '330', '0', '611', '25', '705', '517']
['284', '76', '689', '195', '887', '443', '934', '655', '806', '502', '549', '166', '649', '691', '216', '424', '395', '333', '224', '589', '856', '286', '19', '352', '232', '169', '577', '748', '567', '416', '466', '576', '837', '385', '557', '425', '313', '131', '946', '354', '183', '266', '263', '944', '553', '123', '878', '186', '67']
['288', '677', '910', '435', '203', '543', '181', '124', '661', '588', '899', '660', '260', '759', '658', '843', '874', '398', '531', '2', '11', '651', '49', '121', '919', '163', '113', '281', '721', '975', '251', '867', '119', '541', '78', '546', '308', '924', '877', '571', '733', '734', '379', '150', '164', '4', '954', '465', '135']
['292', '68', '243', '925', '309', '969', '475', '831', '844', '542', '547', '692', '310', '259', '65', '606', '336', '96', '437', '897', '678', '72', '664', '628', '501', '217', '905', '966', '520', '642', '973', '629', '786', '507', '699', '760', '587', '154', '79', '140', '146', '278', '960', '813', '833', '912', '28', '522', '947']
['302', '405', '603', '788', '719', '445', '774', '920', '85', '399', '159', '669', '607', '297', '835', '504', '357', '334', '927', '316', '196', '374', '242', '493', '252', '964', '859', '967', '276', '758', '187', '317', '390', '530', '591', '411', '451', '223', '903', '901', '533', '757', '711', '432', '378', '165', '544', '551', '706']
['351', '295', '426', '91', '33', '55', '882', '200', '142', '513', '93', '481', '112', '569', '185', '529', '470', '104', '685', '624', '889', '682', '193', '890', '459', '753', '732', '608', '47', '118', '436', '358', '43', '563', '822', '811', '799', '519', '746', '70', '397', '676', '444', '804', '462', '793', '959', '627', '891']
['368', '86', '653', '494', '540', '500', '246', '380', '144', '550', '136', '22', '26', '73', '282', '98', '400', '375', '747', '460', '483', '943', '639', '906', '287', '415', '794', '172', '862', '126', '13', '854', '409', '823', '893', '803', '75', '376', '237', '740', '715', '87', '766', '963', '871', '396', '394', '427', '456']
['388', '754', '614', '307', '647', '505', '20', '153', '612', '830', '886', '120', '686', '585', '239', '828', '687', '350', '221', '657', '143', '855', '271', '148', '45', '561', '772', '274', '554', '764', '84', '767', '681', '596', '369', '490', '215', '863', '194', '581', '847', '255', '731', '170', '932', '620', '698', '37', '610']
['418', '484', '301', '403', '267', '926', '548', '303', '361', '680', '214', '454', '908', '364', '820', '322', '289', '372', '480', '673', '796', '53', '562', '626', '489', '974', '199', '923', '870', '535', '384', '111', '712', '933', '790', '555', '694', '601', '775', '968', '630', '474', '473', '900', '503', '74', '593', '597', '688']
