['139', '839', '532', '552', '875', '182', '940', '198', '220', '30', '272', '365', '178', '467', '496', '935', '130', '695', '122', '366', '32', '602', '447', '264', '1', '82', '377', '869', '523', '404', '798', '431', '393', '373', '643', '528', '597', '931', '320', '17', '644', '162', '909', '692', '65', '62', '583', '511', '729']
['147', '938', '291', '97', '36', '27', '937', '226', '941', '344', '48', '69', '765', '884', '498', '801', '942', '717', '710', '346', '617', '763', '582', '656', '188', '240', '253', '293', '950', '105', '245', '659', '285', '482', '742', '210', '249', '961', '83', '102', '738', '707', '573', '930', '228', '538', '665', '777', '555']
['15', '539', '879', '265', '44', '881', '168', '5', '499', '638', '744', '769', '861', '735', '362', '280', '464', '250', '248', '294', '416', '338', '577', '448', '169', '709', '748', '232', '567', '646', '466', '352', '576', '750', '837', '19', '674', '461', '385', '286', '383', '848', '557', '856', '594', '486', '425', '589', '718']
['157', '426', '91', '295', '244', '882', '33', '55', '785', '158', '200', '142', '632', '697', '513', '93', '389', '324', '481', '112', '827', '575', '841', '569', '185', '849', '179', '57', '314', '529', '470', '705', '255', '779', '247', '955', '29', '104', '685', '390', '530', '349', '506', '616', '10', '317', '758', '478', '731']
['171', '518', '958', '413', '815', '600', '16', '241', '209', '556', '883', '701', '714', '206', '845', '56', '817', '330', '0', '657', '855', '350', '148', '828', '45', '585', '627', '120', '959', '830', '793', '153', '462', '612', '804', '886', '444', '686', '676', '239', '397', '687', '70', '221', '746', '143', '519', '271', '456']
['175', '550', '22', '380', '73', '500', '98', '494', '375', '653', '460', '540', '943', '246', '906', '144', '415', '136', '26', '282', '400', '747', '483', '639', '287', '66', '100', '18', '54', '161', '441', '838', '332', '682', '49', '137', '624', '11', '125', '889', '531', '452', '193', '874', '953', '890', '658', '318', '76']
['219', '74', '613', '572', '327', '696', '472', '713', '453', '12', '211', '328', '367', '965', '421', '951', '525', '341', '38', '99', '299', '360', '268', '648', '127', '52', '94', '952', '736', '363', '423', '300', '722', '916', '545', '86', '170', '35', '775', '484', '949', '473', '891', '790', '405', '446', '844', '688', '135']
['222', '611', '25', '851', '297', '504', '208', '141', '607', '835', '399', '669', '85', '159', '719', '920', '788', '603', '445', '774', '876', '387', '108', '132', '21', '807', '635', '64', '634', '323', '277', '189', '60', '107', '902', '41', '957', '508', '156', '962', '802', '857', '771', '516', '487', '978', '534', '537', '46']
['225', '121', '651', '919', '2', '163', '398', '113', '843', '281', '759', '721', '660', '975', '588', '251', '124', '867', '543', '119', '435', '541', '677', '78', '910', '546', '203', '308', '181', '924', '661', '877', '899', '571', '260', '733', '734', '379', '150', '164', '4', '954', '465', '591', '411', '451', '223', '903', '847']
['234', '28', '215', '833', '369', '960', '681', '278', '84', '813', '554', '912', '772', '522', '274', '307', '764', '647', '767', '505', '596', '20', '490', '551', '863', '544', '194', '165', '581', '378', '791', '432', '703', '711', '254', '757', '521', '533', '666', '901', '510', '315', '449', '536', '922', '39', '347', '866', '610']
['236', '631', '40', '599', '312', '667', '819', '622', '235', '488', '672', '671', '261', '584', '270', '7', '345', '945', '570', '514', '414', '477', '410', '509', '129', '110', '117', '730', '679', '430', '776', '800', '761', '457', '948', '331', '343', '565', '479', '92', '918', '450', '455', '821', '939', '238', '134', '283', '834']
['269', '3', '180', '468', '103', '115', '852', '160', '212', '319', '370', '109', '335', '663', '81', '726', '700', '145', '298', '90', '204', '42', '586', '725', '727', '61', '438', '306', '290', '858', '202', '724', '894', '63', '749', '641', '106', '888', '976', '408', '640', '904', '258', '662', '723', '6', '205', '304', '593']
['284', '605', '892', '50', '921', '71', '485', '231', '527', '402', '574', '275', '89', '273', '564', '826', '578', '702', '728', '840', '829', '116', '907', '151', '173', '936', '645', '768', '579', '218', '928', '770', '898', '773', '668', '654', '739', '429', '149', '868', '808', '524', '580', '972', '853', '58', '233', '353', '561']
['288', '87', '401', '618', '814', '420', '31', '559', '88', '809', '970', '598', '428', '675', '23', '783', '213', '979', '469', '391', '311', '604', '704', '623', '850', '592', '619', '207', '356', '77', '625', '915', '805', '526', '512', '789', '51', '885', '340', '872', '138', '818', '832', '114', '177', '854', '409', '823', '836']
['292', '966', '520', '642', '973', '629', '786', '507', '699', '760', '587', '154', '79', '140', '146', '911', '568', '865', '745', '566', '9', '442', '873', '558', '684', '267', '893', '803', '75', '376', '237', '740', '715', '766', '963', '871', '396', '394', '427', '37', '403', '926', '820', '322', '214', '548', '303', '361', '614']
['302', '437', '96', '606', '897', '678', '336', '259', '72', '664', '310', '547', '628', '501', '542', '217', '905', '192', '230', '172', '371', '782', '621', '752', '595', '560', '590', '781', '201', '262', '8', '359', '227', '495', '329', '167', '382', '862', '794', '126', '716', '190', '720', '670', '337', '407', '971', '690', '932']
['351', '463', '636', '296', '355', '650', '422', '133', '895', '609', '810', '831', '475', '186', '969', '878', '309', '123', '925', '553', '243', '944', '68', '263', '266', '183', '354', '946', '131', '313', '967', '276', '493', '252', '196', '334', '357', '927', '316', '374', '242', '964', '859', '187', '535', '680', '13', '454', '917']
['368', '257', '755', '176', '305', '191', '914', '792', '633', '913', '184', '870', '908', '364', '301', '289', '372', '480', '673', '796', '53', '562', '626', '489', '698', '974', '199', '923', '279', '384', '111', '712', '325', '348', '326', '756', '152', '321', '929', '417', '256', '880', '762', '476', '229', '101', '754', '751', '474']
['388', '649', '691', '166', '216', '549', '424', '502', '395', '806', '333', '655', '224', '934', '443', '887', '195', '689', '615', '778', '824', '497', '339', '440', '683', '197', '741', '825', '846', '80', '492', '67', '743', '155', '406', '412', '787', '471', '515', '392', '637', '419', '652', '434', '342', '34', '381', '864', '784']
['418', '900', '947', '968', '630', '812', '708', '860', '439', '795', '458', '780', '14', '797', '737', '386', '693', '816', '24', '174', '433', '977', '128', '95', '59', '620', '896', '358', '436', '43', '118', '563', '47', '822', '608', '811', '732', '799', '753', '459', '503', '601', '933', '517', '842', '706', '956', '491', '694']
