['837', '265', '763', '719', '621', '507', '74', '976', '994', '696', '337', '234', '97', '889', '251', '918', '189', '153', '880', '237', '728', '993', '374', '910', '509', '199', '526', '600', '505', '902', '348', '131', '217', '373', '393', '104', '8', '193', '913', '262']
['91', '484', '602', '177', '268', '263', '699', '547', '417', '432', '385', '908', '612', '458', '779', '707', '648', '898', '566', '716', '965', '382', '48', '717', '248', '663', '826', '183', '38', '247', '847', '1', '929', '202', '713', '397', '516', '793', '815', '783']
['218', '670', '724', '584', '236', '12', '472', '379', '441', '746', '288', '274', '947', '136', '62', '892', '519', '96', '860', '289', '160', '319', '914', '354', '856', '375', '891', '117', '392', '267', '580', '581', '122', '296', '613', '970', '39', '574', '85', '68']
['59', '533', '606', '638', '921', '714', '822', '797', '961', '543', '159', '196', '893', '338', '715', '161', '253', '838', '771', '548', '848', '935', '7', '209', '190', '306', '635', '312', '269', '89', '656', '542', '660', '688', '687', '601', '358', '98', '658', '677']
['981', '785', '88', '603', '437', '72', '347', '423', '220', '896', '760', '225', '622', '207', '868', '500', '134', '523', '95', '141', '925', '241', '135', '492', '297', '108', '592', '378', '836', '427', '508', '689', '459', '102']
['240', '911', '123', '627', '813', '481', '907', '616', '127', '944', '802', '479', '387', '927', '476', '424', '971', '235', '419', '720', '126', '455', '381', '738', '329', '686', '759', '438', '82', '69', '833']
['103', '883', '750', '457', '403', '846', '791', '941', '890', '514', '51', '395', '18', '433', '642', '712', '632', '964', '577', '181', '617', '851', '286', '855', '755', '525', '620', '22', '491', '814', '431']
['105', '132', '992', '478', '407', '672', '292', '694', '245', '184', '541', '213', '773', '369', '147', '503', '579', '198', '443', '794', '298', '671', '330', '495', '316', '252', '340', '83', '565', '34', '73']
['232', '41', '624', '172', '923', '111', '594', '987', '858', '683', '607', '349', '824', '943', '400', '571', '454', '40', '313', '436', '517', '471', '114', '273', '905', '487', '742', '576', '498', '775', '195']
['254', '460', '675', '945', '748', '999', '283', '916', '450', '725', '973', '63', '930', '978', '651', '982', '960', '356', '678', '989', '956', '895', '560', '13', '256', '285', '166', '544', '231', '257', '451']
['90', '832', '94', '0', '781', '527', '983', '327', '680', '734', '583', '413', '32', '962', '721', '546', '203', '807', '49', '578', '645', '818', '300', '872', '238', '682', '835', '212', '445', '703', '344']
['75', '888', '204', '840', '281', '614', '885', '361', '870', '764', '272', '701', '938', '709', '596', '367', '737', '6', '158', '244', '780', '411', '647', '766', '29', '582', '440', '197', '853', '641', '430']
['806', '341', '598', '521', '490', '26', '175', '664', '280', '986', '415', '3', '786', '449', '343', '767', '128', '442', '150', '444', '211', '336', '301', '605', '706', '30', '468', '558', '997', '77', '539']
['949', '320', '410', '604', '511', '573', '867', '264', '975', '809', '120', '591', '692', '287', '480', '497', '768', '904', '447', '549', '121', '499', '522', '561', '977', '878', '789', '653', '2', '335', '735']
['969', '980', '652', '553', '452', '109', '86', '920', '743', '879', '208', '60', '414', '80', '408', '71', '64', '740', '294', '291', '325', '590', '951', '214', '639', '462', '732', '801', '322', '364', '634']
['107', '133', '10', '831', '180', '125', '588', '545', '795', '243', '309', '399', '589', '537', '705', '351', '386', '690', '636', '28', '864', '554', '650', '551', '805', '723', '865', '210', '439', '727', '697']
['360', '362', '352', '163', '640', '422', '954', '324', '370', '118', '540', '396', '668', '745', '55', '365', '752', '676', '11', '799', '827', '968', '684', '463', '729', '937', '730', '194', '534', '529', '655']
['185', '20', '700', '149', '988', '572', '772', '586', '112', '389', '129', '657', '426', '79', '169', '170', '504', '350', '328', '575', '326', '747', '900', '946', '845', '744', '788', '803', '152', '331', '485']
['258', '524', '842', '311', '317', '179', '859', '21', '972', '857', '633', '828', '19', '165', '357', '92', '894', '666', '246', '979', '302', '130', '816', '418', '192', '852', '536', '299', '305', '45', '792']
['266', '388', '76', '829', '555', '796', '293', '685', '877', '124', '474', '609', '510', '811', '70', '178', '673', '922', '887', '99', '37', '528', '371', '4', '810', '515', '934', '46', '776', '942', '402']
