['261', '919', '230', '800', '381', '343', '753', '929', '76', '349']
['176', '582', '347', '589', '680', '876', '131', '956', '33', '104']
['204', '634', '140', '260', '608', '550', '734', '904', '223', '444']
['212', '54', '975', '283', '241', '138', '471', '97', '341', '868']
['290', '611', '417', '382', '383', '704', '304', '978', '53', '390']
['338', '371', '558', '166', '869', '175', '670', '813', '369', '522']
['345', '413', '570', '329', '697', '266', '36', '209', '489', '625']
['364', '225', '27', '716', '403', '573', '626', '77', '312', '700']
['847', '905', '306', '917', '563', '428', '772', '90', '690', '758']
['394', '743', '862', '498', '739', '179', '414', '421', '857', '642']
['490', '532', '106', '519', '134', '808', '616', '475', '744', '37']
['511', '466', '139', '249', '376', '278', '262', '72', '303', '116']
['583', '479', '518', '717', '227', '882', '719', '276', '113', '268']
['597', '310', '282', '198', '940', '871', '912', '40', '226', '141']
['609', '244', '507', '143', '185', '769', '91', '187', '971', '336']
['619', '685', '294', '773', '50', '433', '987', '35', '84', '71']
['711', '809', '170', '188', '325', '916', '56', '379', '888', '662']
['849', '587', '535', '527', '485', '118', '297', '377', '682', '44']
['722', '565', '645', '17', '163', '726', '119', '665', '315', '692']
['812', '234', '736', '691', '148', '182', '1', '883', '100', '438']
['855', '897', '233', '477', '236', '202', '578', '641', '551', '924']
['858', '735', '588', '720', '686', '62', '877', '792', '401', '102']
['628', '544', '925', '846', '235', '58', '996', '67', '661', '613']
['910', '647', '779', '372', '256', '712', '308', '459', '384', '406']
['994', '446', '581', '78', '405', '339', '289', '393', '658', '133']
['127', '358', '23', '122', '713', '217', '816', '319', '935', '886']
['157', '520', '577', '796', '292', '474', '155', '374', '906', '491']
['207', '569', '671', '98', '426', '41', '815', '853', '851', '123']
['412', '586', '454', '928', '936', '718', '391', '763', '561', '162']
['186', '419', '68', '287', '657', '351', '891', '617', '590', '793']
['203', '418', '774', '920', '933', '767', '94', '174', '968', '819']
['930', '723', '335', '728', '828', '512', '747', '425', '860', '966']
['258', '635', '863', '931', '29', '988', '63', '672', '472', '649']
['314', '361', '482', '31', '778', '623', '80', '57', '420', '441']
['328', '42', '709', '953', '357', '909', '980', '981', '725', '533']
['397', '147', '468', '164', '529', '455', '875', '332', '359', '237']
['467', '326', '16', '946', '986', '59', '823', '81', '794', '424']
['8', '480', '553', '674', '93', '970', '22', '506', '592', '516']
['730', '153', '388', '462', '243', '487', '599', '666', '947', '221']
['4', '121', '546', '125', '484', '505', '756', '494', '995', '861']
['255', '913', '837', '385', '524', '705', '272', '620', '695', '291']
['513', '320', '356', '389', '443', '633', '311', '2', '630']
['521', '43', '618', '285', '184', '169', '955']
['525', '926', '515', '3', '937', '206', '880']
['541', '245', '6', '265', '344', '101', '64']
['594', '464', '841', '629', '156', '253', '45']
['631', '605', '13', '598', '15', '493', '486']
['636', '952', '892', '850', '404', '293', '165']
['663', '144', '788', '470', '867', '754', '791']
['696', '238', '85', '783', '610', '124', '99']
['703', '447', '624', '115', '481', '429', '214']
['836', '69', '864', '714', '126', '810', '469']
['745', '950', '259', '499', '355', '845', '839']
['75', '154', '840', '497', '648', '844', '681']
['817', '445', '903', '547', '881', '240', '584']
['820', '733', '180', '771', '128', '12', '932']
['948', '802', '380', '943', '689', '998', '150']
['112', '224', '0', '416', '46', '407', '807']
['530', '502', '790', '14', '220', '777', '442']
['900', '257', '392', '806', '762', '28', '556']
['136', '751', '248', '701', '423', '974', '514']
['151', '805', '107', '152', '829', '856', '465']
['557', '654', '596', '865', '373', '95', '939']
['178', '269', '549', '976', '250', '576', '105']
['210', '660', '277', '353', '476', '945', '110']
['213', '770', '941', '652', '814', '612', '710']
['218', '74', '694', '460', '944', '559', '333']
['985', '378', '284', '366', '795', '47', '602']
['286', '887', '595', '264', '776', '604', '528']
['305', '39', '921', '331', '323', '962', '251']
['318', '20', '396', '49', '146', '32', '942']
['346', '742', '885', '548', '614', '615', '555']
['352', '651', '321', '229', '531', '782', '488']
['368', '973', '337', '427', '61', '340', '727']
['387', '114', '398', '797', '977', '911', '958']
['402', '317', '432', '825', '560', '593', '902']
['949', '899', '804', '676', '503', '191', '755']
['431', '536', '440', '915', '408', '632', '607']
['896', '879', '834', '449', '18', '87', '538']
['435', '621', '26', '567', '575', '821', '448']
['242', '539', '117', '534', '824', '523', '254']
['457', '219', '842', '989', '415', '130', '30']
['473', '211', '766', '999', '969', '296', '878']
['197', '960', '199', '177', '83', '422', '637']
['52', '88', '496', '653', '161', '737', '11']
['526', '890', '159', '822', '600', '893', '972']
['898', '708', '961', '173', '10', '884', '798']
['360', '450', '495', '579', '273', '82', '280']
['554', '208', '640', '517', '585', '24', '752']
['938', '307', '160', '196', '591', '299', '452']
['362', '434', '789', '216', '34', '461', '436']
['679', '757', '246', '411', '120', '761', '453']
['655', '542', '715', '927', '866', '675', '957']
['668', '684', '252', '667', '993', '89', '215']
['568', '818', '678', '439', '200', '638', '699']
['746', '656', '698', '509', '73', '275', '300']
['740', '350', '500', '65', '194', '167', '399']
['748', '983', '775', '458', '574', '247', '580']
['907', '811', '537', '66', '992', '334', '231']
['784', '835', '271', '222', '843', '7', '279']
['786', '504', '132', '354', '330', '923', '721']
['79', '622', '195', '803', '895', '109', '483']
['889', '342', '707', '189', '566', '456', '543']
