['261', '919', '230', '800', '381', '343', '753', '395', '341', '217']
['176', '582', '347', '589', '680', '876', '131', '630', '571', '375']
['204', '634', '140', '260', '608', '550', '734', '523', '223', '935']
['212', '54', '975', '283', '241', '138', '471', '682', '552', '857']
['290', '611', '417', '382', '383', '704', '304', '103', '463', '288']
['338', '371', '558', '166', '869', '175', '670', '951', '816', '538']
['345', '413', '570', '329', '697', '266', '36', '409', '894', '764']
['364', '225', '27', '716', '403', '573', '626', '852', '708', '613']
['922', '142', '313', '158', '46', '787', '991', '692', '102', '592']
['394', '743', '862', '498', '739', '179', '414', '883', '124', '226']
['490', '532', '106', '519', '134', '808', '616', '819', '566', '57']
['511', '466', '139', '249', '376', '278', '262', '868', '533', '706']
['583', '479', '518', '717', '227', '882', '719', '369', '522', '731']
['597', '310', '282', '198', '940', '871', '912', '90', '712', '690']
['609', '244', '507', '143', '185', '769', '91', '928', '665', '888']
['619', '685', '294', '773', '50', '433', '987', '96', '135', '564']
['711', '809', '170', '188', '325', '916', '56', '664', '732', '301']
['646', '51', '60', '691', '196', '205', '838', '21', '872', '149']
['722', '565', '645', '17', '163', '726', '119', '263', '990', '561']
['812', '234', '736', '148', '182', '1', '820', '220', '70', '465']
['855', '897', '233', '477', '236', '202', '578', '981', '556', '300']
['858', '735', '588', '720', '686', '62', '877', '700', '312', '963']
['81', '133', '287', '468', '762', '259', '428', '899', '982', '258']
['910', '905', '647', '779', '372', '256', '308', '424', '492', '772']
['994', '446', '581', '78', '405', '339', '289', '932', '162', '861']
['127', '846', '358', '23', '122', '713', '628', '727', '642', '315']
['157', '520', '577', '796', '292', '474', '155', '146', '32', '754']
['207', '569', '671', '98', '426', '41', '815', '904', '837', '270']
['37', '955', '702', '231', '475', '309', '171', '568', '738', '183']
['666', '850', '590', '279', '652', '947', '299', '332', '992', '995']
['860', '97', '488', '966', '380', '605', '943', '483', '120', '379']
['73', '979', '926', '28', '673', '746', '108', '596', '794', '128']
['965', '232', '866', '293', '892', '221', '165', '469', '441', '117']
['314', '361', '482', '31', '778', '623', '80', '620', '733', '729']
['328', '42', '709', '953', '357', '909', '980', '878', '386', '35']
['397', '147', '164', '529', '455', '875', '663', '84', '276', '367']
['467', '326', '16', '946', '986', '59', '823', '758', '791', '870']
['436', '434', '377', '848', '229', '274', '481', '5', '421', '537']
['362', '789', '219', '524', '216', '99', '34', '985', '924', '53']
['487', '730', '153', '388', '243', '462', '599', '972', '540', '707']
['896', '879', '68', '8', '834', '977', '449', '92', '893', '459']
['513', '657', '320', '356', '389', '443', '633', '728', '193']
['521', '43', '618', '285', '184', '169', '85']
['525', '515', '3', '937', '206', '880', '242']
['541', '245', '6', '265', '344', '101', '64']
['594', '464', '674', '841', '629', '156', '253']
['631', '553', '13', '598', '15', '493', '419']
['636', '952', '404', '349', '323', '141', '770']
['911', '811', '942', '319', '695', '114', '649']
['696', '121', '238', '783', '610', '962', '458']
['703', '447', '624', '115', '429', '214', '512']
['698', '391', '831', '420', '997', '741', '412']
['745', '950', '499', '355', '845', '839', '851']
['75', '154', '840', '497', '648', '844', '681']
['817', '445', '903', '547', '881', '240', '584']
['306', '576', '178', '250', '269', '392', '173']
['948', '802', '689', '998', '150', '489', '425']
['112', '224', '0', '416', '407', '807', '181']
['19', '863', '284', '38', '25', '949', '795']
['125', '843', '316', '4', '82', '116', '756']
['830', '160', '291', '555', '885', '55', '30']
['151', '805', '107', '152', '502', '829', '856']
['501', '385', '272', '273', '693', '295', '137']
['200', '818', '603', '939', '701', '687', '747']
['210', '660', '277', '353', '476', '945', '546']
['213', '941', '814', '612', '484', '79', '710']
['218', '74', '694', '460', '944', '559', '333']
['699', '257', '350', '411', '678', '929', '782']
['286', '418', '887', '595', '264', '776', '604']
['305', '39', '921', '331', '586', '654', '251']
['318', '587', '527', '485', '297', '20', '396']
['346', '742', '442', '548', '480', '614', '615']
['352', '486', '651', '321', '531', '508', '884']
['368', '973', '337', '535', '427', '61', '340']
['387', '398', '797', '790', '247', '958', '457']
['402', '378', '317', '432', '825', '560', '593']
['95', '891', '864', '607', '714', '177', '836']
['431', '602', '536', '440', '915', '408', '632']
['93', '228', '374', '549', '267', '718', '437']
['435', '621', '26', '567', '575', '821', '448']
['58', '7', '925', '544', '930', '996', '235']
['627', '195', '199', '984', '643', '359', '322']
['473', '211', '766', '999', '969', '676', '635']
['767', '725', '24', '749', '268', '12', '186']
['52', '88', '496', '94', '505', '180', '653']
['526', '69', '191', '503', '890', '159', '822']
['534', '296', '591', '126', '755', '978', '971']
['579', '450', '638', '252', '799', '360', '461']
['554', '208', '640', '517', '585', '752', '393']
['927', '89', '516', '667', '655', '363', '40']
['136', '751', '248', '63', '423', '974', '514']
['914', '798', '625', '780', '209', '104', '989']
['744', '298', '399', '192', '688', '721', '65']
['668', '684', '993', '452', '215', '907', '113']
['495', '439', '920', '161', '11', '324', '451']
['49', '895', '365', '968', '453', '33', '174']
['740', '500', '194', '167', '785', '478', '109']
['748', '144', '983', '775', '788', '470', '867']
['761', '679', '472', '835', '87', '757', '246']
['784', '130', '842', '271', '307', '938', '303']
['786', '504', '132', '354', '330', '923', '390']
['14', '563', '530', '777', '847', '384', '71']
['737', '47', '622', '29', '172', '967', '803']
['617', '539', '793', '201', '824', '77', '661']
['826', '562', '760', '22', '45', '342', '311']
['672', '705', '600', '913', '255', '886', '833']
['854', '86', '669', '917', '781', '918', '100']
['873', '961', '988', '898', '853', '683', '874']
['901', '510', '366', '572', '111', '724', '970']
['454', '658', '275', '10', '302', '44', '509']
['956', '865', '415', '373', '422', '810', '557']
['110', '906', '765', '908', '2', '644', '606']
['9', '723', '801', '410', '677', '828', '335']
['902', '931', '348', '370', '933', '806', '543']
['957', '542', '334', '675', '18', '759', '72']
['959', '400', '456', '827', '849', '601', '189']
['964', '351', '203', '774', '280', '750', '662']
['976', '105', '190', '48', '545', '771', '813']
['960', '197', '83', '715', '637', '66', '763']
['67', '76', '222', '954', '804', '792', '401']
['327', '934', '650', '239', '187', '506', '659']
['768', '639', '281', '254', '123', '656', '832']
['551', '336', '118', '641', '444', '129', '237']
['406', '574', '494', '889', '491', '580', '438']
['145', '528', '859', '900', '936', '430', '168']
