['0', '586', '172', '251', '287', '709']
['1', '185', '627', '386', '155', '543']
['100', '621', '616', '466', '109', '26']
['102', '15', '110', '117', '239', '662']
['103', '402', '27', '63', '456', '716']
['107', '169', '422', '442', '548', '388']
['108', '533', '201', '431', '445', '500']
['516', '7', '20', '554', '225', '206']
['114', '231', '381', '362', '41', '269']
['665', '598', '220', '137', '200', '479']
['119', '488', '700', '49', '9', '249']
['120', '529', '703', '308', '672', '675']
['124', '446', '45', '472', '266', '212']
['125', '374', '537', '582', '175', '589']
['128', '650', '246', '492', '683', '146']
['132', '358', '64', '473', '631', '546']
['133', '417', '407', '507', '349', '245']
['134', '65', '333', '86', '612', '660']
['429', '424', '501', '588', '254', '255']
['138', '564', '385', '511', '259', '141']
['143', '178', '517', '56', '159', '544']
['145', '430', '303', '447', '14', '293']
['150', '16', '538', '469', '342', '211']
['153', '585', '313', '296', '698', '54']
['10', '427', '68', '436', '379', '556']
['156', '493', '484', '23', '171', '51']
['158', '277', '76', '341', '354', '91']
['418', '67', '593', '234', '98', '35']
['161', '459', '690', '685', '365', '661']
['162', '633', '602', '396', '236', '695']
['168', '126', '272', '557', '584', '636']
['17', '715', '209', '190', '304', '52']
['712', '410', '196', '620', '412', '490']
['151', '278', '623', '21', '527', '345']
['173', '182', '655', '632', '656', '499']
['174', '323', '599', '5', '420', '539']
['340', '534', '289', '8', '193', '667']
['179', '600', '267', '401', '471', '165']
['186', '390', '244', '383', '78', '57']
['228', '352', '701', '152', '657', '648']
['191', '188', '294', '210', '647', '409']
['194', '575', '470', '97', '512', '530']
['197', '638', '295', '606', '635', '215']
['199', '123', '678', '261', '395', '443']
['2', '629', '461', '208', '72', '577']
['566', '645', '426', '504', '316', '181']
['53', '508', '148', '518', '29', '515']
['205', '377', '363', '311', '641', '312']
['207', '62', '579', '603', '406', '84']
['626', '547', '242', '232', '710', '693']
['213', '604', '241', '275', '595', '625']
['214', '458', '265', '464', '411', '522']
['216', '463', '457', '276', '25', '79']
['218', '524', '509', '696', '92', '628']
['221', '226', '686', '318', '684', '651']
['224', '85', '250', '382', '263', '440']
['75', '136', '719', '674', '542', '12']
['96', '350', '176', '112', '281', '423']
['237', '462', '264', '570', '451', '679']
['66', '372', '111', '80', '306', '441']
['24', '541', '310', '305', '713', '48']
['240', '505', '619', '30', '19', '93']
['677', '88', '283', '319', '252', '413']
['83', '192', '164', '400', '229', '157']
['105', '90', '394', '454', '682', '301']
['247', '433', '520', '309', '608', '596']
['248', '449', '166', '536', '519', '274']
['483', '101', '94', '398', '320', '453']
['491', '203', '666', '559', '260', '380']
['550', '44', '717', '573', '387', '28']
['391', '597', '414', '718', '59', '506']
['262', '708', '639', '558', '489', '39']
['160', '147', '419', '34', '415', '553']
['644', '614', '40', '510', '572', '571']
['403', '339', '73', '302', '702', '43']
['317', '332', '144', '300', '184', '676']
['270', '348', '640', '552', '711', '89']
['271', '634', '578', '569', '325', '503']
['233', '561', '122', '344', '204', '587']
['273', '222', '392', '495', '163', '257']
['549', '46', '38', '376', '198', '121']
['279', '560', '258', '217', '699', '605']
['268', '47', '368', '526', '567', '361']
['286', '646', '81', '673', '594', '434']
['351', '355', '476', '697', '129', '356']
['139', '680', '562', '329', '714', '405']
['227', '465', '692', '528', '336', '455']
['551', '658', '314', '617', '581', '611']
['322', '649', '421', '601', '691', '389']
['610', '478', '642', '583', '77', '36']
['337', '707', '55', '6', '432', '525']
['307', '480', '70', '180', '167', '4']
['285', '664', '618', '95', '659', '671']
['130', '187', '335', '681', '663', '408']
['292', '689', '253', '99', '82', '706']
['477', '291', '183', '452', '643', '230']
['315', '369', '373', '116', '486', '331']
['652', '60', '338', '705', '384', '360']
['591', '630', '545', '42', '18', '467']
['334', '298', '563', '288', '37', '170']
['32', '475', '106', '622', '580', '202']
['498', '11', '321', '615', '118', '3']
['324', '343', '347', '540', '284', '444']
['326', '393', '327', '450', '670', '576']
['299', '282', '189', '33', '22', '135']
['328', '367', '13', '195', '448', '688']
['330', '397', '115', '425', '154', '416']
['574', '370', '624', '364', '378', '104']
['487', '609', '555', '58', '142', '482']
['399', '359', '653', '371', '532', '521']
['31', '256', '496', '74', '238', '353']
['468', '704', '514', '366', '177', '568']
['435', '357', '404', '61', '437', '235']
['290', '497', '502', '613', '669', '50']
['140', '687', '565', '219', '439', '654']
['668', '113', '69', '513', '485', '243']
['149', '131', '438', '535', '460', '592']
['223', '280', '523', '494', '637', '694']
['531', '481', '375', '474', '71', '87']
['346', '590', '297', '127', '607', '428']
