['0', '586', '172', '251', '287', '674']
['1', '185', '627', '386', '155', '569']
['100', '621', '616', '466', '109', '31']
['102', '15', '110', '117', '239', '403']
['103', '402', '27', '63', '456', '195']
['107', '169', '422', '442', '548', '551']
['108', '533', '201', '431', '445', '540']
['557', '126', '514', '168', '584', '11']
['114', '231', '381', '362', '41', '589']
['382', '85', '250', '263', '612', '398']
['119', '488', '700', '49', '9', '344']
['120', '529', '703', '308', '672', '661']
['124', '446', '45', '472', '266', '51']
['125', '374', '537', '582', '175', '274']
['128', '355', '219', '44', '476', '91']
['132', '358', '64', '473', '631', '260']
['133', '417', '407', '507', '349', '719']
['134', '65', '333', '86', '629', '360']
['137', '598', '498', '665', '220', '668']
['138', '564', '385', '511', '259', '649']
['143', '178', '517', '56', '159', '573']
['145', '430', '303', '447', '14', '596']
['150', '16', '538', '469', '342', '53']
['153', '585', '313', '296', '698', '482']
['609', '555', '487', '58', '142', '590']
['156', '493', '484', '23', '171', '605']
['158', '277', '76', '341', '354', '42']
['54', '59', '391', '254', '718', '387']
['161', '459', '690', '685', '365', '716']
['162', '633', '602', '396', '236', '28']
['113', '18', '69', '513', '485', '576']
['17', '715', '209', '190', '304', '578']
['526', '268', '368', '567', '93', '503']
['293', '246', '492', '683', '238', '561']
['173', '182', '655', '632', '656', '249']
['174', '323', '599', '5', '420', '423']
['139', '680', '562', '552', '329', '717']
['179', '600', '267', '401', '471', '321']
['186', '390', '244', '383', '78', '577']
['581', '658', '314', '617', '43', '408']
['191', '419', '282', '415', '34', '607']
['194', '575', '470', '97', '512', '141']
['197', '638', '295', '606', '635', '265']
['199', '123', '678', '261', '395', '553']
['2', '522', '508', '671', '361', '659']
['200', '258', '579', '603', '62', '440']
['372', '427', '111', '80', '66', '335']
['205', '377', '363', '311', '641', '306']
['207', '352', '228', '701', '152', '702']
['57', '88', '677', '283', '252', '50']
['213', '604', '241', '275', '595', '667']
['214', '458', '704', '367', '13', '253']
['216', '640', '711', '625', '245', '389']
['218', '524', '509', '696', '92', '693']
['221', '226', '686', '318', '684', '421']
['224', '212', '662', '515', '157', '675']
['413', '699', '434', '217', '52', '366']
['232', '626', '242', '710', '547', '136']
['237', '462', '264', '570', '451', '550']
['628', '104', '479', '676', '12', '610']
['24', '541', '310', '305', '713', '75']
['240', '505', '619', '30', '19', '689']
['495', '20', '222', '392', '163', '406']
['644', '614', '40', '510', '572', '121']
['465', '135', '227', '692', '571', '325']
['247', '708', '262', '681', '130', '615']
['248', '449', '166', '536', '519', '127']
['418', '67', '593', '234', '98', '583']
['464', '409', '411', '243', '206', '530']
['388', '203', '491', '666', '559', '618']
['444', '301', '714', '497', '594', '650']
['523', '494', '637', '481', '47', '353']
['416', '294', '210', '647', '188', '709']
['687', '565', '439', '356', '648', '433']
['394', '105', '90', '454', '682', '664']
['369', '558', '489', '315', '639', '414']
['270', '424', '501', '348', '429', '118']
['271', '475', '106', '622', '580', '542']
['272', '496', '663', '256', '74', '544']
['273', '6', '707', '337', '55', '588']
['230', '26', '525', '255', '278', '651']
['279', '549', '46', '38', '376', '500']
['480', '307', '235', '345', '215', '435']
['286', '520', '309', '646', '608', '364']
['375', '531', '642', '478', '77', '99']
['223', '10', '436', '379', '68', '545']
['151', '623', '21', '527', '36', '170']
['115', '131', '425', '154', '397', '611']
['302', '339', '73', '591', '645', '688']
['613', '290', '502', '673', '634', '211']
['467', '84', '165', '506', '660', '443']
['79', '393', '670', '327', '326', '4']
['657', '441', '198', '543', '457', '654']
['453', '432', '322', '208', '461', '22']
['116', '486', '149', '438', '669', '148']
['620', '410', '196', '712', '412', '574']
['428', '276', '25', '463', '177', '122']
['316', '566', '504', '89', '426', '518']
['499', '101', '320', '94', '483', '82']
['319', '706', '180', '167', '70', '592']
['32', '300', '332', '144', '184', '679']
['334', '298', '563', '288', '37', '636']
['324', '601', '343', '347', '691', '490']
['587', '192', '164', '83', '400', '280']
['477', '291', '183', '452', '643', '87']
['328', '338', '60', '705', '652', '187']
['330', '189', '299', '147', '33', '140']
['336', '528', '399', '359', '653', '346']
['437', '357', '284', '404', '61', '285']
['556', '516', '7', '554', '225', '630']
['146', '350', '176', '112', '281', '546']
['193', '534', '289', '8', '257', '297']
['81', '697', '129', '351', '474', '468']
['312', '460', '160', '535', '694', '560']
['450', '455', '539', '292', '233', '229']
['181', '71', '39', '521', '35', '597']
['405', '384', '568', '96', '380', '72']
['340', '202', '695', '269', '48', '29']
['371', '532', '3', '317', '204', '95']
['373', '331', '378', '370', '624', '448']
