['0', '505', '69', '999', '771', '91', '210', '88', '314', '614', '18', '311', '920', '7', '720', '439', '963', '214', '28', '30', '466', '692', '368', '781', '73', '879', '479', '996', '305', '828', '463', '9', '854', '74', '367', '569', '763', '612', '215', '770', '896', '20', '957', '6', '948', '379', '906', '221', '444', '580', '783', '533', '424', '674', '543', '155', '846', '58', '715', '722', '192', '690', '293', '365', '758', '870', '508', '900', '784', '913', '212', '825', '759', '946', '887', '203', '286', '627', '204', '853', '288', '187', '982', '193', '527', '307', '683', '707', '171', '456', '984', '269', '850', '510', '295', '159', '571', '65', '298', '363']
['1', '576', '663', '927', '643', '151', '923', '260', '111', '183', '430', '33', '238', '812', '684', '525', '541', '843']
['10', '348', '248', '39', '572', '649', '150', '515', '891', '113', '749', '959', '75', '70', '488', '385', '537', '955']
['100', '550', '848', '308', '776', '356', '336', '24', '271', '163', '22', '969', '810', '457', '678', '309', '616', '915']
['101', '584', '81', '496', '201', '317', '391', '686', '588', '349', '746', '92', '540', '118', '453', '329', '40', '31']
['102', '482', '809', '679', '328', '253', '930', '198', '397', '976', '859', '840', '42', '322', '514', '598', '460', '239']
['104', '116', '106', '344', '56', '402', '890', '561', '405', '791', '624', '404', '778', '388', '947', '66', '761', '254']
['105', '129', '346', '519', '696', '194', '524', '867', '208', '167', '609', '257', '448', '120', '546', '839', '620', '237']
['664', '202', '956', '895', '235', '967', '199', '83', '489', '435', '300', '539', '932', '127', '522', '400', '242', '399']
['107', '919', '936', '294', '413', '517', '993', '470', '965', '961', '618', '156', '672', '47', '826', '750', '64', '318']
['108', '161', '608', '786', '680', '321', '737', '901', '635', '178', '376', '330', '99', '16', '587', '958', '110', '694']
['109', '656', '164', '799', '97', '844', '998', '670', '272', '548', '531', '971', '518', '532', '711', '719', '219', '725']
['11', '628', '355', '174', '247', '498', '851', '59', '342', '53', '716', '325', '549', '938', '299', '562', '491', '544']
['282', '606', '861', '411', '339', '76', '757', '245', '779', '417', '220', '662', '742', '935', '128', '702', '415', '284']
['885', '493', '494', '125', '68', '115', '350', '641', '803', '535', '196', '586', '170', '964', '133', '229', '553', '475']
['112', '605', '564', '785', '52', '736', '889', '512', '907', '141', '362', '995', '258', '334', '270', '714', '529', '756']
['602', '511', '752', '563', '433', '581', '256', '177', '865', '306', '89', '897', '383', '695', '685', '458', '568', '943']
['114', '353', '50', '766', '455', '687', '340', '688', '835', '408', '274', '832', '63', '796', '332', '949', '310', '863']
['287', '445', '304', '184', '82', '864', '648', '808', '792', '966', '822', '450', '868', '86', '962', '175', '931', '723']
['117', '985', '613', '880', '676', '77', '5', '629', '898', '841', '888', '481', '205', '842', '669', '573', '503', '471']
['945', '677', '142', '190', '143', '944', '427', '169', '876', '739', '154', '622', '449', '994', '780', '764', '760', '226']
['119', '708', '17', '209', '490', '227', '934', '495', '320', '420', '560', '973', '590', '4', '659', '855', '768', '732']
['12', '499', '390', '240', '290', '821', '211', '146', '681', '394', '262', '157', '93', '378', '345', '592', '599', '478']
['574', '767', '250', '625', '366', '712', '492', '371', '29', '425', '748', '273', '559', '327', '521', '428', '27', '72']
['121', '604', '186', '432', '2', '526', '675', '611', '468', '195', '54', '660', '26', '241', '699', '134', '721', '438']
['122', '165', '312', '197', '234', '185', '454', '384', '881', '275', '401', '727', '436', '358', '800', '230', '706', '751']
['123', '516', '789', '806', '504', '551', '990', '343', '352', '303', '830', '755', '818', '277', '774', '389', '805', '225']
['124', '393', '972', '642', '158', '377', '414', '689', '902', '657', '61', '507', '819', '319', '255', '925', '265', '744']
['668', '928', '790', '917', '647', '301', '477', '223', '829', '416', '726', '443', '246', '485', '43', '856', '653', '654']
['126', '637', '15', '396', '981', '437', '480', '640', '216', '597', '431', '55', '554', '268', '667', '986', '700', '472']
