['0', '505', '69', '999', '771', '91', '210', '88', '314', '614', '18', '311', '920', '7', '720', '439', '963', '214', '853', '204', '979', '296', '758', '870', '212', '825', '286', '943', '627', '602', '203', '887', '527', '982', '193', '307', '569', '20', '957', '6', '900', '508', '931', '86', '962', '175', '906', '221', '697', '279', '412', '359', '705', '333', '159', '295', '948', '379', '94', '654', '73', '566', '368', '781', '232', '267', '32', '447', '288', '187', '574', '767', '367', '74', '951', '646', '510', '850', '683', '707', '571', '65', '30', '28', '953', '795', '35', '251', '244', '980', '171', '456', '192', '472', '382', '545', '836', '48', '324', '632']
['1', '576', '663', '927', '643', '151', '923', '260', '111', '183', '430', '33', '238', '812', '684', '525', '541', '843']
['10', '348', '248', '39', '572', '649', '150', '515', '891', '113', '749', '959', '75', '70', '488', '385', '537', '955']
['100', '550', '848', '308', '776', '356', '336', '24', '271', '163', '22', '969', '810', '457', '678', '309', '616', '915']
['101', '584', '81', '496', '201', '317', '391', '686', '588', '349', '746', '92', '540', '118', '453', '329', '40', '31']
['102', '482', '809', '679', '328', '253', '930', '198', '397', '976', '859', '840', '42', '322', '514', '598', '460', '239']
['104', '116', '106', '344', '56', '402', '890', '561', '405', '791', '624', '404', '778', '388', '947', '66', '761', '254']
['105', '129', '346', '519', '696', '194', '524', '867', '208', '167', '609', '257', '448', '120', '546', '839', '620', '237']
['444', '392', '552', '968', '857', '701', '191', '45', '858', '144', '502', '375', '429', '513', '580', '783', '862', '533']
['107', '919', '936', '294', '413', '517', '993', '470', '965', '961', '618', '156', '672', '47', '826', '750', '64', '318']
['108', '161', '608', '786', '680', '321', '737', '901', '635', '178', '376', '330', '99', '16', '587', '958', '110', '694']
['109', '656', '164', '799', '97', '844', '998', '670', '272', '548', '531', '971', '518', '532', '711', '719', '219', '725']
['11', '628', '355', '174', '247', '498', '851', '59', '342', '53', '716', '325', '549', '938', '299', '562', '491', '544']
['671', '928', '790', '917', '647', '301', '477', '223', '829', '416', '726', '443', '246', '668', '485', '43', '856', '653']
['644', '446', '381', '666', '912', '160', '354', '423', '845', '236', '910', '224', '387', '591', '410', '440', '773', '745']
['112', '605', '564', '785', '52', '736', '889', '512', '907', '141', '362', '995', '258', '334', '270', '714', '529', '756']
['226', '677', '142', '190', '143', '944', '427', '169', '876', '739', '154', '622', '449', '994', '780', '764', '945', '760']
['114', '353', '50', '766', '455', '687', '340', '688', '835', '408', '274', '832', '63', '796', '332', '949', '310', '863']
['115', '493', '494', '125', '68', '350', '641', '885', '803', '535', '196', '586', '170', '964', '133', '229', '553', '475']
['117', '985', '613', '880', '676', '77', '5', '629', '898', '841', '888', '481', '205', '842', '669', '573', '503', '471']
['479', '747', '418', '281', '634', '817', '442', '733', '914', '264', '996', '879', '305', '828', '463', '9', '854', '291']
['119', '708', '17', '209', '490', '227', '934', '495', '320', '420', '560', '973', '590', '4', '659', '855', '768', '732']
['12', '499', '390', '240', '290', '821', '211', '146', '681', '394', '262', '157', '93', '378', '345', '592', '599', '478']
['690', '637', '15', '396', '981', '437', '480', '640', '216', '597', '431', '55', '554', '126', '268', '667', '986', '700']
['121', '604', '186', '432', '2', '526', '675', '611', '468', '195', '54', '660', '26', '241', '699', '134', '721', '438']
['122', '165', '312', '197', '234', '185', '454', '384', '881', '275', '401', '727', '436', '358', '800', '230', '706', '751']
['123', '516', '789', '806', '504', '551', '990', '343', '352', '303', '830', '755', '818', '277', '774', '389', '805', '225']
['124', '393', '972', '642', '158', '377', '414', '689', '902', '657', '61', '507', '819', '319', '255', '925', '265', '744']
['369', '206', '372', '807', '852', '132', '709', '337', '509', '422', '775', '892', '942', '823', '834', '520', '21', '603']
['984', '269', '798', '638', '570', '849', '904', '838', '875', '534', '578', '988', '730', '763', '612', '215', '770', '896']
