['891', '541', '396', '216', '160', '511', '875', '285', '648', '98', '155', '131', '469', '424', '356', '930', '787', '505', '816', '227', '719', '534', '571', '652', '175', '721', '812', '543', '658', '471', '914', '184', '939', '691', '363', '518', '695', '400', '413', '63', '660', '828', '421', '445', '629', '479', '307', '117', '485', '456']
['599', '799', '839', '693', '621', '244', '654', '462', '374', '14', '538', '109', '740', '427', '6', '60', '673', '261', '34', '289', '775', '942', '250', '744', '498', '570', '235', '302', '770', '393', '732', '947', '33', '71', '824', '199', '751', '4', '502', '379', '444', '443', '965', '99', '272', '475', '391', '75', '262', '722']
['903', '332', '229', '681', '431', '201', '807', '56', '546', '806', '607', '271', '362', '634', '642', '820', '123', '240', '101', '735', '85', '148', '139', '496', '844', '17', '316', '36', '742', '103', '93', '81', '223', '671', '795', '737', '140', '792', '112', '645', '766', '830', '581', '20', '944', '655', '67', '129', '47', '731']
['80', '802', '378', '196', '729', '73', '558', '108', '856', '105', '228', '597', '954', '609', '217', '42', '526', '215', '522', '113', '632', '295', '819', '414', '781', '171', '32', '57', '167', '716', '337', '769', '888', '467', '308', '563', '826', '202', '122', '923', '893', '334', '401', '45', '26', '664', '243', '119']
['83', '846', '962', '887', '847', '755', '504', '439', '491', '433', '715', '778', '425', '219', '821', '800', '834', '416', '794', '557', '62', '956', '254', '369', '827', '725', '130', '845', '283', '9', '783', '270', '468', '908', '102', '773', '676', '533', '760', '22', '53', '55', '517']
['832', '811', '402', '788', '137', '8', '959', '587', '720', '37', '452', '15', '276', '818', '683', '220', '27', '275', '717', '764', '481', '501', '442', '638', '415', '280', '234', '191', '388', '387', '203', '649', '412', '257', '141', '166', '835', '68', '72', '861', '548', '301', '174']
['772', '714', '850', '338', '135', '30', '640', '146', '514', '912', '372', '890', '180', '304', '786', '321', '703', '403', '313', '176', '172', '709', '440', '589', '858', '630', '200', '151', '831', '318', '195', '789', '248', '964', '960', '699', '745', '859', '43', '74', '780', '297', '689']
['651', '380', '128', '707', '562', '853', '426', '809', '869', '776', '161', '608', '258', '16', '150', '635', '457', '592', '92', '598', '902', '862', '25', '575', '593', '84', '896', '247', '361', '706', '153', '473', '675', '866', '328', '432', '309', '397', '883', '637', '898', '322', '222']
['464', '841', '833', '3', '874', '515', '647', '430', '355', '312', '779', '306', '762', '513', '521', '615', '183', '565', '488', '734', '549', '817', '366', '537', '453', '350', '884', '932', '185', '212', '955', '922', '204', '602', '616', '528', '849', '224', '451', '688', '600', '620', '486']
['508', '422', '748', '455', '865', '345', '577', '465', '29', '449', '213', '842', '840', '916', '399', '252', '791', '253', '24', '718', '614', '674', '489', '790', '924', '564', '805', '344', '106', '28', '394', '934', '961', '525', '625', '586', '572', '590', '913', '594', '268', '86', '182']
['341', '949', '13', '684', '274', '937', '320', '110', '492', '897', '66', '739', '516', '796', '646', '65', '251', '79', '342', '627', '423', '116', '851', '540', '690', '281', '761', '273', '855', '774', '539', '260', '520', '697', '12', '561', '5', '162', '343', '144', '340', '179', '829']
['677', '665', '207', '149', '164', '364', '804', '158', '377', '503', '134', '181', '466', '542', '470', '666', '711', '152', '124', '687', '339', '815', '476', '142', '145', '446', '544', '46', '759', '143', '484', '482', '352', '159', '946', '211', '133', '631', '966', '389', '917', '2', '347']
['536', '190', '667', '901', '478', '906', '392', '969', '226', '208', '237', '803', '168', '410', '843', '643', '136', '245', '963', '836', '532', '284', '872', '305', '287', '583', '933', '48', '746', '156', '493', '69', '860', '670', '263', '39', '935', '419', '10', '349', '601', '409', '793']
['814', '696', '895', '877', '187', '373', '193', '644', '605', '636', '749', '209', '612', '290', '606', '569', '547', '553', '639', '876', '327', '945', '18', '310', '878', '11', '383', '205', '417', '293', '823', '685', '264', '138', '798', '95', '438', '315', '375', '657', '852', '743', '292']
['777', '241', '87', '474', '127', '314', '678', '239', '559', '298', '1', '238', '641', '857', '288', '556', '926', '483', '346', '551', '633', '49', '246', '838', '351', '929', '808', '708', '115', '277', '950', '507', '398', '429', '529', '919', '825', '494', '951', '59', '390', '785', '738']
['574', '552', '319', '231', '765', '698', '568', '38', '408', '331', '367', '694', '927', '943', '603', '892', '163', '910', '867', '357', '35', '170', '585', '682', '848', '554', '880', '530', '450', '296', '931', '591', '454', '576', '971', '886', '76', '23', '915', '854', '680', '881', '617']
['88', '21', '225', '448', '384', '864', '958', '957', '420', '661', '611', '656', '100', '822', '756', '118', '194', '909', '545', '472', '727', '107', '610', '365', '210', '531', '265', '44', '437', '757', '752', '447', '801', '628', '578', '291', '125', '189', '286', '267', '323', '186', '31']
['584', '177', '555', '499', '354', '747', '41', '837', '894', '325', '701', '236', '730', '623', '686', '948', '596', '580', '232', '523', '78', '768', '436', '618', '230', '370', '579', '550', '94', '967', '317', '624', '936', '405', '527', '147', '771', '169', '333', '459', '712', '519', '348']
['221', '713', '77', '51', '198', '758', '428', '173', '154', '650', '157', '121', '750', '653', '784', '911', '763', '626', '733', '659', '395', '619', '813', '371', '64', '233', '311', '952', '662', '692', '495', '218', '573', '613', '126', '921', '868', '497', '324', '512', '294', '458', '353']
['604', '335', '214', '326', '406', '461', '411', '487', '797', '178', '58', '900', '907', '679', '279', '206', '723', '622', '582', '524', '300', '111', '330', '782', '132', '871', '925', '19', '360', '255', '928', '368', '54', '710', '460', '899', '705', '672', '114', '192', '97', '490', '736']
['242', '588', '970', '266', '82', '510', '70', '595', '165', '741', '282', '509', '120', '668', '870', '968', '889', '188', '882', '249', '724', '259', '90', '381', '197', '269', '560', '702', '386', '303', '40', '506', '700', '329', '89', '480', '535', '863', '441', '50', '566', '904', '0']
['940', '879', '404', '810', '477', '920', '256', '753', '500', '418', '358', '299', '463', '953', '435', '767', '385', '336', '938', '376', '104', '359', '885', '669', '382', '726', '704', '96', '941', '52', '7', '754', '91', '728', '663', '918', '434', '407', '61', '873', '905', '567', '278']
