['132', '88', '262', '352', '648', '173', '516', '244', '779', '458', '302', '148', '812', '249', '746', '200', '666', '437', '142', '677', '863', '578', '568', '685', '756']
['135', '181', '239', '614', '362', '116', '427', '438', '652', '417', '103', '102', '917', '105', '603', '818', '229', '936', '593', '289', '869', '257', '887', '737', '766']
['171', '820', '123', '967', '298', '962', '882', '621', '401', '429', '49', '109', '18', '935', '387', '119', '23', '241', '535', '457', '373', '168', '63', '948', '46']
['177', '343', '93', '265', '881', '777', '874', '838', '699', '159', '698', '675', '813', '74', '99', '381', '389', '496', '744', '42', '379', '95', '33', '553', '804']
['236', '960', '150', '256', '221', '81', '475', '562', '26', '188', '449', '45', '609', '134', '224', '907', '716', '564', '374', '111', '282', '84', '19', '682', '778']
['247', '397', '580', '75', '399', '313', '320', '956', '319', '606', '394', '279', '346', '322', '124', '94', '359', '254', '799', '607', '639', '717', '911', '751', '60']
['292', '810', '555', '355', '198', '829', '665', '203', '910', '691', '413', '365', '613', '940', '316', '4', '770', '502', '461', '226', '932', '772', '684', '354', '351']
['364', '62', '396', '921', '306', '22', '38', '729', '803', '107', '605', '69', '646', '642', '133', '525', '975', '740', '833', '217', '348', '877', '836', '131', '434']
['467', '680', '610', '16', '923', '384', '988', '287', '9', '749', '990', '155', '919', '497', '494', '197', '324', '334', '712', '624', '839']
['513', '582', '985', '509', '276', '637', '904', '301', '216', '404', '202', '964', '594', '872', '406', '815', '245', '14', '139']
['588', '480', '80', '912', '386', '89', '28', '579', '997', '848', '30', '809', '634', '903', '174', '761', '240', '121', '285']
['638', '422', '378', '259', '602', '466', '883', '521', '342', '901', '645', '548', '679', '66', '34', '589', '801', '219', '402']
['726', '512', '587', '861', '178', '251', '295', '409', '113', '114', '186', '44', '138', '145', '169', '293', '981', '283', '952']
['727', '315', '0', '857', '722', '623', '519', '455', '163', '540', '544', '753', '968', '110', '700', '786', '489', '627', '294']
['731', '143', '326', '414', '741', '527', '189', '584', '156', '957', '136', '802', '462', '748', '311', '739', '176', '850', '481']
['762', '201', '824', '140', '281', '227', '419', '207', '193', '563', '483', '618', '897', '345', '947', '550', '651', '87', '403']
['765', '893', '735', '470', '640', '376', '367', '892', '426', '83', '122', '998', '780', '290', '372', '718', '730', '889', '928']
['92', '56', '752', '13', '776', '385', '50', '701', '392', '599', '350', '472', '517', '48', '460', '29', '242', '817', '248']
['96', '170', '112', '115', '822', '696', '591', '649', '969', '747', '98', '523', '894', '67', '175', '858', '428', '631', '501']
['117', '660', '10', '946', '760', '835', '152', '793', '196', '710', '327', '657', '797', '581', '986', '447', '210', '304', '673']
['154', '537', '24', '598', '286', '416', '785', '834', '913', '91', '831', '879', '703', '471', '927', '676', '721', '58', '791']
['183', '212', '97', '474', '662', '433', '192', '146', '424', '654', '421', '130', '704', '950', '246', '551', '35', '32', '366']
['238', '180', '615', '979', '920', '532', '166', '966', '711', '898', '689', '597', '805', '524', '715', '970', '612', '757', '788']
['25', '789', '871', '477', '258', '567', '380', '671', '538', '552', '7', '508', '862', '53', '137', '572', '941', '859', '814']
['267', '641', '890', '383', '942', '774', '450', '21', '795', '977', '937', '444', '667', '321', '86', '790', '459', '775', '688']
['284', '194', '868', '635', '976', '390', '690', '127', '310', '547', '218', '732', '280', '643', '539', '989', '398', '574', '17']
['296', '541', '234', '410', '490', '269', '214', '511', '866', '165', '693', '664', '141', '592', '954', '659', '253', '787', '620']
['40', '914', '231', '590', '575', '307', '558', '569', '844', '443', '891', '2', '485', '854', '104', '510', '529', '896', '436']
['415', '647', '870', '819', '6', '888', '668', '391', '918', '999', '82', '930', '566', '468', '451', '653', '782', '503', '495']
['432', '686', '500', '900', '423', '358', '369', '164', '1', '297', '959', '771', '504', '68', '507', '750', '78', '64', '823']
['441', '843', '108', '400', '340', '616', '318', '821', '209', '144', '922', '518', '439', '528', '974', '456', '482', '933', '275']
['54', '388', '720', '702', '129', '830', '101', '264', '604', '583', '542', '806', '520', '560', '807', '356', '206', '847', '522']
['543', '190', '636', '106', '656', '452', '160', '536', '705', '274', '925', '153', '929', '377', '596', '185', '800', '100', '179']
['546', '331', '20', '90', '204', '255', '625', '205', '211', '832', '811', '76', '505', '405', '561', '534', '27', '783', '556']
['573', '308', '445', '325', '375', '759', '237', '736', '453', '982', '3', '570', '944', '225', '875', '370', '595', '71', '851']
['600', '902', '885', '608', '425', '984', '228', '796', '983', '299', '670', '220', '530', '755', '454', '158', '420', '303', '707']
['678', '360', '361', '808', '886', '650', '412', '187', '291', '633', '906', '754', '357', '601', '743', '565', '987', '855', '199']
['72', '827', '611', '545', '995', '263', '554', '57', '926', '235', '277', '317', '958', '758', '719', '993', '865', '339', '899']
['724', '487', '167', '260', '714', '617', '347', '723', '842', '909', '486', '492', '368', '694', '828', '876', '271', '971', '36']
['768', '418', '65', '305', '905', '491', '448', '288', '330', '996', '697', '980', '344', '531', '335', '329', '655', '991', '273']
['184', '953', '252', '162', '431', '825', '371', '663', '526', '52', '393', '232', '250', '465', '128', '951', '309', '147', '856']
['745', '11', '559', '215', '223', '733', '931', '692', '939', '709', '884', '382', '963', '965', '208', '938', '880', '440', '476']
['230', '992', '73', '161', '157', '725', '632', '408', '126', '172', '713', '47', '243', '961', '585', '446', '195', '706', '514']
['860', '661', '479', '363', '61', '878', '493', '557', '895', '792', '15', '626', '515', '463', '973', '769', '784', '506', '328']
['852', '407', '837', '577', '233', '994', '949', '478', '77', '12', '464', '687', '278', '908', '222', '314', '915', '55', '955']
['816', '31', '571', '916', '266', '945', '70', '849', '332', '120', '630', '39', '695', '924', '79', '644', '473', '622', '734']
['586', '182', '484', '59', '338', '873', '43', '708', '798', '261', '934', '191', '972', '978', '125', '864', '51', '738', '619']
['151', '488', '672', '85', '8', '499', '312', '323', '826', '349', '628', '41', '794', '681', '430', '841', '658', '469', '549']
['867', '763', '213', '5', '435', '840', '773', '767', '395', '845', '629', '353', '411', '337', '533', '341', '742', '442', '333']
['300', '336', '943', '683', '270', '846', '498', '764', '149', '728', '853', '669', '576', '674', '268', '37', '781', '272', '118']
