['132', '841', '734', '488', '151', '349', '41', '499', '312', '8', '826', '681', '622', '85', '323', '658', '672', '469', '430', '943', '854', '676', '91', '234', '473']
['135', '853', '733', '476', '931', '692', '939', '709', '884', '382', '963', '965', '208', '938', '880', '440', '669', '576', '674', '230', '624', '571', '266', '628', '794']
['171', '308', '10', '946', '760', '835', '152', '573', '793', '196', '710', '327', '657', '797', '581', '986', '447', '210', '304', '673', '445', '660', '55', '915', '887']
['177', '226', '315', '623', '489', '753', '294', '786', '627', '857', '0', '455', '700', '519', '110', '722', '932', '163', '968', '410', '541', '836', '131', '11', '745']
['236', '729', '396', '921', '62', '133', '22', '525', '803', '69', '685', '646', '38', '306', '642', '605', '833', '975', '740', '723', '909', '544', '540', '70', '145']
['247', '612', '615', '979', '920', '180', '532', '166', '966', '711', '898', '689', '597', '805', '524', '715', '970', '757', '788', '283', '952', '877', '199', '90', '568']
['292', '984', '885', '608', '425', '420', '303', '707', '84', '220', '670', '983', '530', '755', '299', '228', '454', '796', '158', '270', '846', '772', '160', '336', '31']
['364', '507', '500', '900', '423', '358', '369', '164', '1', '297', '959', '771', '504', '68', '20', '750', '823', '64', '78', '333', '434', '373', '168', '314', '955']
['467', '856', '162', '431', '825', '371', '663', '526', '52', '393', '232', '250', '465', '128', '951', '309', '147', '252', '916', '604', '418']
['513', '509', '985', '276', '637', '904', '301', '216', '404', '202', '964', '594', '872', '406', '582', '815', '245', '14', '139']
['588', '567', '871', '477', '258', '720', '862', '572', '941', '380', '538', '53', '814', '789', '508', '671', '859', '388', '7']
['638', '574', '868', '635', '976', '390', '690', '127', '310', '547', '218', '732', '280', '643', '539', '398', '194', '17', '457']
['726', '446', '992', '73', '161', '157', '725', '632', '408', '126', '172', '713', '47', '243', '961', '585', '195', '706', '514']
['727', '88', '262', '352', '648', '173', '516', '244', '779', '458', '302', '148', '812', '249', '746', '200', '666', '437', '142']
['731', '461', '810', '665', '316', '365', '910', '555', '355', '198', '829', '203', '691', '413', '613', '940', '4', '770', '502']
['762', '30', '80', '912', '386', '89', '28', '579', '997', '848', '480', '174', '121', '903', '285', '778', '634', '809', '549']
['765', '343', '93', '265', '881', '777', '874', '838', '699', '159', '698', '675', '813', '74', '99', '381', '389', '496', '744']
['92', '891', '231', '590', '575', '307', '558', '569', '844', '443', '104', '510', '485', '914', '529', '2', '896', '436', '683']
['96', '867', '763', '213', '5', '435', '840', '773', '767', '395', '845', '629', '353', '411', '337', '533', '341', '742', '442']
['117', '83', '735', '470', '640', '376', '367', '892', '426', '372', '780', '718', '290', '893', '730', '889', '928', '998', '118']
['154', '260', '167', '714', '271', '492', '842', '971', '694', '486', '487', '828', '918', '876', '617', '36', '682', '368', '347']
['183', '212', '97', '474', '662', '433', '192', '146', '424', '654', '421', '130', '704', '950', '246', '551', '35', '32', '366']
['238', '566', '870', '819', '6', '888', '668', '391', '999', '82', '930', '782', '451', '503', '653', '468', '495', '559', '215']
['25', '695', '824', '140', '281', '227', '419', '207', '193', '563', '483', '618', '897', '201', '39', '87', '345', '947', '550']
['267', '641', '890', '383', '942', '774', '450', '21', '795', '977', '937', '444', '667', '321', '86', '790', '459', '775', '688']
['284', '785', '24', '598', '286', '416', '58', '879', '471', '869', '791', '721', '831', '927', '913', '834', '703', '537', '289']
['296', '578', '204', '255', '625', '205', '211', '832', '811', '76', '505', '405', '561', '534', '27', '783', '556', '863', '677']
['40', '656', '636', '106', '190', '153', '929', '377', '596', '452', '925', '274', '705', '536', '185', '800', '100', '179', '804']
['415', '647', '223', '46', '375', '759', '237', '325', '851', '875', '370', '944', '570', '3', '379', '95', '453', '982', '736']
['432', '686', '331', '546', '852', '407', '837', '577', '233', '994', '949', '478', '77', '12', '464', '687', '278', '908', '222']
['441', '843', '108', '400', '340', '616', '318', '821', '209', '144', '922', '518', '439', '528', '974', '456', '482', '933', '275']
['54', '602', '378', '259', '422', '679', '548', '66', '466', '645', '901', '34', '589', '801', '883', '521', '219', '402', '348']
['543', '123', '967', '298', '962', '882', '621', '401', '429', '49', '109', '18', '820', '935', '387', '119', '23', '241', '535']
['717', '911', '988', '610', '16', '923', '384', '494', '197', '324', '680', '919', '334', '9', '712', '155', '351', '287', '839']
['115', '112', '98', '894', '67', '175', '969', '747', '858', '428', '591', '523', '631', '649', '822', '696', '501', '170', '945']
['600', '240', '761', '895', '860', '15', '861', '479', '363', '784', '122', '493', '792', '463', '515', '61', '661', '878', '557']
['678', '360', '361', '808', '886', '650', '412', '187', '291', '633', '906', '754', '989', '357', '601', '743', '565', '987', '855']
['72', '664', '490', '269', '214', '511', '866', '165', '693', '592', '79', '924', '954', '644', '253', '659', '141', '620', '787']
['724', '328', '587', '178', '251', '295', '512', '409', '981', '293', '766', '113', '737', '169', '186', '114', '973', '138', '44']
['768', '256', '150', '188', '224', '449', '81', '907', '716', '609', '553', '33', '960', '221', '134', '45', '564', '26', '475']
