['718', '313', '51', '340', '184', '351', '651', '369', '316', '109']
['626', '52', '246', '370', '100', '586', '427', '152', '539', '223']
['438', '229', '677', '584', '172', '656', '728', '392', '485', '693']
['11', '761', '131', '302', '403', '463', '541', '595', '481', '230']
['119', '383', '97', '647', '646', '338', '175', '156', '61', '722']
['17', '154', '27', '2', '690', '162', '90', '596', '21', '373']
['179', '567', '554', '159', '163', '273', '606', '382', '688', '329']
['180', '738', '122', '526', '275', '790', '662', '660', '794', '644']
['193', '328', '689', '400', '542', '772', '507', '198', '89', '358']
['227', '450', '468', '96', '102', '589', '120', '225', '533', '118']
['256', '551', '7', '460', '465', '641', '435', '579', '425', '238']
['266', '147', '603', '484', '708', '487', '522', '566', '298', '349']
['270', '512', '638', '536', '191', '666', '785', '368', '470', '22']
['280', '796', '56', '682', '126', '744', '515', '33', '222', '258']
['293', '454', '719', '573', '145', '550', '657', '749', '674', '792']
['308', '244', '70', '414', '390', '702', '410', '685', '395', '278']
['314', '319', '758', '157', '769', '342', '208', '384', '218', '576']
['326', '235', '654', '684', '28', '16', '202', '0', '698', '277']
['378', '321', '279', '549', '137', '705', '770', '622', '45', '201']
['413', '195', '443', '81', '269', '196', '231', '743', '189', '353']
['416', '560', '517', '36', '304', '604', '265', '629', '598', '333']
['418', '389', '616', '500', '271', '665', '405', '40', '226', '123']
['43', '593', '695', '505', '731', '462', '76', '402', '776', '445']
['516', '108', '44', '249', '352', '585', '608', '434', '94', '341']
['55', '83', '115', '664', '531', '251', '546', '82', '8', '650']
['6', '737', '372', '742', '125', '204', '556', '228', '331', '633']
['632', '623', '88', '663', '32', '753', '754', '240', '148', '499']
['640', '580', '365', '648', '241', '458', '432', '367', '727', '448']
['67', '734', '150', '104', '62', '299', '221', '177', '134', '272']
['681', '440', '724', '19', '188', '675', '669', '658', '276', '494']
['707', '612', '307', '725', '233', '386', '491', '581', '72', '391']
['748', '619', '557', '301', '575', '356', '387', '401', '679', '350']
['763', '323', '511', '259', '558', '683', '289', '767', '116', '209']
['667', '795', '437', '540', '15', '130', '617', '668', '746', '639']
['165', '752', '60', '534', '234', '363', '262', '260', '642', '330']
['592', '736', '182', '671', '113', '105', '543', '710', '419', '197']
['359', '433', '417', '322', '281', '480', '506', '220', '101', '436']
['498', '493', '503', '762', '236', '453', '34', '194', '548', '335']
['756', '423', '169', '614', '691', '547', '645', '13', '624', '455']
['774', '759', '290', '482', '618', '242', '634', '492', '764', '649']
['117', '239', '57', '791', '164', '174', '799', '237', '411', '160']
['354', '185', '610', '371', '732', '111', '106', '31', '24', '127']
['376', '430', '98', '757', '343', '295', '303', '286', '495', '300']
['694', '672', '564', '490', '521', '766', '399', '459', '257', '696']
['87', '439', '103', '779', '793', '407', '46', '553', '739', '797']
['146', '224', '394', '552', '457', '428', '254', '527', '447', '628']
['143', '530', '502', '751', '388', '396', '49', '213', '305', '488']
['274', '139', '709', '729', '631', '561', '332', '48', '661', '496']
['479', '284', '361', '205', '292', '421', '673', '129', '250', '336']
['53', '783', '149', '5', '39', '607', '380', '509', '755', '47']
['186', '285', '778', '312', '282', '412', '588', '471', '38', '206']
['700', '750', '347', '18', '135', '20', '741', '243', '569', '476']
['68', '63', '692', '173', '676', '110', '609', '730', '451', '306']
['441', '574', '789', '475', '605', '429', '187', '203', '721', '555']
['478', '355', '324', '168', '467', '385', '79', '723', '625', '424']
['210', '715', '37', '85', '456', '601', '735', '697', '334', '787']
['497', '77', '219', '374', '362', '54', '245', '461', '426', '294']
['158', '153', '339', '545', '377', '544', '267', '599', '360', '466']
['473', '121', '398', '128', '686', '393', '192', '71', '207', '114']
['310', '65', '344', '777', '583', '518', '255', '26', '50', '253']
['409', '788', '337', '91', '59', '773', '615', '514', '155', '357']
['620', '397', '464', '570', '30', '420', '73', '714', '3', '717']
['287', '578', '264', '537', '170', '449', '523', '84', '768', '775']
['562', '524', '670', '136', '745', '99', '446', '4', '594', '611']
['379', '75', '501', '431', '726', '699', '600', '178', '535', '716']
['613', '771', '183', '577', '532', '176', '489', '597', '469', '712']
['161', '9', '701', '141', '317', '41', '345', '781', '375', '268']
['325', '29', '261', '252', '602', '513', '406', '627', '591', '232']
['655', '703', '14', '680', '637', '483', '529', '528', '248', '216']
['486', '652', '297', '653', '309', '519', '733', '142', '798', '643']
['296', '559', '765', '444', '107', '366', '563', '291', '318', '520']
['320', '422', '132', '74', '151', '12', '140', '190', '364', '782']
['590', '635', '630', '508', '780', '568', '86', '760', '263', '747']
['720', '78', '621', '283', '327', '167', '217', '346', '23', '408']
['10', '64', '740', '538', '381', '211', '711', '42', '58', '311']
['571', '25', '587', '200', '784', '565', '124', '706', '348', '288']
['92', '35', '171', '214', '404', '442', '510', '636', '504', '69']
['572', '678', '472', '247', '95', '199', '786', '138', '212', '525']
['582', '93', '181', '687', '166', '477', '80', '215', '66', '452']
['315', '112', '713', '1', '659', '474', '133', '415', '704', '144']
