['195', '536', '939', '360', '146', '493', '651', '285', '0', '863', '504', '748', '43', '523', '193']
['81', '716', '496', '399', '117', '400', '295', '512', '605', '844', '624', '12', '664', '889', '424']
['855', '789', '148', '132', '633', '417', '284', '518', '950', '76', '185', '696', '538', '455', '740']
['945', '250', '347', '454', '373', '279', '744', '775', '905', '817', '73', '603', '173', '672', '39']
['149', '777', '287', '534', '3', '121', '593', '306', '57', '457', '298', '317', '276', '578', '970']
['219', '966', '579', '25', '199', '436', '657', '528', '616', '969', '469', '198', '850', '7', '638']
['260', '67', '101', '201', '872', '713', '486', '571', '609', '62', '653', '842', '348', '145', '971']
['573', '941', '540', '401', '426', '264', '162', '179', '738', '189', '912', '585', '673', '655', '214']
['811', '299', '546', '926', '449', '77', '128', '687', '186', '5', '584', '870', '917', '754', '632']
['873', '244', '515', '636', '482', '267', '326', '823', '311', '932', '681', '272', '268', '964', '796']
['896', '954', '802', '968', '402', '143', '358', '445', '372', '668', '689', '799', '610', '547', '45']
['948', '356', '97', '444', '567', '503', '704', '192', '682', '208', '334', '487', '700', '112', '48']
['136', '652', '857', '556', '943', '853', '529', '301', '552', '447', '825', '994', '379', '829', '635']
['191', '352', '979', '543', '557', '54', '815', '6', '967', '958', '211', '490', '669', '425', '92']
['238', '462', '408', '827', '832', '11', '108', '79', '161', '14', '892', '216', '608', '837', '321']
['670', '730', '699', '165', '794', '828', '595', '516', '511', '497', '93', '904', '840', '731', '830']
['332', '743', '812', '846', '591', '530', '891', '568', '803', '868', '50', '53', '736']
['481', '887', '56', '307', '959', '71', '982', '749', '213']
['566', '613', '87', '66', '52', '475', '315', '246', '419']
['82', '249', '583', '468', '577', '709', '477', '801', '29']
['847', '99', '507', '13', '55', '683', '861', '921', '992']
['867', '171', '22', '739', '413', '65', '98', '319', '64']
['88', '988', '549', '513', '715', '452', '923', '389', '297']
['908', '74', '253', '353', '885', '312', '805', '729', '642']
['928', '983', '871', '80', '783', '771', '394', '21', '305']
['989', '100', '656', '103', '765', '692', '111', '574', '274']
['176', '404', '929', '845', '120', '491', '978', '265', '225']
['222', '78', '36', '338', '343', '620', '483', '357', '676']
['313', '589', '649', '671', '758', '848', '762', '392', '903']
['365', '15', '688', '627', '44', '237', '701', '382', '705']
['395', '924', '581', '561', '734', '33', '776', '476', '221']
['405', '68', '865', '51', '728', '953', '755', '422', '666']
['47', '553', '935', '61', '433', '919', '760', '499', '804']
['470', '430', '302', '170', '403', '634', '233', '724', '560']
['498', '368', '517', '139', '318', '737', '911', '142', '819']
['506', '788', '510', '626', '628', '288', '952', '949', '915']
['520', '406', '119', '779', '371', '780', '410', '261', '460']
['544', '407', '140', '258', '864', '27', '596', '320', '154']
['96', '226', '341', '281', '838', '770', '576', '679', '957']
['597', '599', '59', '564', '235', '733', '351', '90', '147']
['618', '835', '659', '446', '94', '644', '437', '160', '598']
['650', '980', '367', '818', '86', '178', '881', '278', '646']
['691', '893', '330', '144', '466', '227', '485', '947', '20']
['695', '109', '153', '906', '995', '277', '350', '862', '283']
['718', '678', '588', '369', '810', '494', '478', '640', '766']
['467', '612', '955', '197', '685', '187', '648', '942', '210']
['745', '345', '808', '377', '291', '654', '207', '346', '181']
['787', '925', '764', '1', '31', '489', '464', '814', '866']
['895', '550', '223', '898', '645', '106', '138', '217', '175']
['907', '816', '706', '423', '42', '693', '393', '472', '359']
['155', '412', '495', '933', '387', '241', '900', '876', '690']
['984', '698', '322', '19', '922', '245', '524', '229', '890']
['105', '218', '786', '909', '34', '239', '680', '441', '586']
['114', '282', '505', '990', '619', '296', '37', '435', '300']
['206', '380', '539', '69', '151', '309', '637', '10', '856']
['414', '751', '480', '791', '72', '453', '606', '558', '719']
['255', '152', '852', '123', '215', '976', '625', '167', '622']
['275', '362', '124', '231', '344', '717', '841', '183', '252']
['286', '998', '381', '89', '813', '270', '273', '331', '792']
['294', '621', '629', '70', '292', '172', '203', '390', '725']
['391', '542', '471', '800', '548', '157', '944', '961', '158']
['328', '366', '280', '880', '102', '174', '732', '289', '960']
['342', '442', '242', '986', '340', '875', '877', '537', '440']
['349', '40', '858', '461', '569', '742', '458', '580', '604']
['883', '882', '630', '378', '508', '32', '997', '575', '500']
['388', '615', '329', '502', '220', '999', '993', '996', '190']
['432', '9', '899', '46', '859', '439', '623', '118', '194']
['434', '991', '769', '473', '554', '931', '416', '533', '150']
['438', '795', '643', '421', '26', '570', '602', '303', '168']
['363', '509', '836', '937', '572', '169', '488', '263', '956']
['785', '879', '397', '107', '204', '336', '164', '196', '902']
['675', '166', '793', '254', '985', '135', '759', '116', '590']
['304', '973', '519', '722', '131', '697', '562', '474', '200']
['708', '376', '869', '514', '24', '977', '396', '532', '310']
['711', '257', '854', '16', '259', '667', '541', '940', '269']
['712', '720', '411', '361', '290', '122', '256', '843', '726']
['721', '934', '398', '894', '826', '607', '479', '247', '355']
['746', '115', '707', '918', '674', '565', '735', '448', '750']
['972', '897', '354', '545', '431', '888', '125', '531', '141']
['752', '773', '661', '314', '232', '874', '333', '797', '18']
['767', '35', '384', '429', '450', '702', '83', '240', '522']
['768', '790', '428', '409', '415', '686', '647', '127', '383']
['778', '262', '916', '2', '251', '851', '962', '526', '784']
['822', '782', '386', '820', '592', '559', '209', '901', '806']
