['195', '536', '939', '360', '146', '493', '651', '285', '0', '141', '868', '791', '902', '85', '75']
['81', '716', '496', '399', '117', '400', '295', '512', '605', '834', '901', '817', '782', '592', '314']
['855', '789', '148', '132', '633', '417', '284', '518', '950', '266', '999', '76', '956', '837', '639']
['945', '250', '347', '454', '373', '279', '744', '775', '905', '175', '272', '942', '663', '467', '580']
['149', '777', '287', '534', '3', '121', '593', '306', '57', '378', '883', '424', '575', '623', '700']
['219', '966', '579', '25', '199', '436', '657', '528', '616', '917', '658', '606', '224', '727', '545']
['260', '67', '101', '201', '872', '713', '486', '571', '609', '622', '461', '41', '39', '349', '679']
['573', '941', '540', '401', '426', '264', '162', '179', '738', '572', '180', '14', '30', '955', '240']
['811', '299', '546', '926', '449', '77', '128', '687', '186', '38', '375', '825', '876', '799', '547']
['873', '244', '515', '636', '482', '267', '326', '823', '311', '668', '689', '230', '662', '904', '12']
['896', '954', '802', '968', '402', '143', '358', '445', '372', '387', '155', '157', '927', '522', '271']
['948', '356', '97', '444', '567', '503', '704', '192', '682', '830', '420', '601', '696', '635', '831']
['136', '652', '857', '556', '943', '853', '529', '301', '552', '125', '829', '595', '878', '631', '354']
['191', '352', '979', '543', '557', '54', '815', '6', '967', '821', '185', '158', '458', '455', '925']
['238', '462', '408', '827', '832', '11', '108', '79', '161', '49', '490', '584', '502', '664', '625']
['604', '109', '40', '456', '994', '676', '72', '848', '203', '211', '958', '62', '283', '439', '509']
['332', '743', '812', '846', '591', '530', '891', '568', '803', '489', '53', '722', '889']
['481', '887', '56', '307', '959', '71', '982', '749', '213']
['566', '613', '87', '66', '52', '475', '315', '246', '419']
['82', '699', '249', '583', '468', '577', '476', '655', '463']
['847', '99', '507', '13', '55', '683', '861', '921', '992']
['867', '171', '22', '739', '413', '65', '98', '319', '64']
['88', '988', '549', '513', '715', '452', '923', '389', '297']
['908', '74', '253', '353', '885', '312', '805', '729', '642']
['928', '983', '871', '80', '783', '771', '394', '21', '305']
['989', '100', '656', '103', '29', '765', '692', '111', '574']
['176', '404', '929', '845', '120', '491', '978', '265', '225']
['222', '78', '36', '338', '343', '620', '483', '357', '787']
['313', '589', '649', '671', '758', '762', '392', '903', '45']
['365', '15', '688', '627', '44', '237', '701', '382', '705']
['395', '924', '581', '561', '734', '33', '776', '221', '951']
['405', '68', '865', '51', '728', '953', '755', '422', '666']
['47', '553', '935', '61', '433', '919', '760', '499', '804']
['470', '430', '302', '170', '403', '634', '233', '730', '724']
['498', '368', '517', '139', '318', '737', '911', '142', '819']
['506', '788', '510', '626', '628', '288', '952', '949', '915']
['520', '406', '119', '779', '371', '780', '410', '261', '460']
['544', '407', '140', '258', '864', '794', '27', '596', '320']
['525', '165', '612', '946', '936', '906', '188', '495', '714']
['597', '599', '59', '957', '564', '235', '733', '351', '90']
['618', '835', '226', '659', '446', '94', '644', '437', '160']
['650', '980', '367', '818', '86', '178', '881', '278', '646']
['691', '893', '330', '144', '466', '227', '485', '947', '477']
['695', '153', '995', '277', '350', '680', '317', '10', '345']
['718', '678', '588', '369', '810', '494', '478', '640', '766']
['147', '163', '390', '741', '753', '916', '411', '50', '839']
['745', '511', '808', '377', '291', '654', '207', '726', '638']
['892', '484', '393', '764', '685', '19', '991', '231', '706']
['895', '550', '223', '898', '181', '645', '106', '138', '217']
['907', '709', '816', '423', '648', '886', '355', '600', '156']
['316', '339', '661', '459', '897', '707', '134', '325', '242']
['984', '698', '322', '922', '245', '524', '229', '890', '725']
['105', '218', '786', '909', '34', '239', '441', '586', '736']
['114', '282', '516', '505', '990', '619', '296', '37', '435']
['206', '380', '539', '69', '151', '309', '637', '856', '763']
['187', '154', '220', '341', '348', '862', '960', '310', '464']
['255', '751', '152', '828', '852', '123', '215', '292', '414']
['275', '362', '124', '344', '717', '841', '183', '252', '938']
['286', '998', '381', '89', '813', '270', '273', '331', '197']
['294', '976', '621', '629', '70', '172', '859', '840', '374']
['932', '681', '145', '32', '169', '769', '421', '443', '274']
['328', '366', '280', '880', '346', '102', '174', '732', '289']
['342', '442', '986', '340', '875', '42', '877', '537', '440']
['665', '370', '397', '879', '558', '535', '519', '4', '735']
