['129', '586', '233', '595', '609', '409', '484', '254', '659', '640', '321', '33', '469', '80', '277', '456', '161', '68', '699', '366', '190', '825', '590', '618', '675', '645', '926', '350', '623', '210', '937']
['150', '391', '425', '257', '316', '448', '236', '541', '504', '244', '524', '71', '800', '547', '467', '25', '704', '326', '681', '24', '303', '835', '543', '564', '40', '361', '459', '719', '710', '185', '947']
['431', '669', '748', '142', '656', '812', '82', '231', '676', '933', '938', '279', '91', '352', '514', '242', '77', '761', '896', '9', '516', '496', '859', '507', '875', '393', '611', '884', '598', '439', '833']
['29', '362', '821', '809', '334', '771', '578', '237', '179', '214', '388', '722', '661', '267', '323', '211', '540', '602', '644', '151', '216', '403', '111', '767', '234', '207', '695', '660', '376', '209', '583']
['505', '923', '685', '396', '315', '394', '464', '122', '883', '178', '607', '385', '156', '769', '7', '743', '481', '109', '408', '899', '632', '265', '571', '278', '550', '1', '208', '508', '713', '460', '867']
['339', '626', '911', '888', '143', '476', '291', '69', '575', '486', '329', '293', '763', '229', '811', '224', '542', '436', '766', '952', '270', '413', '890', '87', '472', '488', '475', '5', '428', '495', '828']
['580', '126', '79', '386', '530', '395', '764', '95', '196', '666', '814', '330', '897', '463', '373', '281', '591', '4', '375', '716', '718', '779', '332', '390', '299', '956', '474', '355', '619', '452', '440']
['682', '177', '554', '276', '336', '770', '162', '264', '946', '785', '672', '725', '737', '112', '424', '103', '354', '900', '170', '865', '410', '183', '219', '594', '657', '28', '76', '118', '741', '750', '19']
['205', '637', '945', '322', '944', '131', '73', '822', '86', '124', '415', '427', '34', '226', '730', '228', '138', '563', '56', '721', '534', '955', '912', '633', '435', '287', '866', '565', '795', '45', '344']
['820', '801', '116', '641', '258', '10', '360', '462', '631', '527', '318', '678', '57', '348', '389', '412', '878', '673', '773', '521', '397', '42', '582', '830', '243', '840', '426', '697', '60', '402', '548']
['48', '465', '871', '419', '213', '701', '325', '746', '950', '916', '836', '343', '831', '292', '169', '603', '562', '313', '942', '372', '357', '574', '889', '297', '794', '203', '368', '191', '683', '417', '687']
['720', '903', '715', '11', '775', '930', '606', '356', '399', '491', '137', '128', '387', '300', '856', '414', '784', '705', '153', '511', '310', '17', '99', '171', '502', '951', '62', '731', '53', '340', '273']
['301', '786', '404', '749', '8', '337', '781', '537', '15', '263', '744', '612', '935', '914', '327', '81', '850', '588', '622', '762', '272', '181', '119', '66', '346', '568', '569', '485', '845', '567', '331']
