['560', '706', '778', '63', '755', '529', '149', '379', '635', '607', '85', '446', '186', '150', '99', '19', '264', '540', '639', '376', '233', '618', '589', '679', '220', '72', '312', '77', '600', '82', '210', '338']
['649', '513', '715', '542', '557', '196', '783', '746', '359', '698', '585', '790', '791', '192', '725', '329', '736', '108', '700', '124', '550', '271', '541', '132', '364', '265', '444', '25', '784', '410', '764', '749']
['321', '308', '570', '652', '681', '625', '162', '337', '690', '165', '218', '651', '10', '366', '238', '316', '525', '87', '773', '437', '361', '2', '468', '411', '282', '536', '665', '470', '42', '532', '109', '298']
['73', '170', '678', '167', '266', '106', '294', '208', '515', '213', '94', '260', '179', '546', '423', '650', '683', '323', '771', '54', '62', '688', '13', '267', '711', '705', '95', '622', '530', '133', '358', '642']
['74', '37', '223', '524', '230', '480', '138', '235', '26', '629', '38', '463', '721', '175', '502', '767', '272', '654', '795', '427', '354', '757', '552', '120', '701', '129', '226', '383', '390', '309', '655', '590']
['118', '512', '79', '438', '605', '241', '17', '254', '269', '694', '459', '750', '561', '134', '492', '458', '485', '779', '668', '424', '386', '197', '345', '253', '52', '142', '460', '292', '494', '22', '322', '339']
['214', '682', '712', '648', '67', '400', '583', '244', '8', '193', '729', '125', '252', '183', '287', '433', '601', '537', '232', '327', '656', '526', '414', '224', '302', '368', '405', '88', '130', '797', '60', '145']
['248', '104', '274', '608', '522', '70', '483', '549', '727', '389', '798', '422', '518', '579', '776', '347', '225', '262', '209', '576', '277', '110', '141', '395', '491', '377', '30', '103', '519', '105', '747', '582']
['257', '659', '584', '556', '435', '543', '722', '276', '574', '474', '307', '527', '344', '0', '188', '21', '291', '336', '147', '738', '18', '48', '759', '139', '273', '278', '89', '33', '47', '684', '288', '611']
['305', '768', '638', '333', '507', '431', '708', '662', '285', '371', '521', '508', '314', '387', '780', '116', '555', '199', '201', '500', '588', '475', '185', '320', '455', '695', '97', '231', '426', '96', '447', '599']
['348', '429', '68', '317', '45', '34', '158', '164', '154', '229', '434', '29', '728', '443', '724', '581', '66', '564', '714', '20', '300', '602', '538', '732', '553', '295', '506', '699', '100', '406', '734', '562']
['6', '794', '399', '417', '373', '380', '595', '735', '440', '155', '464', '15', '28', '27', '378', '137', '766', '41', '510', '666', '340', '644', '171', '719', '451', '181', '306', '157', '341', '580', '14', '623']
['621', '396', '346', '456', '685', '641', '119', '484', '571', '123', '504', '486', '493', '603', '742', '793', '211', '578', '626', '61', '90', '418', '505', '472', '645', '442', '713', '565', '716', '279', '691', '256']
['789', '717', '702', '259', '206', '36', '758', '531', '56', '403', '517', '160', '234', '669', '50', '568', '720', '754', '407', '98', '498', '471', '242', '604', '102', '191', '777', '392', '198', '187', '687', '200']
['391', '84', '409', '325', '737', '356', '573', '653', '547', '677', '799', '12', '551', '372', '539', '4', '452', '180', '631', '374', '24', '487', '751', '610', '349', '222', '567', '596', '166', '453', '53', '620']
['408', '49', '703', '375', '126', '430', '146', '352', '393', '245', '342', '577', '385', '637', '69', '413', '752', '284', '3', '169', '501', '450', '326', '516', '258', '381', '334', '194', '643', '107', '774', '676']
['554', '363', '509', '591', '739', '189', '630', '667', '680', '202', '544', '83', '365', '788', '221', '661', '465', '86', '545', '128', '148', '286', '663', '71', '270', '290', '5', '115', '731', '454', '479', '176']
['466', '619', '289', '44', '743', '228', '696', '609', '161', '593', '785', '207', '255', '624', '469', '575', '39', '441', '741', '144', '432', '178', '101', '448', '402', '328', '473', '268', '415', '353', '135', '357']
['617', '490', '672', '761', '445', '131', '331', '533', '612', '250', '11', '55', '367', '46', '587', '398', '369', '152', '762', '744', '514', '136', '156', '343', '297', '212', '753', '558', '569', '640', '439', '769']
['35', '168', '204', '660', '177', '184', '421', '425', '658', '246', '559', '263', '335', '247', '32', '477', '482', '675', '190', '81', '616', '535', '428', '534', '163', '127', '488', '280', '173', '311', '697', '671']
['489', '674', '205', '174', '227', '195', '449', '786', '92', '503', '772', '686', '332', '16', '563', '330', '249', '636', '313', '219', '520', '59', '673', '723', '243', '657', '710', '76', '91', '293', '528', '58']
['111', '598', '203', '114', '586', '217', '572', '733', '792', '350', '121', '57', '64', '606', '709', '117', '303', '756', '481', '704', '457', '215', '597', '93', '760', '763', '634', '707', '664', '476', '467', '730']
['692', '592', '299', '23', '1', '594', '420', '775', '397', '304', '394', '628', '416', '296', '632', '315', '745', '240', '351', '360', '404', '419', '319', '31', '122', '281', '159', '324', '770', '566', '153', '748']
['782', '496', '80', '718', '236', '726', '646', '787', '140', '65', '511', '613', '497', '78', '362', '9', '172', '462', '301', '75', '239', '143', '7', '384', '112', '275', '670', '765', '614', '370', '182', '461']
['401', '151', '615', '548', '237', '633', '43', '251', '412', '436', '740', '781', '796', '51', '310', '495', '261', '689', '318', '113', '40', '499', '216', '693', '388', '523', '647', '355', '478', '627', '283', '382']
