['307', '475', '18', '83', '137', '530', '676', '325', '285', '447', '768', '729', '654', '573', '496', '492', '874', '347', '523', '457', '480', '793', '45', '677', '404', '939', '569', '239', '840', '87', '548', '586', '71', '992', '636', '321', '983', '184', '619', '130', '370', '871', '763', '464', '880', '852', '333', '453', '839', '864', '406', '944', '54', '465', '112', '610', '921', '810', '467', '206', '981', '970', '469', '253', '116', '202', '400', '823', '518', '658', '794', '885', '248', '284', '766', '22', '103', '989', '694', '581', '48', '507', '300', '682', '911', '967', '817', '334', '639', '58']
['351', '125', '28', '819', '213', '948', '409', '369', '966', '419', '563', '484', '630', '583', '331', '49', '214', '382', '943', '415', '366', '126', '936', '154', '862', '337', '78', '44', '433', '24', '747', '200', '13', '919', '268', '428', '991', '52', '127', '62', '145', '674', '93', '407', '85', '527', '77', '894', '798', '650', '59', '594', '84', '640', '984', '727', '459', '444', '281', '460', '783', '224', '848', '260', '229']
['730', '877', '600', '821', '226', '844', '912', '438', '230', '930', '105', '86', '886', '686', '849', '250', '23', '189', '624', '319', '604', '208', '972', '771', '413', '547', '918', '353', '888', '702', '488', '559', '954', '228', '889', '853', '671', '656', '542', '659', '139', '292', '354', '645', '297', '272', '929', '37', '561', '249', '32', '53', '668', '756', '762', '836', '522', '420', '985', '336', '403', '799', '80', '199', '75']
['108', '841', '256', '978', '290', '715', '346', '951', '172', '637', '999', '473', '743', '408', '681', '306', '220', '797', '135', '177', '417', '952', '570', '820', '845', '588', '288', '695', '356', '301', '773', '424', '953', '29', '789', '700', '833', '725', '494', '571', '196', '482', '689', '6', '651', '79', '474', '946', '598', '66', '207', '344', '585', '90', '827', '937', '557', '847', '996', '745', '620', '666', '957', '767', '805']
['167', '935', '855', '931', '791', '262', '410', '197', '338', '757', '511', '712', '801', '751', '614', '396', '491', '275', '539', '828', '398', '534', '296', '533', '813', '608', '925', '365', '824', '684', '240', '374', '708', '726', '209', '577', '508', '629', '555', '704', '560', '73', '91', '905', '2', '540', '907', '69', '895', '203', '735', '490', '524', '414', '405', '223', '850', '826', '174', '169', '897', '543', '155', '279', '858']
['176', '486', '186', '352', '707', '612', '375', '67', '887', '312', '616', '785', '153', '988', '31', '10', '860', '227', '246', '723', '173', '556', '941', '644', '687', '506', '806', '57', '168', '11', '923', '649', '21', '955', '536', '928', '40', '39', '212', '869', '780', '902', '627', '376', '302', '837', '364', '303', '670', '582', '257', '215', '316', '5', '210', '969', '851', '662', '7', '291', '455', '270', '221', '710', '258']
['830', '46', '599', '883', '519', '829', '875', '641', '110', '166', '81', '998', '435', '531', '977', '132', '737', '343', '349', '546', '741', '361', '111', '718', '472', '324', '329', '92', '402', '451', '979', '603', '107', '963', '881', '545', '879', '278', '441', '574', '359', '922', '552', '896', '360', '266', '774', '615', '634', '647', '945', '63', '613', '812', '589', '909', '703', '322', '567', '949', '525', '102', '395', '386', '910']
['269', '267', '609', '342', '204', '657', '825', '242', '553', '643', '578', '863', '144', '591', '899', '873', '243', '691', '906', '870', '705', '698', '974', '439', '64', '124', '866', '739', '283', '265', '675', '572', '514', '194', '423', '512', '714', '731', '980', '41', '368', '27', '470', '618', '513', '882', '638', '171', '381', '387', '595', '378', '309', '74', '642', '238', '544', '504', '807', '431', '994', '487', '234', '904', '42']
['294', '264', '452', '341', '748', '697', '722', '241', '380', '505', '141', '772', '755', '330', '340', '580', '818', '779', '784', '778', '237', '449', '162', '908', '327', '744', '732', '653', '89', '315', '497', '568', '498', '195', '719', '65', '280', '164', '118', '990', '143', '746', '724', '311', '623', '628', '521', '17', '728', '201', '596', '515', '976', '277', '179', '133', '8', '161', '926', '809', '178', '733', '716', '372', '149']
['310', '621', '430', '114', '454', '422', '181', '305', '867', '436', '861', '617', '800', '160', '607', '461', '313', '900', '964', '669', '68', '759', '924', '808', '88', '151', '892', '429', '503', '276', '14', '787', '462', '236', '857', '33', '271', '760', '661', '390', '713', '401', '495', '593', '458', '478', '362', '332', '320', '427', '175', '34', '626', '205', '566', '622', '803', '587', '416', '597', '308', '663', '796', '914', '901']
['535', '468', '425', '394', '373', '982', '142', '664', '152', '485', '575', '128', '884', '761', '391', '3', '790', '481', '158', '293', '606', '437', '255', '665', '834', '219', '770', '446', '795', '252', '99', '109', '123', '157', '113', '986', '562', '190', '788', '782', '750', '564', '147', '736', '802', '602', '170', '685', '122', '148', '25', '30', '193', '273', '688', '55', '483', '601', '576', '811', '950', '35', '367', '286', '537']
['358', '758', '235', '960', '383', '104', '134', '51', '958', '690', '590', '551', '734', '350', '721', '893', '385', '968', '740', '156', '959', '625', '565', '299', '479', '218', '97', '947', '815', '584', '9', '245', '371', '838', '843', '254', '421', '131', '672', '500', '660', '426', '962', '632', '47', '379', '50', '185', '720', '592', '633', '538', '397', '60', '318', '357', '225', '605', '673', '701', '550', '917', '995', '549', '776']
