['0', '493', '576', '955', '263', '380', '188', '978', '455', '70', '95', '747', '109', '539', '7', '8', '458', '414', '902', '156', '935', '861']
['1', '796', '454', '524', '865', '677', '492', '974', '170', '118', '378', '551', '908', '121', '259', '86', '52', '563', '771', '266', '433', '589']
['10', '122', '528', '265', '685', '620', '451', '785', '479', '161', '385', '728', '423', '975', '132', '887', '346', '182', '936', '415', '311', '383']
['100', '746', '393', '690', '808', '294', '660', '149', '172', '252', '45', '490', '123', '57', '592', '819', '769', '645', '843', '375', '812', '155']
['101', '873', '932', '49', '104', '903', '173', '440', '829', '143', '583', '315', '361', '340', '742', '448', '237', '344', '743', '262', '409', '298']
['102', '165', '425', '639', '600', '314', '734', '766', '824', '74', '296', '817', '495', '103', '387', '338', '379', '708', '277', '596', '988', '835']
['863', '845', '789', '60', '633', '99', '352', '401', '280', '535', '904', '697', '594', '281', '626', '91', '921', '823', '511', '58', '987', '469']
['821', '894', '40', '997', '929', '153', '2', '475', '516', '647', '953', '718', '190', '238', '885', '657', '590', '171', '905', '78', '944', '656']
['105', '670', '235', '573', '909', '292', '538', '419', '570', '643', '841', '96', '290', '138', '23', '248', '185', '914', '43', '610', '966', '852']
['106', '587', '680', '87', '115', '402', '543', '962', '621', '526', '698', '681', '745', '664', '181', '93', '435', '532', '554', '485', '755', '877']
['107', '50', '434', '111', '223', '624', '721', '430', '276', '180', '316', '748', '607', '519', '368', '960', '222', '994', '90', '203', '574', '992']
['108', '27', '774', '461', '969', '71', '550', '177', '604', '176', '9', '220', '706', '392', '308', '360', '283', '169', '889', '339', '210', '244']
['465', '559', '782', '63', '33', '75', '218', '907', '395', '582', '353', '476', '523', '687', '760', '232', '513', '957', '655', '800', '682', '818']
['11', '588', '164', '666', '6', '286', '846', '961', '998', '578', '649', '365', '676', '327', '389', '193', '618', '225', '450', '938', '597', '816']
['73', '860', '750', '166', '239', '783', '788', '950', '772', '679', '722', '77', '504', '441', '483', '318', '113', '191', '912', '215', '36', '274']
['112', '952', '712', '452', '88', '324', '922', '838', '990', '228', '83', '94', '619', '630', '541', '749', '332', '466', '881', '652', '941', '82']
['940', '231', '601', '736', '422', '443', '606', '381', '302', '400', '926', '345', '985', '727', '933', '333', '31', '692', '297', '740', '996', '654']
['114', '556', '977', '61', '530', '795', '947', '64', '200', '636', '310', '781', '886', '194', '840', '767', '219', '859', '325', '856', '366', '411']
['117', '134', '147', '915', '500', '512', '264', '369', '710', '348', '199', '317', '206', '584', '726', '964', '752', '472', '858', '405', '611', '163']
['939', '499', '447', '951', '356', '284', '271', '993', '17', '640', '19', '983', '672', '307', '487', '246', '822', '593', '84', '38', '616']
['119', '508', '635', '62', '418', '901', '488', '477', '373', '705', '289', '13', '899', '243', '667', '791', '688']
['12', '221', '972', '358', '608', '585', '930', '250', '291', '312', '127', '659', '557', '579', '258', '214', '54']
['120', '212', '195', '146', '713', '884', '758', '832', '866', '806', '651', '150', '999', '803', '948', '963', '351']
['971', '984', '980', '136', '919', '429', '371', '716', '855', '417', '691', '725', '599', '896', '25', '831', '869']
['124', '272', '701', '638', '595', '833', '717', '622', '126', '72', '53', '762', '954', '552', '558', '729', '322']
['125', '648', '801', '864', '787', '811', '956', '924', '355', '359', '110', '55', '257', '695', '991', '382', '229']
['546', '285', '428', '137', '506', '35', '867', '21', '562', '198', '792', '776', '391', '976', '128', '900', '85']
['605', '334', '478', '598', '850', '577', '531', '48', '892', '34', '420', '569', '16', '247', '47', '571', '719']
['421', '491', '714', '343', '460', '207', '449', '202', '5', '329', '349', '777', '459', '826', '439', '234', '342']
['468', '764', '934', '69', '700', '331', '306', '911', '396', '377', '335', '693', '686', '738', '779', '321', '756']
['130', '995', '20', '675', '739', '98', '744', '544', '275', '92', '545', '836', '707', '313', '837', '175', '363']
['131', '213', '646', '868', '196', '376', '304', '453', '942', '751', '456', '394', '917', '634', '179', '702', '602']
['216', '407', '928', '242', '145', '986', '303', '897', '715', '187', '44', '66', '827', '761', '689', '412', '152']
['133', '42', '661', '684', '768', '288', '733', '28', '162', '653', '249', '893', '807', '815', '696', '580', '778']
['135', '364', '26', '436', '245', '581', '68', '925', '295', '426', '703', '793', '24', '473', '534', '920', '723']
['59', '553', '141', '704', '775', '802', '564', '502', '623', '337', '644', '913', '828', '527', '390', '388', '805']
['849', '457', '159', '309', '41', '399', '256', '555', '46', '830', '642', '427', '943', '981', '878', '514', '151']
['139', '673', '362', '498', '946', '462', '540', '29', '874', '797', '129', '780', '51', '709', '79', '798', '398']
['14', '357', '525', '678', '989', '226', '871', '804', '374', '240', '568', '403', '612', '529', '444', '186', '763']
['507', '591', '320', '732', '408', '565', '481', '279', '937', '799', '927', '629', '615', '631', '517', '879', '945']
['142', '18', '445', '614', '820', '617', '669', '891', '542', '890', '496', '183', '442', '757', '979', '520', '260']
['370', '521', '730', '410', '116', '674', '386', '197', '328', '76', '174', '658', '424', '336', '158', '208', '341']
['144', '875', '432', '834', '205', '301', '384', '665', '254', '844', '319', '898', '438', '637', '851', '547', '431']
['880', '586', '814', '724', '67', '474', '625', '973', '509', '354', '497', '561', '784', '397', '575', '157', '603']
['404', '958', '632', '470', '463', '224', '299', '560', '753', '641', '323', '273', '683', '773', '372', '895', '233']
['148', '548', '446', '56', '825', '65', '367', '876', '471', '486', '22', '201', '959', '759', '489', '737', '32']
['809', '501', '3', '253', '204', '923', '794', '326', '80', '949', '268', '505', '37', '282', '154', '694', '671']
['15', '4', '330', '842', '731', '416', '533', '494', '650', '464', '413', '178', '609', '786', '406', '668', '211']
['255', '848', '269', '350', '918', '847', '857', '536', '627', '537', '931', '967', '467', '965', '305', '480', '882']
['566', '970', '613', '699', '236', '287', '862', '741', '916', '503', '790', '522', '663', '813', '765', '839', '89']
['572', '261', '888', '662', '968', '39', '192', '515', '241', '189', '883', '549', '347', '30', '227', '267', '810']
['720', '711', '293', '870', '482', '510', '160', '251', '567', '209', '270', '735', '278', '140', '217', '754', '628']
