['0', '493', '576', '955', '263', '380', '188', '978', '455', '70', '95', '747', '109', '539', '7', '8', '458', '843', '645', '375', '48', '531']
['1', '796', '454', '524', '865', '677', '492', '974', '170', '118', '378', '551', '908', '121', '259', '86', '52', '572', '261', '888', '892', '34']
['10', '122', '528', '265', '685', '620', '451', '785', '479', '161', '385', '728', '423', '975', '132', '887', '346', '466', '881', '652', '67', '474']
['100', '746', '393', '690', '808', '294', '660', '149', '172', '252', '45', '490', '123', '57', '592', '819', '769', '225', '450', '835', '859', '988']
['101', '873', '932', '49', '104', '903', '173', '440', '829', '143', '583', '315', '361', '340', '742', '448', '237', '944', '656', '611', '415', '311']
['102', '165', '425', '639', '600', '314', '734', '766', '824', '74', '296', '817', '495', '103', '387', '338', '379', '724', '880', '397', '575', '157']
['468', '764', '934', '69', '700', '331', '306', '911', '396', '377', '335', '693', '686', '738', '779', '321', '756', '155', '654', '325', '43', '610']
['917', '213', '394', '634', '196', '376', '304', '453', '646', '131', '868', '942', '751', '456', '179', '702', '602', '319', '844', '898', '438', '637']
['105', '670', '235', '573', '909', '292', '538', '419', '570', '643', '841', '96', '290', '138', '23', '248', '185', '383', '625', '973', '509', '354']
['106', '587', '680', '87', '115', '402', '543', '962', '621', '526', '698', '681', '745', '664', '181', '93', '435', '366', '861', '771', '563', '266']
['107', '50', '434', '111', '223', '624', '721', '430', '276', '180', '316', '748', '607', '519', '368', '960', '222', '933', '736', '333', '940', '601']
['108', '27', '774', '461', '969', '71', '550', '177', '604', '176', '9', '220', '706', '392', '308', '360', '283', '571', '719', '47', '247', '16']
['483', '462', '860', '441', '318', '894', '946', '590', '239', '783', '788', '950', '772', '679', '722', '77', '750', '914', '78', '905', '171', '603']
['11', '588', '164', '666', '6', '286', '846', '961', '998', '578', '649', '365', '676', '327', '389', '193', '618', '561', '497', '784', '484', '996']
['663', '813', '765', '839', '89', '870', '711', '720', '293', '482', '510', '160', '251', '567', '810', '267', '812', '732', '858', '472', '405', '850']
['112', '952', '712', '452', '88', '324', '922', '838', '990', '228', '83', '94', '619', '630', '541', '749', '332', '420', '569', '642', '427', '59']
['113', '270', '209', '735', '767', '556', '840', '219', '530', '795', '947', '64', '200', '636', '977', '114', '61', '936', '182', '598', '167', '168']
['414', '739', '902', '156', '98', '675', '744', '544', '275', '92', '545', '836', '707', '313', '837', '175', '363', '740', '278', '140', '217', '816']
['117', '134', '147', '915', '500', '512', '264', '369', '710', '348', '199', '317', '206', '584', '726', '964', '752', '852', '966', '26', '577', '935']
['303', '407', '986', '897', '145', '715', '187', '928', '216', '242', '44', '66', '827', '761', '689', '412', '152', '938', '300', '851', '856']
['119', '508', '635', '62', '418', '901', '488', '477', '373', '705', '289', '13', '899', '243', '667', '791', '688']
['12', '221', '972', '358', '608', '585', '930', '250', '291', '312', '127', '659', '557', '579', '258', '214', '54']
['120', '212', '195', '146', '713', '884', '758', '832', '866', '806', '651', '150', '999', '803', '948', '963', '351']
['227', '648', '787', '347', '811', '956', '924', '355', '801', '125', '864', '359', '110', '55', '257', '695', '991']
['124', '272', '701', '638', '595', '833', '717', '622', '126', '72', '53', '762', '954', '552', '558', '729', '322']
['246', '499', '487', '447', '356', '284', '271', '993', '17', '640', '19', '983', '672', '307', '939', '951', '822']
['889', '845', '339', '169', '633', '99', '352', '401', '280', '535', '904', '697', '594', '281', '626', '91', '921']
['183', '18', '442', '496', '820', '617', '669', '891', '542', '890', '757', '979', '520', '445', '142', '614', '260']
['128', '546', '976', '900', '285', '428', '137', '506', '35', '867', '21', '562', '198', '792', '776', '391', '85']
['84', '409', '298', '68', '245', '436', '24', '925', '295', '426', '703', '793', '581', '473', '534', '920', '723']
['130', '995', '20', '931', '536', '967', '965', '305', '480', '882', '287', '699', '970', '566', '613', '236', '862']
['408', '565', '481', '279', '937', '799', '927', '629', '615', '631', '517', '879', '945', '770', '910', '906', '230']
['704', '775', '802', '564', '502', '623', '337', '644', '913', '828', '527', '390', '388', '805', '507', '591', '320']
['133', '42', '661', '684', '768', '288', '733', '28', '162', '653', '249', '893', '807', '815', '696', '580', '778']
['135', '984', '869', '364', '919', '429', '980', '971', '136', '371', '716', '855', '417', '691', '725', '599', '896']
['773', '463', '683', '372', '560', '753', '641', '323', '273', '895', '233', '224', '470', '299', '241', '515', '192']
['73', '166', '504', '777', '491', '349', '459', '460', '207', '449', '202', '5', '329', '714', '421', '343', '826']
['139', '673', '362', '997', '821', '929', '40', '153', '498', '2', '475', '516', '647', '953', '718', '190', '238']
['14', '357', '525', '678', '989', '226', '871', '804', '374', '240', '568', '403', '612', '529', '444', '186', '763']
['141', '465', '513', '553', '559', '782', '63', '33', '75', '218', '907', '395', '582', '353', '476', '523', '687']
['632', '404', '958', '439', '234', '342', '90', '994', '203', '431', '205', '547', '274', '834', '301', '665', '254']
['886', '781', '194', '310', '981', '457', '943', '878', '41', '159', '849', '309', '399', '256', '555', '46', '830']
['144', '875', '432', '831', '25', '467', '522', '790', '503', '916', '741', '184', '872', '81', '671', '501', '210']
['191', '992', '574', '657', '885', '204', '692', '923', '253', '794', '809', '129', '326', '3', '29', '780', '982']
['521', '370', '410', '116', '674', '386', '197', '328', '76', '174', '658', '424', '336', '158', '208', '341', '596']
['148', '548', '446', '56', '825', '65', '367', '876', '471', '486', '22', '201', '959', '759', '489', '737', '32']
['4', '731', '416', '533', '494', '650', '464', '413', '178', '609', '786', '406', '668', '211', '330', '15', '842']
['382', '229', '30', '708', '277', '730', '682', '800', '818', '344', '743', '262', '244', '189', '883', '549', '411']
['537', '857', '627', '437', '231', '854', '31', '422', '443', '606', '381', '302', '400', '926', '345', '985', '727']
['151', '514', '589', '433', '616', '968', '39', '662', '82', '941', '384', '36', '912', '215', '58', '823', '511']
['853', '97', '797', '540', '874', '297', '877', '755', '485', '554', '532', '398', '798', '79', '709', '51', '597']
['163', '754', '628', '655', '518', '957', '789', '863', '60', '255', '848', '269', '350', '918', '847', '814', '586']
