['101', '877', '906']
['102', '461', '153']
['106', '979', '699']
['107', '912', '85']
['110', '480', '695']
['111', '166', '770']
['115', '281', '598']
['136', '975', '65']
['138', '536', '778']
['170', '326', '857']
['176', '879', '883']
['179', '9', '587']
['185', '606', '128']
['19', '900', '935']
['190', '66', '336']
['20', '705', '174']
['21', '55', '884']
['220', '951', '204']
['230', '77', '703']
['236', '519', '801']
['247', '538', '404']
['260', '484', '243']
['265', '553', '317']
['269', '717', '24']
['279', '233', '671']
['283', '520', '11']
['285', '35', '210']
['290', '414', '597']
['3', '682', '530']
['306', '686', '88']
['313', '985', '713']
['333', '74', '696']
['34', '257', '886']
['347', '83', '835']
['348', '749', '144']
['358', '823', '432']
['360', '109', '768']
['368', '680', '810']
['369', '632', '517']
['375', '512', '760']
['383', '82', '618']
['40', '382', '856']
['409', '430', '275']
['44', '458', '928']
['444', '911', '936']
['448', '96', '449']
['477', '457', '282']
['48', '476', '861']
['5', '184', '684']
['511', '343', '213']
['522', '90', '824']
['53', '855', '566']
['534', '790', '43']
['539', '64', '183']
['549', '744', '774']
['550', '916', '76']
['559', '792', '493']
['562', '132', '702']
['567', '990', '757']
['569', '927', '71']
['576', '224', '863']
['581', '59', '940']
['584', '42', '892']
['594', '384', '796']
['599', '853', '363']
['6', '216', '441']
['615', '555', '459']
['627', '963', '564']
['629', '832', '203']
['637', '811', '725']
['651', '921', '328']
['665', '612', '405']
['67', '270', '585']
['676', '154', '385']
['68', '464', '862']
['683', '646', '462']
['685', '481', '498']
['694', '36', '798']
['7', '161', '146']
['70', '13', '818']
['707', '316', '966']
['737', '808', '991']
['739', '586', '595']
['743', '788', '244']
['748', '652', '822']
['764', '240', '708']
['767', '91', '307']
['773', '557', '453']
['776', '820', '901']
['777', '482', '657']
['803', '556', '349']
['805', '742', '812']
['806', '473', '992']
['813', '527', '180']
['814', '730', '552']
['849', '727', '847']
['869', '920', '669']
['870', '73', '977']
['876', '39', '634']
['893', '706', '740']
['902', '359', '374']
['905', '152', '931']
['915', '433', '763']
['919', '775', '907']
['92', '103', '470']
['922', '733', '889']
['924', '789', '139']
['925', '267', '93']
['929', '650', '543']
['958', '178', '735']
['961', '86', '865']
['962', '895', '771']
['97', '819', '311']
['970', '848', '821']
['989', '871', '420']
['998', '670', '852']
['0', '89', '726']
['1', '640', '169']
['10', '959', '785']
['100', '238', '860']
['104', '22', '99']
['108', '679', '894']
['114', '934', '149']
['117', '781', '817']
['118', '507', '443']
['119', '250', '663']
['120', '944', '254']
['125', '719', '542']
['126', '593', '972']
['130', '783', '271']
['133', '201', '69']
['134', '429', '816']
['135', '292', '478']
['141', '56', '842']
['143', '932', '191']
['145', '408', '745']
['148', '95', '12']
['15', '410', '87']
['155', '917', '967']
['156', '475', '655']
['158', '465', '14']
['16', '84', '974']
['160', '445', '988']
['163', '898', '395']
['165', '248', '231']
['168', '868', '124']
['171', '910', '425']
['172', '591', '570']
['173', '474', '751']
['175', '318', '653']
['177', '721', '941']
['189', '151', '131']
['195', '164', '51']
['196', '354', '509']
['197', '255', '399']
['2', '993', '379']
['200', '491', '999']
['205', '759', '913']
['207', '946', '645']
['208', '18', '162']
['209', '890', '537']
['214', '829', '968']
['217', '955', '673']
['218', '858', '94']
['222', '393', '826']
['225', '971', '687']
['227', '455', '289']
['229', '791', '834']
['234', '756', '807']
['235', '575', '926']
['237', '827', '649']
['239', '761', '452']
['241', '675', '157']
['242', '809', '873']
['249', '610', '540']
['251', '394', '75']
['252', '965', '113']
['258', '296', '952']
['26', '914', '194']
['261', '211', '526']
['262', '389', '864']
['263', '964', '259']
['264', '355', '885']
['266', '908', '406']
['268', '314', '521']
['27', '693', '850']
['273', '186', '554']
['276', '297', '577']
['277', '948', '641']
['278', '654', '159']
['28', '513', '660']
['284', '226', '466']
['286', '899', '582']
['287', '334', '580']
['288', '122', '724']
['294', '182', '253']
['295', '878', '786']
['299', '199', '221']
['30', '692', '983']
['300', '541', '923']
['301', '469', '578']
['303', '572', '846']
['305', '942', '731']
['308', '116', '753']
['312', '701', '492']
['315', '779', '272']
['319', '376', '714']
['32', '563', '904']
['321', '167', '762']
['322', '192', '943']
['323', '350', '841']
['324', '960', '741']
['327', '147', '996']
['33', '4', '330']
['331', '72', '782']
['335', '387', '882']
['338', '678', '625']
['339', '867', '723']
['340', '329', '454']
['341', '795', '81']
['342', '568', '479']
['344', '367', '504']
['346', '752', '325']
['352', '378', '112']
['361', '62', '380']
['362', '601', '728']
['364', '953', '854']
['365', '891', '403']
['366', '140', '772']
['37', '8', '755']
['370', '830', '256']
['371', '246', '747']
['372', '794', '918']
['373', '386', '320']
['38', '982', '799']
['390', '851', '903']
['391', '718', '659']
['392', '661', '486']
['396', '17', '602']
['397', '497', '121']
['398', '793', '485']
['401', '428', '732']
['402', '187', '137']
['407', '79', '831']
['41', '698', '875']
['411', '193', '57']
['412', '500', '866']
['413', '937', '439']
['416', '388', '658']
['418', '656', '345']
['421', '206', '938']
['422', '765', '245']
['423', '700', '60']
['424', '839', '309']
['426', '712', '626']
['427', '198', '957']
['431', '729', '947']
['435', '984', '215']
['438', '123', '690']
['440', '298', '471']
['442', '872', '973']
['446', '715', '956']
['447', '232', '47']
['451', '836', '859']
['46', '434', '181']
['463', '802', '844']
['467', '930', '529']
['468', '666', '628']
['472', '780', '127']
['483', '986', '61']
['487', '310', '535']
['488', '45', '939']
['489', '417', '677']
['49', '787', '969']
['490', '332', '456']
['494', '400', '838']
['495', '223', '502']
['496', '50', '609']
['499', '734', '531']
['501', '736', '337']
['503', '436', '750']
['506', '766', '450']
['508', '280', '419']
['510', '672', '994']
['514', '23', '888']
['515', '880', '647']
['516', '150', '950']
['518', '949', '274']
['523', '63', '691']
['524', '54', '31']
['525', '642', '797']
['528', '954', '604']
['532', '608', '800']
['544', '769', '722']
['546', '219', '825']
['547', '662', '978']
['548', '356', '909']
['551', '228', '674']
['558', '353', '667']
['560', '758', '633']
['561', '697', '981']
['565', '129', '720']
['571', '688', '980']
['573', '815', '843']
['574', '828', '664']
['579', '212', '293']
['58', '505', '545']
['588', '590', '460']
['592', '78', '933']
['596', '887', '589']
['600', '881', '746']
['603', '738', '415']
['605', '302', '351']
['607', '381', '304']
['611', '995', '897']
['613', '377', '357']
['614', '837', '583']
['616', '784', '105']
['617', '668', '681']
['619', '874', '533']
['620', '142', '25']
['621', '291', '711']
['622', '833', '29']
['623', '52', '202']
['624', '709', '98']
['630', '945', '997']
['631', '804', '710']
['635', '840', '976']
['636', '80', '716']
['638', '845', '754']
['639', '437', '188']
['643', '896', '987']
['644', '689', '704']
['648']
