['101', '963', '564']
['102', '123', '808']
['106', '907', '74']
['107', '634', '781']
['110', '855', '566']
['111', '824', '410']
['115', '275', '393']
['136', '921', '695']
['138', '911', '936']
['170', '916', '76']
['176', '778', '861']
['179', '927', '71']
['185', '583', '786']
['19', '479', '336']
['190', '782', '72']
['20', '434', '39']
['21', '456', '881']
['220', '730', '552']
['230', '837', '452']
['236', '304', '713']
['247', '244', '553']
['260', '896', '750']
['265', '480', '884']
['269', '585', '389']
['279', '367', '504']
['283', '474', '751']
['285', '736', '88']
['290', '839', '309']
['3', '50', '609']
['306', '760', '538']
['313', '4', '563']
['333', '933', '972']
['34', '784', '602']
['347', '24', '84']
['348', '957', '56']
['358', '453', '647']
['360', '86', '64']
['368', '194', '127']
['369', '967', '354']
['375', '29', '653']
['383', '343', '213']
['40', '891', '403']
['409', '889', '17']
['44', '618', '82']
['444', '659', '709']
['448', '326', '857']
['477', '568', '640']
['48', '790', '43']
['5', '820', '901']
['511', '351', '12']
['522', '187', '281']
['53', '147', '768']
['534', '595', '586']
['539', '212', '61']
['549', '969', '943']
['550', '151', '131']
['559', '990', '757']
['562', '103', '470']
['567', '761', '770']
['569', '310', '473']
['576', '182', '863']
['581', '417', '971']
['584', '664', '687']
['594', '356', '844']
['599', '378', '112']
['6', '959', '328']
['615', '994', '812']
['627', '320', '441']
['629', '414', '597']
['637', '997', '337']
['651', '954', '604']
['665', '923', '541']
['67', '387', '307']
['676', '430', '698']
['68', '939', '462']
['683', '950', '794']
['685', '674', '228']
['694', '577', '297']
['7', '433', '763']
['70', '325', '938']
['707', '388', '146']
['737', '999', '657']
['739', '183', '865']
['743', '930', '529']
['748', '871', '420']
['764', '394', '946']
['767', '95', '701']
['773', '949', '274']
['776', '257', '128']
['777', '531', '740']
['803', '898', '395']
['805', '864', '432']
['806', '827', '944']
['813', '491', '785']
['814', '22', '823']
['849', '628', '646']
['869', '880', '766']
['870', '860', '238']
['876', '465', '14']
['893', '985', '139']
['902', '554', '186']
['905', '726', '199']
['915', '686', '382']
['919', '298', '272']
['92', '93', '204']
['922', '873', '232']
['924', '867', '723']
['925', '947', '729']
['929', '255', '749']
['958', '704', '436']
['961', '684', '780']
['962', '513', '660']
['97', '853', '363']
['970', '788', '826']
['989', '968', '735']
['998', '920', '669']
['0', '202', '52']
['1', '374', '772']
['10', '975', '65']
['100', '758', '690']
['104', '834', '852']
['108', '96', '449']
['114', '755', '476']
['117', '675', '243']
['118', '771', '895']
['119', '526', '593']
['120', '610', '540']
['125', '903', '485']
['126', '854', '481']
['130', '658', '188']
['133', '18', '162']
['134', '47', '661']
['135', '984', '904']
['141', '721', '941']
['143', '178', '253']
['145', '913', '759']
['148', '520', '11']
['15', '872', '42']
['155', '816', '429']
['156', '825', '670']
['158', '492', '974']
['16', '838', '150']
['160', '512', '879']
['163', '960', '149']
['165', '45', '161']
['168', '914', '798']
['171', '673', '219']
['172', '828', '570']
['173', '399', '973']
['175', '724', '809']
['177', '484', '415']
['189', '882', '500']
['195', '672', '211']
['196', '836', '555']
['197', '662', '978']
['2', '231', '248']
['200', '835', '601']
['205', '240', '708']
['207', '988', '445']
['208', '85', '796']
['209', '91', '405']
['214', '316', '966']
['217', '747', '246']
['218', '142', '955']
['222', '94', '466']
['225', '918', '469']
['227', '62', '380']
['229', '934', '818']
['234', '792', '493']
['235', '80', '245']
['237', '296', '952']
['239', '626', '714']
['241', '267', '164']
['242', '680', '810']
['249', '829', '996']
['251', '745', '408']
['252', '953', '926']
['258', '795', '819']
['26', '909', '60']
['261', '728', '691']
['262', '655', '475']
['263', '404', '79']
['264', '765', '612']
['266', '992', '756']
['268', '800', '113']
['27', '471', '140']
['273', '802', '557']
['276', '632', '517']
['277', '75', '379']
['278', '385', '460']
['28', '116', '649']
['284', '894', '679']
['286', '741', '311']
['287', '875', '697']
['288', '329', '109']
['294', '945', '13']
['295', '696', '533']
['299', '293', '454']
['30', '289', '455']
['300', '979', '699']
['301', '482', '376']
['303', '815', '877']
['305', '428', '847']
['308', '783', '497']
['312', '886', '848']
['315', '330', '381']
['319', '122', '51']
['32', '193', '174']
['321', '77', '703']
['322', '57', '645']
['323', '318', '345']
['324', '981', '965']
['327', '774', '744']
['33', '519', '801']
['331', '221', '625']
['335', '899', '582']
['338', '25', '443']
['339', '951', '250']
['340', '775', '688']
['341', '23', '888']
['342', '464', '862']
['344', '377', '980']
['346', '206', '587']
['352', '353', '667']
['361', '956', '822']
['362', '932', '191']
['364', '666', '55']
['365', '874', '181']
['366', '654', '159']
['37', '357', '203']
['370', '663', '976']
['371', '851', '105']
['372', '940', '450']
['373', '817', '89']
['38', '883', '986']
['390', '486', '719']
['391', '908', '842']
['392', '964', '542']
['396', '223', '556']
['397', '98', '536']
['398', '797', '9']
['401', '384', '69']
['402', '931', '152']
['407', '578', '754']
['41', '215', '535']
['411', '910', '498']
['412', '982', '799']
['413', '572', '591']
['416', '505', '121']
['418', '866', '192']
['421', '942', '912']
['422', '845', '850']
['423', '317', '937']
['424', '154', '787']
['426', '779', '502']
['427', '733', '8']
['431', '821', '332']
['435', '124', '868']
['438', '811', '725']
['440', '668', '31']
['442', '461', '153']
['446', '216', '545']
['447', '78', '167']
['451', '437', '859']
['46', '892', '334']
['463', '129', '762']
['467', '846', '746']
['468', '738', '885']
['472', '641', '858']
['483', '419', '280']
['487', '742', '720']
['488', '727', '137']
['489', '642', '271']
['49', '878', '507']
['490', '650', '543']
['494', '841', '350']
['495', '900', '935']
['496', '184', '226']
['499', '282', '457']
['501', '671', '233']
['503', '527', '180']
['506', '87', '83']
['508', '608', '259']
['510', '917', '478']
['514', '580', '425']
['515', '752', '843']
['516', '169', '804']
['518', '406', '314']
['523', '575', '928']
['524', '983', '692']
['525', '198', '734']
['528', '732', '606']
['532', '833', '400']
['544', '906', '831']
['546', '302', '36']
['547', '590', '897']
['548', '59', '693']
['551', '439', '386']
['558', '256', '291']
['560', '521', '731']
['561', '292', '995']
['565', '717', '589']
['571', '81', '598']
['573', '977', '73']
['574', '349', '132']
['579', '887', '711']
['58', '355', '793']
['588', '753', '718']
['592', '700', '710']
['596', '63', '458']
['600', '712', '537']
['603', '830', '66']
['605', '987', '677']
['607', '722', '769']
['611', '689', '702']
['613', '224', '681']
['614', '715', '652']
['616', '633', '157']
['617', '716', '144']
['619', '840', '678']
['620', '459', '210']
['621', '705', '890']
['622', '832', '254']
['623', '90', '35']
['624', '993', '991']
['630', '530', '682']
['631', '656', '509']
['635', '706', '791']
['636', '270', '789']
['638', '856', '948']
['639', '166', '54']
['643', '99', '807']
['644', '359', '201']
['648']
