['10', '712', '711', '93', '805', '729', '74', '716', '801', '949', '467', '108', '946', '827', '694', '99', '359', '848', '844', '579', '855', '777', '46', '984', '725', '776', '770', '800', '478', '864', '192', '679', '79', '200', '130', '847', '824', '89', '754', '862', '948', '561', '565', '292', '555', '724', '575', '76', '806', '740', '522', '778', '960', '894', '322', '245', '493', '982', '841', '543', '834', '2', '223', '444', '547', '116', '189', '448', '718', '782', '145', '263', '15', '835', '48', '398', '896', '178', '614', '756', '77', '578', '64', '872', '593', '956', '922', '92', '883', '96', '673', '677', '943', '767', '723', '760', '90', '479', '386', '690', '106', '773', '870', '658', '336', '585', '621', '194', '722', '921', '113', '482', '391', '453', '269', '460', '1', '450', '136', '629', '708', '291', '900', '913', '692', '416', '974', '768', '861', '613', '809', '791', '440', '240', '465', '605', '733', '788', '623', '857', '887', '695', '137', '120', '55', '459', '874', '845', '196', '328', '363', '255', '528', '172', '944', '786', '513', '466', '24', '849', '400', '597', '599', '878', '427', '394', '842', '728', '685', '993', '994', '330', '766', '983', '812', '964', '967', '541', '930', '732', '7', '920', '294', '470', '302', '75', '866', '603', '42', '256', '374', '624', '976', '954', '973', '969', '663', '548', '937', '78', '554', '39', '662', '544', '950', '668', '979', '91', '683', '9', '810', '997', '660', '587', '808', '18', '259', '636', '641', '610', '938', '606', '714', '85', '509', '19', '701', '141', '104', '321', '833', '886', '680', '167', '339', '865', '425', '563', '219', '371', '905', '762', '687', '684', '83', '693', '986', '970', '908', '638', '574', '672', '602', '720', '779', '612', '581', '304', '813', '836', '873', '417', '257', '284', '691', '674', '747', '488', '115', '961', '700', '745', '989', '649', '180', '987', '481', '558', '344', '867', '947', '820', '598', '580', '560', '538', '206', '774', '233', '591', '838', '892', '860', '254', '495', '573', '33', '326', '962', '601', '819', '781', '368', '212', '468', '814', '953', '552', '980', '963', '898', '73', '13', '991', '418', '619', '595', '877', '94', '557', '356', '843', '794', '177', '313', '853', '652', '815', '889', '750', '821', '735', '413', '736', '568', '571']
['101', '125']
['102', '635']
['103', '249']
['105', '968']
['107', '3']
['109', '903']
['11', '433']
['110', '12']
['112', '486']
['114', '429']
['117', '880']
['118', '895']
['119', '379']
['698', '432']
['121', '868']
['122', '876']
['123', '780']
['403', '822']
['126', '562']
['127', '300']
['129', '634']
['131', '274']
['132', '589']
['133', '487']
['135', '251']
['138', '958']
['139', '247']
['14', '454']
['140', '301']
['143', '797']
['144', '82']
['146', '320']
['147', '235']
['149', '311']
['150', '156']
['152', '483']
['153', '646']
['154', '669']
['155', '919']
['936', '372']
['157', '419']
['159', '428']
['161', '803']
['162', '916']
['163', '784']
['164', '169']
['165', '918']
['166', '764']
['168', '897']
['583', '54']
['17', '539']
['170', '511']
['173', '959']
['174', '342']
['175', '811']
['176', '312']
['179', '670']
['181', '70']
['182', '550']
['183', '910']
['185', '981']
['186', '893']
['187', '744']
['190', '706']
['191', '828']
['193', '719']
['195', '891']
['197', '996']
['198', '285']
['199', '385']
['20', '449']
['201', '881']
['202', '792']
['203', '738']
['204', '491']
['205', '405']
['207', '942']
['208', '534']
['209', '369']
['213', '556']
['214', '551']
['215', '586']
['216', '746']
['217', '72']
['218', '408']
['22', '395']
['220', '826']
['221', '230']
['222', '911']
['224', '642']
['225', '232']
['226', '373']
['227', '863']
['228', '829']
['229', '61']
['23', '353']
['298', '851']
['231', '404']
['62', '358']
['234', '757']
['148', '171']
['236', '885']
['238', '657']
['239', '32']
['242', '644']
['243', '497']
['244', '461']
['798', '688']
['248', '730']
['268', '852']
['25', '57']
['630', '709']
['252', '689']
['253', '640']
['258', '737']
['26', '382']
['260', '545']
['262', '160']
['264', '831']
['265', '451']
['266', '6']
['267', '628']
['27', '715']
['271', '384']
['272', '383']
['273', '912']
['915', '923']
['275', '775']
['276', '704']
['277', '455']
['278', '952']
['279', '869']
['28', '665']
['280', '846']
['281', '494']
['282', '858']
['283', '675']
['759', '66']
['286', '590']
['287', '995']
['288', '331']
['289', '620']
['29', '802']
['290', '825']
['293', '648']
['295', '516']
