['0', '489', '492', '193', '685', '282', '681']
['1', '533', '53', '35', '467', '698', '300']
['100', '592', '393', '451', '603', '110', '163']
['102', '134', '547', '481', '429', '212', '142']
['105', '188', '537', '79', '104', '256', '367']
['109', '323', '392', '167', '373', '213', '646']
['111', '191', '486', '570', '417', '629', '58']
['118', '563', '544', '682', '370', '177', '529']
['120', '341', '263', '317', '697', '543', '557']
['124', '226', '230', '687', '473', '641', '587']
['13', '573', '43', '181', '305', '671', '23']
['132', '621', '314', '344', '123', '254', '69']
['14', '577', '586', '456', '125', '694', '637']
['140', '12', '229', '96', '430', '147', '503']
['145', '541', '377', '662', '691', '161', '693']
['151', '506', '674', '418', '642', '474', '99']
['153', '272', '523', '655', '357', '94', '520']
['155', '684', '403', '246', '620', '516', '205']
['168', '302', '294', '554', '165', '98', '10']
['169', '57', '444', '296', '219', '665', '380']
['175', '666', '228', '615', '236', '108', '517']
['180', '326', '612', '656', '447', '166', '409']
['187', '242', '538', '271', '225', '443', '604']
['197', '483', '172', '293', '138', '411', '72']
['2', '599', '216', '695', '185', '283', '627']
['204', '41', '164', '249', '410', '584', '536']
['206', '47', '207', '610', '552', '103', '505']
['208', '576', '162', '336', '434', '607', '696']
['211', '640', '466', '143', '311', '423', '182']
['214', '402', '81', '495', '675', '588', '285']
['215', '571', '127', '18', '526', '158', '30']
['218', '647', '313', '210', '340', '11', '578']
['224', '593', '472', '349', '255', '48', '672']
['231', '582', '581', '676', '356', '295', '514']
['234', '404', '568', '154', '243', '613', '73']
['235', '649', '549', '515', '113', '304', '270']
['241', '5', '239', '126', '17', '122', '60']
['251', '626', '382', '678', '699', '355', '139']
['258', '55', '369', '412', '61', '74', '658']
['260', '598', '44', '279', '232', '419', '202']
['265', '482', '654', '201', '507', '324', '439']
['267', '420', '424', '689', '87', '327', '458']
['268', '64', '591', '365', '407', '471', '556']
['269', '596', '320', '176', '150', '261', '238']
['273', '394', '663', '532', '400', '405', '189']
['276', '200', '363', '117', '427', '88', '574']
['280', '478', '499', '364', '6', '253', '609']
['281', '129', '80', '644', '437', '259', '497']
['288', '342', '484', '209', '630', '33', '89']
['290', '559', '26', '572', '28', '114', '174']
['292', '264', '462', '594', '196', '244', '130']
['297', '121', '683', '252', '490', '565', '408']
['307', '622', '67', '240', '669', '346', '498']
['308', '389', '116', '550', '457', '248', '650']
['32', '631', '614', '535', '90', '97', '539']
['325', '250', '668', '378', '534', '569', '77']
['329', '433', '632', '608', '49', '432', '500']
['331', '542', '558', '441', '316', '580', '659']
['339', '63', '448', '56', '560', '524', '247']
['343', '159', '82', '692', '597', '20', '575']
['350', '284', '148', '15', '396', '101', '133']
['352', '351', '463', '179', '513', '345', '62']
['358', '518', '199', '485', '442', '680', '673']
['360', '31', '519', '651', '27', '309', '686']
['362', '348', '178', '551', '24', '425', '278']
['37', '275', '146', '385', '222', '233', '652']
['375', '653', '59', '237', '68', '374', '368']
['376', '330', '372', '618', '141', '160', '624']
['379', '131', '493', '421', '661', '29', '384']
['38', '287', '566', '128', '46', '555', '173']
['381', '71', '334', '183', '636', '583', '310']
['383', '476', '401', '450', '487', '315', '170']
['386', '638', '648', '112', '223', '245', '227']
['387', '521', '312', '144', '337', '643', '50']
['388', '301', '502', '435', '92', '446', '511']
['390', '289', '34', '562', '4', '328', '453']
['391', '366', '66', '531', '546', '617', '152']
['397', '318', '553', '36', '605', '83', '510']
['399', '634', '22', '670', '184', '445', '509']
['413', '564', '322', '579', '353', '85', '286']
['414', '274', '347', '119', '91', '639', '156']
['415', '335', '52', '95', '528', '354', '65']
['416', '70', '78', '660', '601', '508', '527']
['42', '40', '319', '619', '107', '157', '359']
['422', '195', '633', '431', '501', '426', '406']
['436', '512', '338', '595', '540', '657', '192']
['438', '398', '530', '186', '333', '262', '86']
['452', '25', '19', '361', '635', '266', '522']
['455', '461', '298', '589', '688', '198', '690']
['459', '395', '664', '585', '171', '306', '496']
['460', '277', '54', '93', '257', '477', '76']
['464', '299', '449', '590', '136', '625', '623']
['465', '39', '371', '561', '149', '221', '469']
['468', '75', '194', '602', '645', '16', '137']
['470', '21', '217', '84', '616', '677', '428']
['475', '440', '545', '321', '9', '106', '454']
['479', '332', '504', '135', '525', '611', '8']
['488', '7', '220', '628', '567', '3', '600']
['491', '115', '303', '667', '45', '203', '51']
['494', '190', '291', '480', '679', '548', '606']
