['832', '459', '964', '854', '123', '394', '773', '223', '115', '991', '447', '480', '148', '998', '259', '568', '680', '444', '730', '802', '62', '274', '712', '83', '859', '673', '53', '57', '960', '709', '612', '764', '88', '878', '789', '715', '184', '598', '528', '795', '214', '555', '314', '384', '644', '837', '415', '825', '424', '243']
['937', '573', '865', '336', '560', '489', '563', '798', '575', '838', '291', '170', '877', '691', '68', '840', '982', '852', '814', '622', '305', '731', '85', '907', '718', '139', '402', '836', '359', '111', '595', '828', '818', '750', '15', '293', '67', '779', '959', '810', '154', '171', '853', '475', '728', '22', '543', '428', '231', '441']
['345', '106', '445', '76', '484', '582', '150', '6', '625', '927', '701', '768', '371', '474', '845', '862', '533', '881', '39', '775', '238', '781', '308', '547', '388', '298', '412', '687', '588', '693', '462', '957', '395', '648', '536', '578', '143', '341', '922', '201', '283', '502', '379', '544', '159', '78', '570', '997', '915', '138']
['438', '523', '776', '945', '452', '297', '623', '65', '755', '374', '35', '816', '809', '618', '992', '399', '389', '979', '823', '963', '799', '331', '518', '41', '619', '974', '315', '383', '600', '11', '723', '437', '530', '317', '63', '835', '919', '647', '50', '414', '9', '477', '95', '980', '375', '163', '503', '3', '160', '857']
['84', '178', '772', '113', '866', '827', '54', '458', '153', '968', '591', '350', '431', '514', '86', '185', '850', '873', '165', '103', '108', '834', '554', '983', '747', '592', '456', '46', '651', '493', '179', '898', '497', '670', '175', '743', '986', '403', '310', '934', '197', '683', '135', '225', '454', '209', '897', '187', '219', '29']
['117', '517', '628', '626', '962', '735', '710', '44', '495', '451', '844', '20', '60', '942', '717', '408', '8', '956', '917', '879', '946', '842', '42', '218', '639', '668', '871', '192', '861', '12', '948', '697', '260', '510', '744', '338', '926', '736', '423', '811', '682', '677', '104', '176', '354', '45', '663', '649', '935', '559']
['127', '615', '250', '316', '993', '110', '751', '376', '133', '233', '98', '601', '125', '72', '614', '56', '124', '94', '574', '156', '405', '657', '686', '19', '557', '785', '265', '256', '989', '32', '343', '450', '994', '40', '638', '23', '972', '950', '377', '508', '43', '151', '515', '294', '411', '161', '17', '355', '365', '471']
['193', '182', '90', '47', '360', '325', '593', '443', '461', '268', '733', '255', '446', '410', '711', '347', '984', '754', '36', '966', '380', '61', '947', '609', '434', '567', '318', '589', '666', '494', '323', '105', '694', '419', '352', '49', '460', '788', '392', '887', '594', '987', '121', '652', '177', '741', '876', '31', '762', '585']
['287', '953', '546', '815', '939', '14', '516', '328', '724', '664', '246', '71', '348', '422', '226', '726', '126', '627', '537', '597', '931', '270', '332', '232', '378', '157', '636', '26', '212', '729', '295', '429', '254', '75', '916', '457', '224', '839', '349', '529', '936', '599', '727', '696', '146', '641', '549', '204', '449', '142']
['748', '220', '777', '739', '681', '361', '740', '706', '91', '787', '468', '995', '807', '284', '841', '24', '363', '737', '684', '481', '820', '261', '27', '16', '913', '413', '890', '920', '758', '690', '116', '356', '864', '279', '975', '892', '703', '333', '262', '801', '985', '527', '114', '87', '229', '977', '96', '322', '770', '674']
['767', '470', '969', '716', '806', '64', '826', '918', '661', '891', '0', '300', '561', '455', '430', '189', '858', '145', '4', '18', '970', '164', '672', '152', '7', '965', '629', '420', '191', '158', '198', '303', '624', '344', '168', '313', '498', '909', '883', '275', '821', '137', '504', '899', '971', '296', '698', '140', '526', '738']
['112', '211', '118', '258', '914', '483', '708', '813', '923', '267', '248', '236', '263', '181', '679', '534', '206', '617', '675', '869', '10', '304', '884', '587', '805', '77', '147', '847', '713', '520', '676', '552', '655', '889', '351', '720', '566', '572', '266', '213', '435', '551', '831', '453', '941', '173', '912', '195', '930', '870']
['921', '1', '73', '577', '765', '407', '109', '653', '277', '500', '234', '491', '830', '586', '89', '949', '955', '714', '37', '562', '885', '69', '393', '976', '321', '759', '539', '757', '364', '868', '611', '397', '719', '155', '396', '688', '988', '329', '485', '272', '391', '794', '382', '699', '390', '490', '309', '722', '222', '981']
['472', '608', '925', '742', '99', '264', '290', '358', '442', '58', '406', '370', '79', '944', '306', '28', '605', '958', '874', '196', '66', '51', '97', '895', '141', '631', '70', '855', '465', '564', '548', '346', '792', '519', '486', '464', '34', '38', '803', '908', '860', '280', '82', '488', '756', '893', '33', '276', '339', '541']
['5', '501', '532', '404', '252', '235', '200', '186', '169', '134', '973', '473', '215', '337', '808', '843', '763', '793', '888', '761', '667', '21', '734', '202', '136', '59', '967', '952', '506', '271', '417', '244', '130', '634', '326', '190', '299', '239', '791', '400', '357', '640', '856', '513', '642', '286', '829', '938', '603', '199']
