['140', '807', '139', '468', '238', '681', '167', '633', '779', '805', '559', '550', '802', '387', '68', '597', '273', '44', '906', '814']
['153', '486', '592', '128', '377', '623', '693', '543', '415', '586', '608', '88', '591', '744', '233', '821', '19', '304', '481', '425']
['24', '507', '74', '514', '246', '634', '582', '935', '385', '393', '758', '596', '59', '265', '908', '461', '711', '26', '862', '56']
['247', '832', '268', '503', '770', '270', '401', '212', '264', '334', '221', '622', '808', '495', '930', '992', '241', '880', '355', '16']
['25', '577', '589', '171', '933', '309', '345', '545', '650', '613', '921', '957', '900', '746', '63', '594', '830', '699', '703', '403']
['336', '463', '660', '948', '785', '315', '790', '726', '92', '97', '109', '190', '828', '720', '164', '820', '717', '122', '100', '340']
['358', '368', '444', '218', '231', '518', '914', '822', '567', '864', '877', '520', '298', '491', '913', '897', '934', '306', '215', '275']
['551', '136', '316', '909', '17', '64', '538', '557', '798', '428', '260', '987', '968', '236', '903', '847', '748', '449', '745', '230']
['649', '177', '450', '57', '709', '769', '168', '527', '838', '361', '892', '406', '598', '192', '269', '15', '344', '457', '658', '179']
['878', '216', '695', '21', '694', '531', '994', '475', '49', '925', '978', '767', '860', '685', '267', '77', '764', '889', '843', '937']
['0', '382', '654', '731', '123', '993', '169', '698', '958', '229', '752', '725', '130', '580', '891', '533', '213', '575', '174', '753']
['1', '337', '678', '488', '206', '82', '94', '319', '208', '841', '378', '859', '614', '251', '210', '99', '349', '79', '485', '353']
['10', '405', '329', '454', '803', '223', '36', '478', '747', '854', '953', '573', '675', '61', '916', '81', '977', '187', '327', '719']
['343', '96', '71', '954', '310', '494', '263', '234', '766', '124', '147', '191', '443', '426', '625', '324', '276', '335', '469', '314']
['101', '300', '279', '477', '605', '756', '604', '736', '476', '517', '499', '549', '642', '163', '829', '244', '37', '370', '702', '394']
['102', '618', '701', '763', '243', '612', '78', '974', '351', '951', '117', '759', '714', '411', '189', '565', '237', '641', '751', '927']
