['374', '250', '528', '367', '774', '168', '619', '886', '685', '82', '866', '380', '85', '659', '399', '801', '212', '697', '653', '777', '259', '432', '539', '559', '819', '668', '220', '574', '215', '549', '673', '137', '68', '254', '117', '655', '533', '584', '737', '791', '553', '812', '674', '450', '863']
['895', '62', '25', '256', '385', '0', '326', '562', '511', '218', '546', '279', '23', '732', '783', '63', '794', '130', '338', '248', '400', '689', '647', '214', '135', '161', '246', '327', '682', '316', '504', '758', '725', '487', '580', '148', '330', '1', '72', '514', '762', '51', '486', '318', '516']
['270', '881', '840', '590', '740', '243', '178', '83', '38', '827', '84', '202', '500', '64', '96', '331', '871', '551', '131', '856', '179', '672', '306', '807', '169', '20', '715', '796', '352', '384', '79', '361', '296', '177', '370', '890', '201', '492', '340', '495', '822', '696', '699', '498', '78']
['625', '35', '622', '802', '321', '750', '481', '667', '867', '593', '55', '662', '14', '434', '808', '663', '499', '769', '768', '632', '77', '843', '157', '818', '828', '899', '355', '509', '505', '716', '156', '71', '382', '770', '690', '242', '125', '688', '17', '166', '803', '891', '299', '729', '310']
['401', '882', '666', '359', '734', '463', '427', '173', '583', '265', '43', '132', '147', '756', '711', '604', '458', '393', '792', '488', '617', '356', '503', '276', '19', '527', '61', '341', '645', '376', '648', '29', '701', '642', '605', '858', '3', '855', '195', '87', '745', '626', '798', '806', '880']
['65', '398', '577', '223', '358', '548', '627', '621', '239', '606', '262', '127', '616', '126', '512', '742', '284', '181', '712', '656', '119', '422', '92', '513', '225', '320', '373', '140', '353', '637', '290', '425', '852', '415', '186', '721', '771', '289', '575', '797', '761', '537', '609', '462', '517']
['287', '260', '763', '236', '412', '31', '878', '579', '830', '120', '592', '795', '170', '800', '449', '599', '360', '598', '687', '199', '107', '105', '27', '133', '490', '489', '727', '93', '634', '158', '109', '191', '391', '350', '4', '543', '848', '258', '874', '654', '418', '234', '278', '94', '314']
['573', '563', '602', '268', '775', '596', '366', '684', '545', '75', '670', '159', '136', '144', '50', '728', '595', '451', '110', '589', '704', '582', '507', '445', '162', '833', '420', '308', '765', '743', '99', '857', '724', '610', '887', '300', '736', '741', '744', '476', '311', '531', '275', '197', '309']
['16', '139', '702', '809', '825', '332', '121', '26', '437', '558', '879', '837', '876', '324', '496', '629', '805', '414', '479', '455', '145', '194', '613', '390', '369', '718', '519', '364', '285', '811', '862', '21', '174', '468', '333', '453', '101', '873', '581', '431', '834', '335', '529', '238', '413']
['713', '652', '213', '532', '448', '700', '337', '328', '842', '859', '650', '480', '677', '557', '33', '267', '824', '694', '406', '614', '793', '30', '536', '641', '100', '707', '251', '240', '586', '245', '15', '566', '603', '587', '235', '32', '720', '264', '485', '660', '477', '717', '91', '896', '454']
['723', '66', '678', '255', '482', '608', '457', '273', '576', '298', '89', '129', '877', '7', '40', '889', '294', '76', '417', '211', '471', '698', '8', '657', '435', '343', '164', '706', '397', '759', '658', '538', '5', '86', '497', '203', '438', '346', '510', '686', '530', '778', '104', '354', '154']
['163', '506', '730', '252', '752', '817', '747', '171', '73', '271', '305', '402', '222', '424', '508', '317', '345', '433', '524', '408', '325', '116', '180', '172', '821', '217', '389', '469', '525', '446', '122', '44', '872', '649', '46', '885', '2', '467', '392', '607', '188', '208', '478', '205', '664']
['329', '204', '784', '884', '421', '102', '554', '703', '695', '868', '362', '206', '9', '18', '395', '34', '112', '228', '708', '383', '644', '813', '594', '368', '631', '113', '291', '307', '669', '11', '473', '456', '705', '409', '459', '733', '860', '106', '428', '739', '494', '620', '247', '820', '304']
['535', '844', '541', '58', '646', '776', '348', '472', '799', '10', '342', '22', '115', '643', '875', '764', '773', '624', '567', '636', '440', '693', '138', '518', '814', '782', '297', '692', '521', '134', '483', '738', '635', '237', '615', '70', '754', '277', '560', '591', '377', '288', '42', '160', '470']
['845', '339', '165', '67', '28', '198', '249', '888', '897', '522', '60', '37', '371', '207', '869', '628', '552', '49', '45', '293', '146', '95', '790', '430', '219', '780', '571', '429', '182', '542', '233', '585', '883', '108', '142', '475', '810', '466', '540', '302', '710', '187', '407', '832', '849']
['97', '443', '841', '150', '779', '893', '550', '24', '12', '143', '865', '349', '679', '772', '640', '153', '396', '547', '452', '722', '846', '295', '357', '681', '224', '80', '565', '272', '226', '303', '283', '714', '691', '815', '523', '564', '292', '789', '404', '118', '853', '141', '39', '447', '123']
['98', '253', '719', '569', '416', '216', '313', '474', '850', '411', '829', '13', '671', '261', '405', '48', '826', '231', '804', '726', '436', '491', '423', '347', '426', '81', '269', '767', '760', '257', '149', '69', '502', '196', '151', '788', '241', '766', '651', '319', '749', '193', '757', '630', '403']
['54', '410', '515', '623', '286', '184', '281', '379', '274', '892', '378', '232', '460', '175', '665', '709', '534', '227', '854', '192', '114', '501', '88', '786', '394', '556', '785', '661', '847', '419', '578', '831', '442', '751', '836', '103', '312', '731', '280', '568', '597', '787', '465', '753', '588']
['633', '124', '612', '90', '444', '675', '839', '387', '322', '230', '229', '363', '221', '572', '683', '439', '484', '336', '520', '555', '375', '386', '526', '344', '601', '36', '570', '639', '365', '755', '323', '185', '111', '53', '381', '864', '244', '894', '190', '183', '57', '735', '334', '851', '263']
['816', '266', '52', '544', '746', '838', '388', '561', '638', '6', '282', '47', '676', '200', '59', '493', '680', '351', '781', '618', '155', '611', '461', '861', '823', '74', '56', '600', '189', '748', '315', '372', '128', '441', '209', '835', '301', '210', '152', '167', '464', '176', '898', '870', '41']
