['117', '929', '415', '274', '344', '651', '120', '991', '230', '436', '641', '36', '707', '916', '690', '930', '206', '475', '35', '698', '84', '533', '621', '536', '988', '412', '910', '646', '586', '947', '105', '524', '370', '560', '785', '760', '423', '434', '943', '655', '188', '348', '715', '379', '0', '377', '624', '418', '290', '657', '354', '567', '844', '595', '513', '508', '385', '107', '247', '786']
['378', '899', '298', '71', '881', '398', '612', '496', '248', '328', '104', '526', '280', '697', '656', '110', '466', '850', '121', '856', '884', '718', '603', '52', '556', '223', '165', '730', '658', '433', '806', '233', '813', '361', '523', '676', '847', '57', '783', '216', '119', '888', '927', '948', '45', '722', '840', '743', '305', '921', '632', '131', '519', '605', '816', '610', '145', '343', '648', '716']
['271', '319', '905', '970', '575', '837', '495', '999', '54', '832', '871', '352', '486', '384', '209', '458', '114', '543', '976', '431', '790', '90', '197', '460', '974', '538', '902', '623', '981', '620', '251', '583', '490', '630', '77', '444', '82', '607', '307', '584', '163', '168', '314', '487', '129', '191', '793', '341', '492', '622', '580', '956', '950', '818', '926', '512', '851', '41', '446', '597']
['671', '987', '362', '118', '420', '777', '158', '689', '520', '891', '836', '972', '236', '91', '340', '394', '817', '367', '166', '732', '892', '753', '146', '56', '647', '419', '80', '243', '775', '285', '566', '962', '34', '503', '827', '396', '79', '966', '993', '535', '171', '587', '360', '824', '505', '338', '295', '407', '324', '325', '380', '376', '153', '310', '262', '576', '784', '109', '501', '842']
['640', '321', '390', '725', '792', '175', '649', '672', '67', '347', '32', '133', '913', '693', '55', '724', '776', '293', '283', '606', '50', '14', '342', '493', '257', '463', '76', '870', '745', '550', '451', '751', '821', '858', '961', '758', '650', '883', '989', '249', '593', '152', '410', '452', '162', '210', '771', '201', '835', '363', '998', '696', '702', '685', '912', '89', '699', '506']
['176', '537', '261', '903', '231', '281', '15', '521', '170', '335', '47', '663', '477', '263', '375', '695', '873', '617', '548', '546', '710', '18', '680', '739', '29', '939', '618', '729', '779', '447', '539', '915', '453', '480', '288', '350', '430', '292', '72', '1', '399', '277', '456', '124', '542', '675', '297', '143', '287', '684', '652', '643', '322', '320']
['304', '311', '112', '582', '374', '252', '27', '581', '303', '674', '215', '946', '978', '984', '867', '933', '726', '329', '659', '31', '968', '266', '547', '461', '886', '936', '3', '864', '772', '833', '483', '759', '748', '609', '738', '294', '245', '406', '829', '544', '890', '848', '140', '184', '85', '896', '895', '226', '882', '189', '510', '126', '808', '611']
['907', '872', '147', '428', '241', '317', '217', '589', '846', '799', '861', '937', '331', '159', '780', '868', '667', '922', '336', '19', '44', '157', '315', '951', '48', '488', '440', '712', '957', '164', '246', '381', '701', '642', '686', '854', '497', '823', '198', '337', '654', '954', '282', '404', '625', '720', '161', '318', '619', '464', '309', '761', '116', '522']
['564', '402', '577', '574', '174', '727', '125', '515', '849', '88', '599', '853', '291', '731', '809', '541', '414', '301', '949', '551', '879', '967', '994', '639', '887', '244', '941', '920', '924', '254', '507', '692', '470', '963', '448', '579', '585', '279', '349', '368', '450', '992', '424', '300', '736', '874', '265', '330', '49', '33', '92', '549', '212', '491']
['229', '935', '355', '43', '797', '388', '308', '42', '750', '747', '831', '95', '151', '182', '222', '794', '852', '528', '160', '225', '16', '931', '46', '534', '980', '150', '928', '540', '678', '465', '596', '296', '192', '613', '573', '504', '372', '677', '5', '717', '345', '911', '73', '332', '278', '975', '876', '387', '518', '977', '10', '185', '681', '555']
['615', '482', '432', '839', '562', '393', '787', '68', '631', '427', '63', '983', '128', '391', '37', '17', '148', '552', '815', '326', '469', '633', '196', '763', '588', '958', '509', '234', '810', '284', '757', '99', '845', '383', '594', '205', '563', '664', '812', '286', '804', '923', '742', '190', '527', '62', '752', '101', '199', '94', '97', '438', '934', '142']
['445', '665', '26', '351', '481', '411', '711', '704', '237', '485', '429', '765', '553', '386', '769', '683', '426', '359', '115', '59', '616', '130', '687', '990', '859', '53', '728', '232', '416', '21', '834', '211', '439', '202', '805', '511', '484', '781', '193', '306', '545', '569', '762', '346', '688', '242', '945', '194', '959', '208', '86', '604', '323', '995']
['572', '822', '591', '203', '764', '796', '819', '256', '774', '734', '255', '144', '860', '944', '682', '636', '169', '40', '371', '514', '457', '969', '814', '259', '25', '334', '213', '749', '608', '268', '570', '214', '997', '770', '894', '28', '364', '644', '855', '75', '592', '6', '238', '679', '172', '417', '669', '866', '964', '408', '123', '339', '389', '789']
['313', '869', '713', '565', '900', '568', '83', '422', '65', '614', '275', '177', '708', '880', '996', '136', '830', '357', '260', '4', '719', '358', '137', '705', '600', '219', '38', '24', '218', '409', '735', '141', '413', '744', '270', '442', '925', '800', '7', '653', '862', '186', '8', '167', '645', '889', '13', '61', '955', '960', '767', '494', '269', '138']
['468', '81', '2', '183', '96', '108', '437', '154', '825', '267', '773', '369', '195', '207', '755', '637', '985', '700', '333', '98', '70', '768', '51', '979', '473', '904', '103', '917', '235', '932', '69', '908', '459', '828', '258', '441', '250', '187', '253', '156', '173', '558', '673', '227', '754', '240', '149', '302', '788', '877', '127', '532', '106', '272']
['74', '397', '382', '93', '798', '39', '801', '953', '23', '756', '737', '467', '102', '356', '741', '472', '973', '571', '454', '906', '782', '918', '204', '897', '691', '778', '982', '901', '986', '12', '474', '425', '20', '180', '598', '952', '289', '316', '403', '807', '479', '885', '578', '462', '179', '766', '940', '529', '500', '898', '525', '557', '795', '471']
