['523', '800', '699', '364', '138', '720', '682', '485', '480', '519', '822', '737', '795', '243', '133', '820', '131', '446']
['38', '783', '270', '455', '47', '303', '251', '474', '553', '445', '716', '339', '510', '691', '673', '393', '923', '475']
['613', '77', '56', '4', '362', '79', '426', '926', '894', '268', '808', '804', '862', '709', '930', '878', '591', '345']
['433', '31', '739', '85', '346', '8', '965', '966', '309', '231', '82', '389', '119', '200', '582', '526', '381', '742']
['68', '359', '405', '938', '640', '728', '326', '627', '189', '837', '714', '323', '545', '723', '197', '54', '901', '139']
['696', '104', '169', '478', '702', '676', '735', '517', '483', '811', '115', '824', '241', '352', '100', '415', '123', '403']
['351', '921', '398', '565', '546', '177', '634', '650', '7', '871', '774', '321', '999', '391', '78', '41', '379', '725']
['44', '695', '444', '479', '533', '107', '870', '224', '293', '438', '880', '819', '10', '956', '301', '419', '436', '1']
['706', '697', '831', '823', '903', '495', '158', '250', '324', '743', '684', '302', '552', '891', '147', '848', '417', '137']
['946', '103', '92', '149', '373', '962', '790', '756', '631', '772', '348', '291', '404', '618', '532', '907', '32', '877']
['572', '208', '975', '437', '171', '66', '982', '846', '963', '983', '513', '944', '482', '313', '763', '330', '641', '497']
['610', '658', '503', '562', '87', '998', '232', '340', '454', '315', '72', '472', '318', '121', '951', '896', '912', '796']
['655', '61', '521', '512', '897', '612', '854', '452', '33', '144', '534', '726', '549', '80', '278', '74', '496', '812']
['15', '657', '919', '145', '18', '724', '915', '284', '855', '960']
['181', '151', '934', '617', '254', '875', '425', '642', '13']
['225', '314', '136', '246', '832', '936', '968', '216', '317']
['256', '163', '209', '290', '258', '943', '456', '205', '895']
['652', '447', '625', '76', '991', '836', '840', '744', '350']
['893', '588', '349', '976', '134', '939', '331', '747', '142']
['924', '830', '226', '383', '847', '506', '190', '109', '356']
['947', '958', '886', '199', '787', '653', '58', '701', '869']
['992', '578', '408', '489', '413', '234', '347', '979', '566']
['155', '813', '670', '575', '217', '465', '828', '559', '90']
['654', '95', '442', '738', '518', '411', '327', '409', '220']
['624', '196', '712', '376', '434', '459', '494', '390', '176']
['125', '598', '760', '283', '781', '269', '648', '498', '883']
['183', '927', '954', '273', '809', '185', '135', '493', '600']
['343', '114', '973', '52', '140', '406', '57', '542', '647']
['357', '385', '295', '874', '731', '645', '161', '392', '334']
['579', '481', '191', '969', '593', '666', '369', '40', '81']
['601', '964', '463', '988', '791', '261', '987', '953', '449']
['694', '179', '423', '122', '439', '361', '990', '164', '370']
['793', '39', '558', '2', '581', '722', '325', '266', '173']
['621', '718', '922', '128', '950', '587', '461', '286', '203']
['745', '524', '16', '888', '320', '705', '198', '230', '672']
['798', '428', '746', '186', '312', '467', '310', '430', '458']
['906', '263', '336', '858', '48', '644', '126', '681', '935']
['305', '556', '160', '255', '917', '257', '267', '311', '432']
['319', '43', '116', '306', '544', '985', '758', '708', '299']
['236', '237', '659', '802', '166', '65', '384', '338', '204']
['470', '974', '908', '715', '535', '561', '464', '46', '97']
['530', '937', '713', '704', '856', '688', '418', '643', '154']
['834', '995', '685', '913', '768', '628', '292', '692', '778']
['844', '223', '816', '431', '165', '244', '782', '850', '118']
['851', '180', '677', '412', '914', '60', '202', '187', '215']
['959', '838', '35', '206', '22', '468', '952', '499', '316']
['288', '656', '710', '421', '649', '805', '736', '945', '59']
['402', '803', '584', '380', '86', '528', '342', '766', '826']
['50', '540', '49', '942', '167', '511', '462', '0', '276']
['671', '262', '769', '730', '195', '522', '337', '863', '849']
['898', '516', '55', '931', '957', '693', '698', '711', '12']
['388', '551', '280', '127', '801', '354', '818', '567', '580']
['399', '265', '597', '188', '17', '21', '573', '784', '583']
['537', '328', '589', '839', '120', '889', '377', '488', '508']
['555', '690', '646', '178', '734', '476', '664', '146', '14']
['605', '887', '440', '124', '335', '590', '240', '394', '961']
['62', '719', '360', '594', '678', '235', '36', '911', '5']
['707', '435', '248', '253', '427', '606', '814', '247', '857']
['890', '872', '607', '764', '980', '754', '557', '993', '141']
['26', '233', '113', '733', '529', '11', '845', '168', '949']
['902', '98', '271', '797', '25', '765', '20', '332', '925']
['308', '365', '531', '661', '287', '341', '172', '51', '576']
['882', '560', '264', '210', '585', '363', '574', '259', '680']
['916', '416', '150', '564', '909', '761', '282', '663', '420']
['101', '759', '740', '371', '170', '732', '64', '623', '374']
['175', '810', '876', '586', '674', '70', '817', '358', '755']
['260', '219', '227', '407', '99', '994', '997', '30', '401']
['451', '289', '633', '450', '981', '272', '884', '767', '592']
['453', '614', '83', '24', '799', '984', '977', '207', '570']
['603', '619', '28', '192', '785', '900', '899', '63', '174']
['662', '608', '928', '110', '500', '748', '948', '861', '547']
['770', '771', '569', '776', '111', '300', '827', '477', '749']
['620', '630', '967', '729', '596', '525', '211', '568', '751']
['788', '228', '789', '130', '807', '638', '157', '89', '34']
['794', '84', '750', '386', '492', '279', '717', '214', '304']
['865', '514', '239', '222', '910', '105', '67', '75', '184']
['929', '971', '469', '639', '860', '595', '637', '106', '873']
['955', '571', '355', '27', '780', '651', '972', '842', '864']
['940', '307', '868', '112', '775', '806', '548', '686', '833']
['102', '821', '153', '132', '996', '700', '71', '422', '683']
['108', '182', '42', '484', '372', '933', '904', '786', '382']
['194', '779', '448', '989', '367', '252', '777', '387', '504']
['212', '577', '329', '274', '668', '88', '679', '333', '509']
['375', '879', '721', '213', '667', '615', '245', '881', '941']
['378', '892', '3', '296', '69', '632', '757', '96', '94']
['45', '675', '117', '297', '443', '410', '520', '502', '53']
['460', '143', '539', '238', '487', '622', '162', '353', '29']
['626', '932', '368', '635', '152', '867', '91', '563', '753']
['660', '19', '249', '471', '424', '501', '599', '527', '298']
['602', '129', '866', '689', '93', '491', '490', '741', '148']
['281', '752', '37', '344', '221', '6', '507', '687', '905']
['918', '665', '366', '23', '986', '825', '294', '885', '611']
['242', '229', '285', '852', '554', '543', '978', '538', '429']
['457', '920', '201', '466', '441', '604', '486', '73', '815']
['275', '727', '9', '792', '829', '841', '473', '397', '616']
['515', '636', '843', '703', '609', '395', '541', '762', '669']
['629', '835', '322', '159', '859', '193', '414', '156', '773']
['550', '536', '396', '970', '218', '400', '505', '277', '853']
