['0', '830', '626', '455', '665']
['1', '522', '805', '337', '625']
['100', '384', '924', '779', '741']
['101', '256', '780', '369', '881']
['102', '530', '431', '904', '627']
['105', '545', '194', '914', '464']
['106', '602', '736', '801', '820']
['107', '566', '229', '247', '666']
['108', '837', '21', '917', '891']
['109', '77', '440', '372', '28']
['110', '293', '745', '294', '580']
['112', '721', '682', '588', '526']
['114', '589', '623', '361', '934']
['118', '949', '639', '704', '696']
['119', '829', '520', '241', '698']
['124', '660', '887', '380', '869']
['125', '276', '875', '727', '214']
['127', '353', '543', '257', '942']
['128', '208', '793', '795', '964']
['129', '991', '594', '352', '613']
['130', '60', '483', '492', '411']
['131', '327', '920', '749', '484']
['132', '547', '278', '13', '529']
['133', '581', '729', '572', '902']
['135', '726', '314', '224', '776']
['137', '281', '782', '329', '994']
['138', '752', '14', '45', '812']
['139', '441', '596', '939', '748']
['140', '561', '416', '456', '98']
['142', '673', '858', '983', '870']
['143', '725', '789', '43', '794']
['145', '235', '439', '187', '81']
['148', '328', '713', '640', '598']
['149', '683', '915', '263', '527']
['151', '521', '880', '718', '84']
['152', '24', '459', '320', '619']
['155', '12', '321', '847', '537']
['158', '642', '676', '458', '601']
['159', '499', '250', '74', '873']
['16', '334', '761', '800', '553']
['160', '251', '652', '714', '867']
['161', '897', '55', '20', '587']
['164', '893', '610', '58', '918']
['165', '952', '506', '38', '564']
['166', '637', '410', '265', '609']
['167', '591', '404', '301', '649']
['169', '781', '270', '900', '606']
['170', '391', '712', '717', '889']
['172', '813', '759', '325', '502']
['176', '579', '121', '798', '940']
['177', '173', '174', '62', '64']
['178', '720', '771', '381', '679']
['179', '186', '517', '883', '755']
['180', '324', '605', '72', '763']
['181', '916', '50', '348', '767']
['182', '513', '323', '490', '557']
['183', '583', '111', '608', '901']
['19', '533', '66', '344', '742']
['190', '469', '834', '423', '840']
['192', '519', '884', '305', '709']
['195', '414', '123', '941', '571']
['197', '922', '412', '643', '823']
['198', '168', '418', '460', '515']
['199', '978', '378', '487', '76']
['2', '959', '702', '876', '578']
['201', '163', '560', '634', '943']
['202', '371', '52', '787', '735']
['203', '817', '819', '340', '212']
['205', '838', '756', '607', '242']
['206', '986', '271', '482', '693']
['207', '9', '80', '126', '956']
['209', '685', '592', '724', '481']
['210', '691', '394', '144', '967']
['211', '156', '993', '892', '976']
['213', '668', '846', '318', '821']
['215', '315', '390', '470', '866']
['216', '49', '855', '46', '462']
['218', '764', '585', '17', '134']
['220', '454', '878', '853', '424']
['221', '650', '860', '957', '851']
['222', '10', '777', '701', '586']
['223', '461', '204', '71', '647']
['227', '689', '852', '865', '963']
['228', '641', '910', '343', '92']
['23', '599', '929', '150', '584']
['232', '175', '463', '788', '862']
['236', '91', '360', '984', '808']
['240', '475', '833', '981', '979']
['818', '471', '962', '428', '405']
['243', '841', '115', '338', '534']
['246', '944', '784', '810', '617']
['248', '544', '769', '888', '629']
['249', '396', '496', '47', '751']
['255', '657', '792', '722', '864']
['661', '987', '486', '744', '715']
['258', '507', '61', '791', '971']
['26', '94', '563', '368', '122']
['260', '635', '620', '37', '525']
['261', '648', '697', '946', '874']
['266', '67', '706', '645', '790']
['268', '768', '746', '604', '508']
['27', '291', '968', '975', '88']
['274', '356', '551', '672', '766']
['279', '95', '433', '882', '96']
['280', '677', '931', '678', '504']
['282', '936', '999', '925', '449']
['284', '814', '997', '18', '73']
['286', '480', '330', '244', '908']
['287', '354', '597', '765', '839']
['288', '443', '493', '960', '447']
['29', '948', '809', '79', '653']
['290', '141', '856', '350', '980']
['292', '658', '196', '632', '70']
['295', '317', '576', '277', '826']
['296', '699', '690', '516', '796']
['297', '120', '911', '995', '430']
['298', '992', '427', '734', '898']
['299', '603', '239', '154', '996']
['3', '802', '157', '774', '723']
['30', '63', '253', '621', '912']
['300', '569', '535', '363', '5']
['302', '451', '264', '738', '728']
['303', '863', '731', '681', '850']
['306', '799', '436', '90', '488']
['307', '590', '921', '146', '896']
['308', '655', '966', '189', '854']
['31', '57', '234', '453', '267']
['311', '285', '505', '750', '65']
['312', '283', '273', '500', '871']
['313', '539', '162', '743', '8']
['316', '961', '739', '11', '806']
['319', '444', '413', '754', '732']
['32', '600', '546', '275', '711']
['659', '593', '465', '692', '828']
['322', '811', '559', '25', '624']
['540', '233', '185', '104', '536']
['326', '217', '432', '171', '937']
['33', '611', '193', '78', '667']
['331', '85', '988', '448', '654']
['332', '136', '309', '614', '827']
['335', '474', '147', '538', '955']
['336', '663', '420', '491', '467']
['339', '501', '56', '472', '83']
['34', '950', '226', '616', '622']
['341', '370', '844', '347', '684']
['342', '573', '954', '907', '552']
['345', '22', '894', '54', '972']
['346', '740', '117', '674', '985']
['349', '705', '245', '48', '191']
['35', '59', '982', '662', '75']
['351', '651', '785', '849', '528']
['254', '184', '426', '549', '200']
['357', '113', '103', '556', '947']
['358', '631', '933', '355', '615']
['36', '406', '778', '400', '688']
['68', '868', '633', '421', '497']
['362', '753', '401', '859', '485']
['259', '476', '872', '87', '775']
['364', '310', '408', '489', '885']
['365', '890', '816', '116', '930']
['366', '359', '69', '694', '554']
['367', '386', '595', '797', '758']
['974', '6', '518', '542', '747']
['373', '970', '514', '879', '783']
['374', '687', '877', '923', '932']
['375', '457', '969', '89', '466']
['376', '219', '905', '262', '656']
['377', '646', '86', '636', '804']
['831', '708', '7', '686', '630']
['382', '935', '82', '638', '928']
['383', '550', '716', '445', '498']
['387', '899', '379', '225', '861']
['388', '703', '272', '707', '848']
['389', '415', '304', '395', '919']
['39', '495', '906', '760', '511']
['393', '977', '730', '15', '675']
['575', '835', '333', '886', '252']
['397', '4', '815', '757', '895']
['398', '503', '555', '700', '53']
['399', '468', '523', '990', '680']
['40', '568', '494', '669', '93']
['509', '965', '832', '733', '664']
['402', '230', '237', '998', '670']
['403', '452', '958', '951', '953']
['407', '824', '836', '644', '772']
['409', '903', '558', '612', '845']
['41', '51', '926', '238', '843']
['417', '807', '803', '577', '473']
['419', '737', '437', '153', '973']
['42', '392', '927', '97', '671']
['422', '541', '822', '479', '719']
['938', '512', '450', '510', '478']
['425', '188', '618', '770', '269']
['429', '582', '567', '99', '989']
['434', '909', '548', '857', '842']
['435', '628', '762', '562', '477']
['786', '565', '532', '289', '570']
['438', '710', '773', '231', '945']
['44', '446', '695', '825', '385']
['442', '574', '531', '524', '913']
