['58', '591', '580', '354', '44', '195', '590', '427', '686', '513', '749', '742', '708', '734', '92', '578', '259', '131', '162', '705', '184', '76', '399', '743', '428', '137', '444', '325', '248', '300']
['434', '66', '568', '200', '285', '406', '731', '192', '452', '281', '489', '375', '611', '169', '714', '333', '187', '224', '240', '247', '416', '481', '328', '561', '594', '741', '282', '52', '638', '683']
['294', '204', '299', '67', '174', '665', '28', '55', '176', '255', '637', '112', '321', '583', '338', '0', '401', '396', '128', '346', '633', '36', '533', '581', '116', '15', '183', '301', '623', '381']
['326', '398', '212', '13', '687', '114', '682', '464', '179', '747', '4', '715', '567', '268', '320', '302', '554', '740', '318', '539', '154', '295', '369', '644', '209', '501', '363', '64', '733', '679']
['642', '197', '560', '546', '744', '606', '486', '726', '470', '448', '123', '34', '532', '109', '451', '662', '663', '305', '727', '351', '508', '31', '147', '343', '56', '276', '648', '573', '331', '658']
['697', '312', '480', '3', '142', '139', '149', '269', '270', '125', '698', '237', '90', '264', '531', '716', '322', '608', '5', '746', '230', '547', '439', '244', '365', '503', '605', '654', '572', '289']
['729', '235', '278', '40', '216', '210', '545', '435', '243', '62', '592', '225', '129', '329', '383', '180', '104', '280', '382', '649', '193', '657', '409', '196', '99', '135', '647', '102', '689', '466']
['313', '156', '574', '632', '143', '500', '120', '30', '618', '459', '599', '303', '191', '454', '390', '479', '737', '707', '621', '701', '395', '476', '105', '538', '408', '488', '348', '437', '700', '467']
['441', '253', '537', '107', '2', '175', '495', '612', '380', '478', '242', '386', '681', '49', '344', '656', '132', '565', '690', '368', '220', '356', '410', '598', '394', '629', '46', '446', '548', '673']
['251', '628', '274', '198', '555', '81', '122', '643', '624', '26', '130', '498', '373', '133', '570', '542', '293', '672', '39', '420', '627', '475', '172', '713', '669', '414', '47', '462', '178', '378']
['620', '458', '287', '345', '157', '291', '93', '393', '413', '167', '337', '202', '361', '566', '483', '229', '655', '347', '511', '327', '688', '614', '609', '12', '362', '517', '214', '400', '45', '75']
['21', '266', '650', '419', '86', '616', '463', '748', '391', '717', '41', '91', '456', '213', '121', '664', '61', '182', '493', '110', '676', '453', '585', '111', '201', '505', '118', '370', '60', '685']
['551', '597', '540', '674', '54', '262', '389', '550', '11', '203', '725', '205', '562', '29', '601', '236', '19', '582', '426', '71', '723', '447', '16', '126', '59', '738', '23', '492', '324', '651']
['604', '117', '543', '660', '298', '430', '376', '696', '69', '418', '84', '151', '355', '223', '78', '228', '721', '739', '552', '106', '387', '709', '718', '527', '397', '518', '615', '290', '22', '522']
['18', '336', '257', '314', '232', '534', '252', '677', '217', '316', '85', '82', '711', '153', '159', '530', '671', '699', '63', '559', '48', '571', '199', '524', '415', '641', '308', '377', '385', '310']
['526', '402', '477', '260', '296', '719', '306', '317', '429', '640', '87', '188', '267', '148', '732', '51', '525', '403', '215', '163', '96', '485', '607', '712', '227', '619', '442', '79', '10', '97']
['8', '304', '436', '695', '297', '371', '392', '670', '553', '283', '127', '221', '745', '194', '496', '659', '668', '25', '404', '535', '155', '145', '417', '334', '160', '277', '626', '541', '680', '666']
['340', '424', '509', '164', '512', '165', '544', '239', '645', '374', '186', '170', '491', '100', '563', '74', '468', '138', '678', '323', '37', '146', '88', '286', '140', '141', '249', '349', '460', '68']
['694', '14', '639', '588', '504', '457', '520', '17', '261', '472', '57', '558', '222', '292', '497', '692', '241', '506', '736', '610', '564', '271', '693', '367', '523', '307', '487', '339', '494', '516']
['98', '490', '482', '190', '158', '730', '108', '704', '586', '1', '35', '263', '603', '449', '168', '521', '728', '443', '634', '185', '706', '124', '425', '80', '206', '171', '600', '411', '231', '357']
['465', '431', '42', '311', '667', '360', '675', '65', '161', '279', '353', '622', '684', '536', '144', '219', '103', '652', '720', '207', '407', '150', '735', '438', '421', '364', '335', '703', '352', '433']
['359', '273', '636', '94', '284', '7', '631', '499', '528', '593', '101', '412', '702', '366', '319', '722', '450', '630', '502', '484', '9', '661', '211', '181', '24', '577', '455', '379', '372', '50']
['288', '440', '584', '587', '653', '275', '166', '43', '113', '265', '27', '384', '514', '691', '246', '218', '575', '469', '342', '315', '32', '189', '625', '646', '471', '309', '473', '595', '358', '234']
['388', '557', '556', '38', '576', '258', '549', '422', '617', '152', '238', '635', '596', '405', '432', '83', '20', '95', '233', '602', '445', '510', '6', '33', '341', '589', '73', '519', '72', '350']
['515', '77', '208', '254', '245', '710', '461', '115', '89', '70', '177', '136', '226', '724', '613', '529', '332', '250', '423', '579', '330', '119', '53', '173', '272', '134', '474', '256', '569', '507']
