['874', '498', '766', '609', '500', '718', '768', '850', '195', '835', '612', '40', '158', '422', '466', '152', '216', '283', '289', '183', '903', '359', '705', '226', '45', '229', '779', '517', '511', '461', '8', '491', '661', '9', '284', '341', '426', '709', '305', '939', '300', '138', '463', '875', '315', '924', '763', '160', '849', '380', '333', '38', '804', '563', '29', '370', '266', '191', '318', '238', '346', '142', '656', '645', '455', '108', '66', '642', '329', '328', '570', '356', '636', '655', '480', '596', '139', '917', '5', '625', '527', '697', '923', '896', '776', '703', '154', '293', '868', '606', '780', '471', '485', '864', '746', '313', '502', '841', '93', '185', '153', '446', '140', '899', '567', '137', '814', '171', '848', '883', '774', '332', '219', '350', '281', '929', '150', '165', '586', '321', '576', '365', '404', '918', '539', '627', '761', '395', '742', '894', '514', '719', '187', '913', '129', '551', '712', '120', '453', '62', '336', '897', '810', '212', '376', '599', '25', '851', '825', '668', '919', '540', '653', '725', '274', '582', '344', '385', '265', '396', '204', '118', '428', '544', '431', '739', '895', '375', '434', '557', '711', '372', '905', '541', '947', '450', '777', '891', '416', '728', '443', '641', '100', '193', '279', '717', '945', '744', '793', '169', '112', '635', '522', '516', '749', '560', '406', '355', '330', '394', '43', '767', '595', '101', '597', '382', '580', '650', '951', '201', '623', '525', '46', '235', '592', '335', '549', '334', '459', '345', '250', '196', '637', '787', '812', '524', '14', '901', '379', '316', '671', '704', '949', '414', '743', '708', '881', '796', '686', '99', '311', '127', '684']
['683', '358', '926']
['931', '643', '184']
['326', '770', '537']
['898', '535', '126']
['186', '559', '831']
['857', '275', '773']
['3', '886', '77']
['323', '934', '677']
['360', '791', '306']
['556', '164', '543']
['678', '371', '707']
['377', '910', '722']
['698', '930', '646']
['460', '202', '745']
['6', '280', '53']
['297', '72', '628']
['603', '755', '89']
['942', '912', '173']
['269', '408', '607']
['885', '298', '288']
['521', '699', '515']
['826', '754', '505']
['809', '374', '845']
['317', '56', '111']
['553', '658', '131']
['144', '564', '367']
['388', '758', '654']
['448', '228', '828']
['879', '799', '87']
['285', '821', '390']
['401', '296', '795']
['464', '243', '188']
['503', '292', '128']
['760', '338', '584']
['339', '389', '399']
['475', '558', '322']
['880', '920', '176']
['695', '147', '398']
['545', '203', '600']
['694', '752', '531']
['753', '190', '17']
['854', '794', '95']
['208', '430', '200']
['251', '784', '788']
['30', '952', '340']
['647', '132', '13']
['48', '617', '873']
['928', '808', '22']
['119', '735', '620']
['168', '181', '890']
['268', '320', '792']
['278', '438', '420']
['33', '366', '921']
['42', '908', '252']
['820', '702', '369']
['762', '737', '610']
['838', '807', '24']
['916', '166', '750']
['15', '64', '938']
['571', '61', '581']
['407', '419', '378']
['223', '508', '68']
['240', '872', '925']
['262', '458', '499']
['566', '862', '361']
['782', '724', '146']
['797', '593', '802']
['859', '7', '726']
['915', '860', '667']
['143', '842', '664']
['174', '501', '937']
['256', '16', '148']
['523', '304', '282']
['634', '227', '159']
['679', '798', '662']
['785', '550', '445']
['439', '823', '198']
['630', '757', '135']
['362', '669', '652']
['383', '170', '220']
['454', '259', '63']
['488', '507', '863']
['911', '397', '232']
['674', '83', '869']
['778', '572', '693']
['824', '242', '815']
['254', '956', '738']
['0', '900', '585']
['106', '672', '482']
['575', '21', '533']
['294', '706', '659']
['35', '26', '723']
['133', '436', '352']
['410', '231', '214']
['413', '10', '832']
['622', '624', '944']
['727', '932', '878']
['803', '569', '953']
['817', '451', '731']
['871', '954', '151']
['877', '562', '75']
['935', '822', '681']
['403', '351', '429']
['248', '604', '465']
['189', '207', '548']
['301', '504', '472']
['520', '626', '696']
['955', '484', '342']
['565', '113', '78']
['608', '513', '801']
['618', '88', '299']
['621', '833', '102']
['640', '244', '325']
['870', '587', '922']
['691', '790', '476']
['700', '670', '666']
['740', '295', '115']
['41', '943', '98']
['813', '568', '312']
['830', '39', '882']
['241', '483', '51']
['96', '902', '209']
['97', '865', '456']
['302', '255', '675']
['331', '277', '55']
['470', '373', '819']
['462', '84', '290']
['489', '487', '904']
['601', '291', '578']
['741', '74', '633']
['764', '574', '59']
['769', '264', '888']
['730', '936', '178']
['387', '433', '494']
['177', '427', '60']
['236', '775', '716']
['247', '715', '805']
['258', '286', '79']
['260', '542', '861']
['37', '71', '914']
['349', '381', '469']
['354', '18', '827']
['435', '497', '224']
['392', '368', '179']
['447', '648', '689']
['509', '402', '547']
['518', '167', '473']
['287', '411', '444']
['591', '759', '134']
['629', '249', '449']
['806', '28', '405']
['105', '840', '866']
['116', '714', '145']
['121', '786', '194']
['124', '772', '123']
['357', '104', '230']
['594', '172', '34']
['536', '800', '615']
['270', '82', '155']
['424', '307', '364']
['69', '506', '663']
['496', '225', '765']
['528', '474', '495']
['54', '157', '577']
['590', '44', '512']
['613', '839', '816']
['710', '818', '175']
['783', '432', '682']
['631', '493', '836']
['276', '348', '156']
['91', '363', '756']
['103', '263', '384']
['162', '246', '149']
['52', '57', '933']
['884', '442', '781']
['267', '11', '182']
['347', '538', '215']
['393', '19', '58']
['409', '856', '221']
['125', '907', '673']
['457', '534', '32']
['49', '337', '233']
['86', '644', '598']
['519', '70', '532']
['552', '217', '161']
['638', '555', '206']
['261', '2', '734']
['391', '67', '210']
['892', '27', '73']
['109', '94', '76']
['234', '47', '680']
['245', '588', '197']
['452', '205', '948']
['529', '909', '732']
['441', '314', '733']
['130', '927', '423']
['199', '273', '858']
['237', '324', '834']
['554', '855', '614']
['887', '211', '867']
['20', '853', '876']
['308', '889', '602']
['136', '468', '310']
['657', '632', '31']
['319', '12', '906']
['36', '811', '257']
['192', '417', '213']
['467', '530', '421']
['218', '573', '437']
['579', '486', '751']
['589', '605', '85']
['386', '163', '477']
['639', '941', '4']
['721', '492', '253']
['729', '619', '400']
['946', '122', '688']
['847', '80', '660']
['852', '81', '327']
['844', '353', '720']
['771', '950', '415']
['239', '843', '478']
['107', '546', '272']
['701', '510', '665']
['1', '837', '748']
['271', '114', '90']
['303', '117', '23']
['343', '412', '425']
['676', '829', '110']
['692', '141', '690']
['481', '687', '651']
['526', '309', '789']
['490', '50', '649']
['616', '583', '180']
['611', '713', '440']
['65', '940', '92']
['561', '747', '736']
['685', '893', '479']
['846', '222', '418']
