['295', '533', '31', '70', '836']
['398', '272', '959', '51', '332']
['271', '346', '211', '961', '388']
['170', '587', '304', '849', '716']
['971', '648', '183', '899', '762']
['704', '139', '240', '919', '91']
['734', '945', '889', '101', '138']
['58', '871', '834', '225', '483']
['707', '161', '2', '682', '341']
['277', '79', '26', '517', '154']
['391', '591', '763', '748', '528']
['360', '476', '405', '608', '269']
['626', '144', '564', '288', '246']
['711', '496', '47', '428', '540']
['155', '728', '66', '378', '42']
['32', '786', '438', '844', '702']
['568', '691', '223', '719', '50']
['542', '171', '723', '432', '677']
['655', '516', '265', '877', '549']
['710', '102', '624', '642', '567']
['977', '590', '714', '530', '294']
['995', '371', '62', '925', '600']
['131', '258', '684', '541', '812']
['319', '850', '59', '965', '847']
['333', '862', '506', '904', '694']
['439', '520', '800', '315', '133']
['621', '539', '586', '944', '219']
['852', '374', '751', '426', '546']
['321', '64', '597', '89', '584']
['870', '36', '337', '110', '72']
['504', '652', '267', '673', '281']
['573', '907', '124', '629', '509']
['873', '298', '422', '851', '639']
['972', '779', '210', '583', '929']
['241', '446', '603', '730', '964']
['361', '317', '334', '122', '268']
['69', '511', '168', '257', '984']
['740', '116', '799', '447', '926']
['750', '747', '230', '7', '167']
['764', '525', '195', '895', '442']
['835', '619', '500', '733', '830']
['200', '309', '602', '353', '163']
['99', '932', '35', '232', '55']
['119', '813', '826', '358', '256']
['135', '979', '579', '658', '581']
['280', '419', '613', '301', '98']
['507', '943', '274', '833', '229']
['560', '502', '83', '861', '923']
['598', '287', '106', '956', '519']
['829', '896', '18', '815', '987']
['556', '160', '824', '488', '338']
['949', '107', '355', '553', '768']
['384', '856', '933', '651', '335']
['554', '665', '11', '991', '463']
['605', '705', '129', '589', '955']
['641', '793', '33', '498', '73']
['68', '323', '97', '914', '475']
['75', '997', '693', '278', '614']
['911', '340', '328', '512', '20']
['118', '576', '769', '311', '689']
['782', '957', '206', '67', '162']
['220', '306', '158', '557', '263']
['365', '820', '736', '756', '690']
['413', '951', '469', '721', '946']
['471', '574', '86', '802', '202']
['635', '114', '407', '909', '347']
['687', '151', '29', '515', '212']
['71', '818', '283', '472', '992']
['725', '662', '474', '389', '140']
['978', '745', '128', '339', '566']
['783', '948', '427', '832', '863']
['415', '194', '126', '571', '345']
['233', '404', '293', '177', '418']
['286', '657', '681', '400', '201']
['320', '703', '891', '804', '570']
['535', '43', '611', '505', '857']
['749', '49', '876', '291', '8']
['905', '156', '111', '444', '9']
['954', '967', '966', '630', '434']
