['699', '1', '625', '272', '468', '233', '679', '758', '101', '532']
['250', '730', '475', '123', '586', '756', '388', '48', '830', '342']
['273', '450', '247', '461', '548', '722', '570', '687', '19', '811']
['370', '141', '16', '97', '5', '523', '170', '543', '34', '571']
['544', '447', '427', '413', '692', '423', '596', '810', '835', '366']
['576', '248', '357', '275', '789', '116', '72', '560', '799', '557']
['733', '575', '197', '207', '222', '460', '598', '717', '387', '432']
['332', '364', '216', '839', '745', '49', '81', '95', '726', '356']
['739', '670', '52', '253', '798', '181', '712', '765', '622', '185']
['112', '262', '441', '631', '763', '10', '126', '218', '438', '402']
['317', '599', '761', '51', '129', '710', '520', '527', '308', '593']
['192', '489', '416', '781', '41', '188', '767', '459', '642', '315']
['346', '191', '307', '476', '17', '133', '42', '792', '579', '709']
['82', '682', '426', '775', '15', '752', '812', '6', '573', '285']
['821', '753', '56', '780', '707', '630', '331', '261', '214', '716']
['135', '785', '822', '429', '833', '517', '18', '344', '195', '375']
['140', '552', '281', '134', '211', '782', '818', '372', '319', '155']
['152', '840', '613', '54', '21', '237', '431', '832', '369', '178']
['333', '330', '227', '269', '777', '502', '524', '59', '433', '93']
['526', '208', '114', '477', '805', '309', '265', '92', '602', '764']
['774', '121', '217', '60', '398', '471', '482', '239', '229', '347']
['791', '232', '96', '236', '338', '53', '698', '355', '390', '12']
['98', '379', '525', '164', '673', '671', '106', '50', '649', '127']
['11', '169', '511', '20', '367', '297', '153', '371', '736', '562']
['159', '28', '219', '223', '118', '807', '732', '120', '440', '157']
['299', '70', '380', '62', '585', '823', '43', '530', '589', '39']
['466', '592', '420', '283', '305', '368', '259', '85', '363', '515']
['240', '421', '99', '508', '551', '128', '328', '786', '666', '724']
['322', '629', '314', '804', '610', '381', '494', '36', '419', '341']
['362', '32', '639', '161', '339', '684', '689', '148', '284', '89']
['626', '616', '704', '472', '57', '385', '513', '445', '510', '323']
['711', '820', '90', '729', '436', '661', '480', '175', '302', '392']
['73', '646', '696', '597', '749', '484', '124', '66', '160', '829']
['483', '205', '578', '637', '655', '290', '430', '609', '437', '762']
['329', '577', '399', '738', '801', '800', '546', '145', '35', '506']
['463', '401', '681', '644', '374', '501', '410', '215', '495', '793']
['612', '146', '194', '488', '740', '528', '580', '179', '700', '46']
['65', '481', '452', '439', '33', '292', '493', '635', '664', '234']
['662', '725', '686', '221', '382', '566', '558', '458', '25', '409']
['703', '352', '251', '395', '386', '770', '542', '776', '539', '755']
['719', '638', '149', '407', '595', '325', '653', '768', '321', '604']
['74', '591', '408']
['783', '245']
['230', '142']
['414', '641']
['417', '94']
['505', '554']
['620', '605']
['685', '182']
['824', '672']
['225', '310']
['391', '327']
['470', '568']
['514', '827']
['680', '202']
['714', '695']
['760', '252']
['808', '301']
['816', '119']
['113', '2']
['320', '645']
['354', '260']
['553', '83']
['574', '376']
['583', '231']
['623', '63']
['844', '751']
['87', '415']
['122', '831']
['136', '26']
['173', '293']
['348', '600']
['373', '184']
['465', '796']
['485', '226']
['521', '228']
['286', '403']
['667', '499']
['677', '478']
['697', '303']
['742', '190']
['759', '201']
['88', '24']
['100', '507']
['110', '492']
['254', '569']
['29', '378']
['705', '168']
['500', '22']
['559', '825']
['58', '280']
['734', '143']
['125', '86']
['138', '40']
['167', '257']
['278', '701']
['288', '654']
['300', '617']
['360', '163']
['428', '518']
['316', '497']
['516', '519']
['545', '249']
['601', '45']
['611', '162']
['660', '624']
['668', '659']
['837', '561']
['91', '296']
['14', '255']
['158', '473']
['206', '512']
['246', '224']
['27', '7']
['271', '836']
['276', '177']
['277', '4']
['318', '509']
['814', '267']
['563', '784']
['588', '464']
['634', '359']
['727', '754']
['279', '3']
['766', '690']
['813', '743']
['115', '111']
['139', '491']
['176', '636']
['193', '529']
['244', '750']
['263', '84']
['268', '172']
['311', '628']
['187', '79']
['343', '665']
['424', '748']
['55', '377']
['607', '658']
['706', '581']
['708', '361']
['718', '383']
['723', '608']
['104', '31']
['107', '744']
['154', '564']
['456', '537']
['189', '266']
['209', '614']
['213', '541']
['264', '258']
['282', '486']
['294', '496']
['326', '582']
['358', '243']
['396', '68']
['47', '787']
['769', '131']
['504', '313']
['556', '538']
['618', '434']
['640', '691']
['721', '353']
['728', '779']
['841', '462']
['397', '312']
['171', '71']
['196', '451']
['200', '418']
['242', '657']
['334', '256']
['340', '838']
['198', '9']
['384', '627']
['422', '651']
['442', '678']
['479', '746']
['533', '455']
['843', '806']
['549', '180']
['594', '619']
['603', '117']
['694', '212']
['669', '809']
['741', '567']
['817', '365']
['819', '550']
['108', '306']
['137', '274']
['203', '448']
['23', '790']
['235', '335']
['345', '652']
['349', '834']
['676', '656']
['389', '76']
['400', '220']
['78', '298']
['498', '394']
['77', '453']
['291', '241']
['144', '650']
['69', '204']
['735', '38']
['828', '503']
['0', '67']
['132', '199']
['37', '238']
['147', '411']
['547', '61']
['210', '350']
['606', '572']
['304', '351']
['406', '565']
['393', '643']
['435', '522']
['44', '615']
['444', '166']
['454', '337']
['469', '449']
['490', '773']
['534', '150']
['555', '621']
['647', '130']
['405', '324']
['587', '797']
['713', '771']
['412', '165']
['757', '103']
['295', '772']
['80', '747']
['802', '487']
['815', '794']
['842', '289']
['105', '102']
['109', '803']
['13', '174']
['737', '693']
['457', '30']
['183', '788']
['186', '467']
['151', '446']
['336', '675']
['425', '287']
['826', '731']
['443', '632']
['474', '404']
['535', '778']
['536', '590']
['540', '720']
['633', '683']
['715', '8']
['64', '663']
['648', '270']
['156', '688']
['674', '584']
['75', '531']
['795', '702']
