['699', '1', '681', '781', '814', '405', '253', '5', '798', '388']
['250', '730', '259', '123', '683', '763', '722', '207', '77', '687']
['273', '450', '775', '586', '523', '233', '10', '48', '830', '811']
['370', '141', '440', '272', '275', '476', '342', '101', '116', '745']
['544', '447', '344', '789', '34', '81', '598', '557', '726', '769']
['576', '248', '692', '97', '413', '596', '810', '387', '181', '402']
['733', '575', '471', '19', '532', '72', '95', '218', '765', '356']
['332', '364', '325', '531', '115', '688', '756', '460', '316', '622']
['739', '670', '380', '170', '737', '295', '571', '717', '835', '366']
['112', '262', '502', '41', '712', '438', '52', '54', '315', '707']
['317', '599', '429', '222', '477', '133', '412', '630', '261', '178']
['192', '489', '161', '758', '560', '432', '710', '843', '520', '606']
['346', '191', '16', '570', '126', '269', '51', '15', '780', '21']
['82', '682', '46', '679', '49', '129', '459', '833', '6', '18']
['821', '753', '493', '237', '426', '60', '625', '818', '716', '587']
['135', '785', '341', '709', '805', '812', '134', '777', '398', '211']
['140', '552', '511', '767', '527', '832', '236', '338', '20', '367']
['152', '840', '37', '423', '517', '331', '144', '214', '782', '319']
['333', '330', '488', '804', '673', '118', '50', '92', '472', '807']
['526', '208', '528', '579', '223', '375', '164', '671', '265', '357']
['774', '121', '93', '285', '53', '433', '239', '153', '427', '823']
['791', '232', '740', '416', '309', '610', '390', '347', '120', '551']
['98', '379', '66', '297', '649', '127', '764', '441', '732', '371']
['11', '169', '302', '17', '602', '562', '363', '381', '194', '786']
['159', '28', '578', '642', '573', '195', '305', '698', '229', '368']
['299', '70', '770', '355', '339', '729', '684', '666', '251', '589']
['466', '592', '395', '372', '761', '12', '676', '148', '221', '89']
['240', '421', '580', '151', '736', '397', '247', '157', '436', '56']
['322', '629', '483', '724', '637', '36', '419', '284', '604', '776']
['362', '32', '762', '530', '385', '653', '96', '290', '793', '145']
['626', '616', '655', '738', '508', '85', '494', '480', '374', '749']
['711', '820', '542', '328', '156', '501', '323', '386', '457', '408']
['73', '646', '430', '613', '609', '439', '829', '219', '33', '566']
['226', '352', '800', '524', '57', '78', '39', '661', '420', '801']
['329', '577', '525', '43', '694', '217', '696', '179', '215', '25']
['463', '401', '90', '513', '216', '484', '197', '227', '160', '595']
['612', '205', '292', '644', '546', '321', '382', '452', '558', '704']
['65', '481', '281', '188', '399', '635', '149', '406', '437', '187']
['662', '725', '458', '62', '59', '114', '506', '686', '539', '495']
['703', '327', '639', '664', '234', '768', '755', '410', '633', '198']
['719', '638', '407', '822', '445', '547', '35', '700', '826', '409']
['74', '591', '99']
['783', '245']
['230', '142']
['414', '641']
['417', '94']
['505', '554']
['620', '605']
['685', '146']
['824', '672']
['225', '310']
['391', '376']
['470', '568']
['514', '182']
['680', '202']
['714', '827']
['760', '252']
['808', '301']
['816', '695']
['113', '2']
['320', '645']
['354', '260']
['553', '83']
['574', '499']
['583', '231']
['623', '63']
['844', '751']
['87', '415']
['122', '831']
['136', '26']
['173', '293']
['348', '119']
['373', '184']
['465', '796']
['485', '507']
['521', '228']
['691', '303']
['667', '569']
['677', '478']
['697', '701']
['742', '190']
['759', '201']
['88', '24']
['100', '403']
['110', '492']
['254', '600']
['29', '378']
['792', '280']
['500', '22']
['559', '825']
['58', '143']
['734', '168']
['125', '86']
['138', '40']
['167', '257']
['278', '654']
['288', '45']
['300', '617']
['360', '163']
['428', '518']
['543', '249']
['516', '519']
['545', '255']
['601', '561']
['611', '162']
['660', '624']
['668', '659']
['837', '7']
['91', '296']
['14', '497']
['158', '473']
['206', '512']
['246', '224']
['27', '267']
['271', '836']
['276', '177']
['277', '4']
['318', '509']
['185', '784']
['563', '705']
['588', '464']
['634', '359']
['727', '754']
['283', '636']
['766', '3']
['813', '743']
['597', '176']
['139', '491']
['337', '31']
['193', '529']
['244', '750']
['263', '111']
['268', '172']
['311', '690']
['155', '294']
['343', '665']
['424', '748']
['55', '628']
['607', '658']
['706', '581']
['708', '361']
['718', '383']
['723', '608']
['104', '744']
['107', '266']
['154', '564']
['689', '84']
['189', '537']
['209', '614']
['213', '541']
['264', '456']
['282', '377']
['279', '131']
['326', '496']
['358', '243']
['396', '68']
['47', '787']
['106', '462']
['504', '79']
['556', '538']
['618', '434']
['640', '256']
['721', '353']
['728', '779']
['307', '582']
['42', '313']
['171', '71']
['196', '258']
['200', '418']
['242', '451']
['334', '9']
['340', '838']
['510', '746']
['384', '841']
['422', '486']
['442', '678']
['479', '652']
['533', '651']
['314', '453']
['549', '180']
['594', '619']
['603', '117']
['128', '550']
['669', '627']
['741', '567']
['817', '312']
['819', '274']
['108', '365']
['137', '212']
['203', '448']
['23', '806']
['235', '455']
['345', '199']
['349', '657']
['482', '220']
['389', '76']
['400', '298']
['715', '238']
['498', '335']
['446', '834']
['548', '204']
['593', '306']
['69', '351']
['735', '790']
['828', '503']
['0', '656']
['132', '150']
['731', '241']
['147', '809']
['475', '565']
['210', '411']
['515', '350']
['304', '38']
['175', '643']
['393', '615']
['435', '522']
['44', '650']
['444', '67']
['454', '394']
['469', '449']
['490', '61']
['534', '324']
['555', '621']
['647', '773']
['130', '487']
['752', '291']
['713', '797']
['124', '572']
['757', '166']
['585', '794']
['80', '747']
['802', '771']
['815', '174']
['842', '772']
['105', '102']
['109', '803']
['13', '165']
['369', '103']
['799', '289']
['183', '788']
['186', '467']
['631', '675']
['336', '778']
['425', '287']
['308', '584']
['443', '632']
['474', '30']
['535', '461']
['536', '404']
['540', '720']
['392', '693']
['839', '702']
['64', '663']
['648', '270']
['431', '286']
['674', '468']
['75', '590']
['795', '8']
