['0', '386', '551', '47', '75', '357', '560']
['1', '178', '582', '694', '645', '507', '353']
['10', '66', '454', '690', '796', '655', '287']
['100', '201', '421', '596', '40', '259', '458']
['101', '709', '659', '321', '782', '393', '601']
['102', '762', '580', '591', '76', '388', '258']
['103', '557', '521', '558', '549', '715', '361']
['104', '672', '194', '432', '460', '594', '765']
['105', '25', '85', '750', '37', '436', '213']
['107', '246', '466', '2', '724', '309', '347']
['11', '295', '680', '703', '470', '378', '716']
['111', '720', '793', '341', '634', '170', '559']
['113', '614', '419', '598', '538', '766', '615']
['114', '228', '338', '4', '91', '746', '42']
['115', '373', '82', '58', '570', '657', '471']
['116', '74', '96', '622', '605', '738', '650']
['118', '97', '86', '462', '331', '150', '418']
['119', '330', '184', '108', '387', '453', '638']
['12', '360', '639', '352', '479', '620', '106']
['120', '512', '506', '450', '210', '425', '671']
['123', '267', '61', '73', '590', '743', '652']
['124', '36', '93', '537', '289', '110', '71']
['125', '208', '617', '468', '296', '699', '38']
['126', '516', '555', '117', '545', '670', '83']
['127', '486', '236', '646', '697', '399', '747']
['128', '28', '688', '202', '65', '469', '209']
['129', '375', '707', '523', '520', '693', '630']
['13', '225', '648', '719', '501', '631', '320']
['130', '18', '420', '495', '319', '502', '45']
['131', '220', '695', '304', '522', '539', '669']
['132', '593', '769', '683', '785', '343', '752']
['134', '799', '306', '136', '370', '566', '577']
['135', '721', '542', '686', '510', '644', '475']
['137', '733', '342', '503', '629', '613', '437']
['138', '658', '789', '718', '651', '732', '81']
['139', '627', '221', '641', '457', '791', '727']
['14', '779', '323', '413', '300', '461', '355']
['140', '490', '710', '642', '722', '700', '366']
['141', '358', '756', '656', '144', '362', '422']
['142', '477', '446', '552', '224', '583', '572']
['143', '554', '579', '767', '618', '203', '667']
['145', '451', '94', '7', '604', '540', '610']
['146', '185', '576', '79', '778', '430', '363']
['147', '464', '270', '235', '95', '17', '340']
['148', '356', '392', '109', '346', '768', '182']
['149', '664', '689', '283', '359', '611', '377']
['15', '568', '344', '414', '731', '394', '431']
['151', '307', '24', '367', '364', '187', '730']
['152', '52', '608', '740', '9', '612', '433']
['154', '489', '43', '623', '196', '92', '51']
['155', '476', '162']
['156', '544', '492']
['157', '32', '349']
['158', '514', '676']
['159', '678', '277']
['16', '488', '188']
['57', '266', '19']
['164', '3', '241']
['165', '169', '761']
['166', '168', '452']
['167', '597', '528']
['400', '744', '286']
['424', '339', '160']
['171', '179', '519']
['172', '587', '301']
['173', '691', '90']
['174', '736', '483']
['175', '755', '708']
['176', '525', '39']
['624', '260', '662']
['532', '133', '753']
['701', '207', '440']
['180', '443', '531']
['181', '723', '89']
['649', '441', '214']
['350', '398', '679']
['186', '606', '547']
['797', '383', '407']
['189', '737', '299']
['534', '248', '546']
['190', '382', '396']
['192', '244', '585']
['193', '535', '663']
['67', '177', '237']
['195', '268', '677']
['197', '553', '31']
['198', '798', '548']
['199', '33', '472']
['20', '252', '391']
['200', '376', '316']
['482', '569', '481']
['204', '282', '305']
['206', '599', '262']
['26', '588', '780']
['84', '98', '402']
['21', '573', '324']
['211', '445', '78']
['88', '696', '508']
['215', '463', '584']
['216', '533', '381']
['217', '389', '456']
['219', '317', '322']
['527', '473', '626']
['592', '449', '498']
['222', '550', '251']
['223', '257', '713']
['426', '314', '491']
['226', '369', '504']
['524', '334', '758']
['23', '637', '256']
['231', '781', '500']
['232', '603', '578']
['233', '411', '439']
['234', '279', '770']
['395', '776', '22']
['239', '759', '633']
['6', '775', '327']
['240', '99', '653']
['380', '408', '529']
['242', '788', '741']
['243', '706', '763']
['561', '726', '401']
['245', '442', '404']
['68', '771', '415']
['448', '416', '269']
['249', '478', '291']
['600', '64', '493']
['250', '717', '87']
['595', '685', '313']
['643', '153', '480']
['253', '302', '705']
['254', '575', '385']
['255', '725', '365']
['335', '59', '60']
['403', '734', '509']
['218', '265', '654']
['261', '35', '728']
['786', '34', '562']
['263', '390', '280']
['49', '281', '412']
['8', '742', '640']
['692', '384', '298']
['772', '745', '444']
['27', '625', '682']
['55', '484', '790']
['271', '30', '183']
['272', '336', '354']
['273', '563', '505']
['274', '417', '485']
['276', '735', '794']
['666', '294', '70']
['278', '465', '541']
['487', '589', '784']
['494', '632', '53']
['247', '337', '122']
['434', '564', '372']
['405', '238', '674']
['284', '647', '687']
['285', '607', '5']
['628', '660', '69']
['288', '792', '290']
['29', '499', '345']
['72', '406', '161']
['773', '513', '112']
['292', '543', '661']
['293', '574', '351']
['616', '80', '447']
['702', '318', '609']
['297', '379', '619']
['571', '374', '368']
['754', '54', '684']
['795', '163', '44']
['581', '787', '586']
['121', '229', '227']
['275', '526', '264']
['397', '41', '757']
['410', '739', '530']
['62', '783', '515']
['308', '567', '428']
['777', '565', '333']
['310', '760', '511']
['311', '636', '714']
['312', '556', '77']
['46', '712', '212']
['536', '698', '459']
['315', '63', '774']
['497', '748', '423']
['429', '729', '50']
['751', '681', '467']
['205', '496', '303']
['764', '427', '191']
['668', '673', '435']
['704', '711', '371']
['325', '621', '348']
['326', '602', '518']
['474', '749', '455']
['329', '438', '48']
['635', '332', '409']
['328', '517', '230']
['675', '665', '56']
