['633', '928', '253', '435', '54', '972', '819', '379', '488', '614', '900', '168', '529', '100', '584', '630', '65', '184', '964', '468', '782', '643', '282', '617', '654', '224', '367', '887', '814', '244', '989', '892', '419', '979', '748', '684']
['463', '397', '18', '262', '641', '460', '14', '236', '161', '763', '770', '287', '565', '559', '471', '407', '769', '516', '77', '914', '286', '858', '762', '132', '932', '290', '322', '524', '377', '509', '731', '110', '220', '255', '330', '823']
['91', '486', '905', '536', '889', '865', '358', '427', '621', '871', '93', '11', '188', '980', '600', '95', '412', '786', '835', '806', '101', '848', '323', '930', '780', '882', '742', '375', '830', '957', '886', '688', '431', '341', '374', '797']
['896', '36', '955', '521', '74', '873', '462', '467', '466', '406', '709', '218', '51', '721', '295', '804', '20', '119', '652', '667', '657', '543', '737', '73', '453', '384', '894', '52']
['981', '951', '541', '182', '470', '783', '815', '604', '437', '66', '413', '595', '974', '993', '703', '850', '893', '303', '784', '773', '308', '615', '44', '49']
['125', '34', '245', '300', '704', '820', '970', '98', '151', '675', '779', '271', '589', '713', '520', '197', '458', '708', '662', '949', '185', '747', '354', '230']
['136', '283', '660', '859', '837', '705', '947', '160', '822', '824', '267', '249', '272', '936', '610', '148', '531', '702', '790', '607', '479', '563', '880', '222']
['642', '89', '571', '226', '325', '568', '449', '137', '677', '139', '915', '634', '798', '408', '616', '628', '491', '107', '812', '163', '636', '818', '250', '503']
['711', '382', '234', '158', '452', '923', '117', '535', '333', '116', '672', '564', '313', '717', '953', '481', '415', '698', '834', '904', '159', '827', '304', '794']
['732', '655', '12', '99', '813', '83', '592', '276', '912', '897', '355', '454', '85', '269', '943', '288', '808', '533', '135', '13', '977', '558', '759', '446']
['682', '92', '901', '241', '927', '53', '602', '528', '360', '221', '279', '64', '320', '261', '792', '598', '414', '867', '365', '910', '788', '155', '760', '140']
['496', '487', '126', '844', '401', '525', '23', '681', '954', '248', '343', '281', '619', '971', '90', '131', '477', '651', '567', '225', '21', '761', '961', '75']
['17', '862', '25', '920', '505', '252', '213', '694', '153', '646', '145', '490', '285', '364', '728', '465', '715', '510', '801', '456', '121', '833', '745', '317']
['219', '26', '554', '94', '59', '670', '297', '441', '257', '315', '861', '929', '829', '569', '301', '476', '275', '601', '931', '442', '247', '538', '60', '215']
['344', '436', '474', '938', '57', '664', '625', '193', '772', '369', '284', '879', '583', '351', '523', '386', '240', '306', '685', '537', '307', '854', '785', '15']
['816', '211', '195', '975', '726', '922', '875', '594', '483', '340', '969', '888', '86', '984', '389', '847', '507', '758', '207', '179', '729', '263', '686', '659']
['363', '146', '864', '767', '173', '618', '45', '710', '475', '566', '826', '109', '991', '778', '500', '577', '678', '852', '141', '613', '811', '319', '868', '545']
['381', '644', '839', '171', '28', '314', '573', '373', '550', '590', '926', '982', '461', '332', '0', '757', '305', '10', '345', '138', '150', '855', '995', '455']
['71', '720', '353', '560', '2', '149', '459', '417', '692', '113', '39', '212', '78', '198', '200', '624', '766', '606', '189', '777', '575', '58', '519', '40']
['885', '734', '31', '497', '653', '484', '292', '727', '973', '489', '208', '800', '152', '180', '352', '309', '627', '170', '55', '260', '130', '752', '849', '739']
['994', '199', '403', '546', '842', '870', '209', '133', '172', '105', '714', '96', '508', '976', '178', '174', '934', '935', '736', '576', '647', '115', '978', '799']
['24', '803', '911', '129', '42', '593', '482', '423', '821', '30', '626', '84', '50', '227', '388', '430', '448', '274', '167', '223', '164', '61', '632', '534']
['312', '825', '609', '104', '347', '673', '746', '903', '750', '371', '339', '581', '950', '586', '169', '838', '695', '764', '751', '916', '237', '891', '765', '428']
['302', '925', '828', '33', '793', '457', '202', '239', '515', '134', '532', '665', '192', '730', '988', '464', '79', '294', '29', '196', '246', '233', '513', '832']
['410', '574', '656', '43', '846', '650', '909', '433', '190', '97', '398', '432', '6', '902', '8', '238', '186', '580', '495', '791', '640', '924', '690', '556']
['635', '35', '120', '335', '623', '937', '103', '216', '7', '299', '878', '965', '959', '70', '807', '570', '293', '426', '514', '32', '485', '443', '118', '512']
['689', '877', '72', '362', '504', '608', '817', '612', '753', '948', '278', '699', '771', '809', '206', '907', '392', '492', '396', '860', '638', '622', '697', '913']
['999', '679', '671', '242', '908', '840', '856', '774', '147', '966', '366', '756', '755', '338', '881', '645', '127', '229', '743', '796', '539', '945', '376', '863']
['112', '941', '668', '87', '204', '289', '102', '696', '440', '404', '383', '768', '176', '122', '588', '270', '831', '511', '328', '48', '795', '157', '578', '661']
['280', '251', '921', '724', '411', '542', '434', '114', '985', '46', '741', '841', '128', '700', '291', '296', '810', '38', '555', '561', '393', '165', '416', '805']
['4', '259', '502', '444', '530', '872', '693', '572', '789', '324', '939', '27', '648', '775', '348', '356', '754', '749', '719', '447', '986', '851', '378', '142']
['321', '582', '175', '992', '629', '372', '154', '990', '658', '342', '316', '718', '418', '473', '869', '557', '331', '526', '691', '143', '987', '425', '480', '836']
['544', '517', '494', '740', '329', '506', '256', '933', '866', '918', '350', '19', '56', '857', '68', '258', '843', '327', '469', '298', '996', '144', '181', '310']
['124', '735', '162', '326', '597', '451', '552', '551', '405', '370', '917', '47', '722', '318', '853', '522', '906', '716', '62', '156', '733', '429', '368', '277']
['895', '706', '802', '349', '540', '478', '69', '438', '946', '420', '712', '498', '620', '232', '108', '400', '676', '874', '76', '445', '884', '579', '890', '983']
['80', '611', '963', '499', '637', '1', '201', '3', '472', '385', '390', '205', '63', '845', '217', '346', '264', '968', '231', '639', '336', '37', '203', '82']
['549', '587', '553', '725', '701', '357', '548', '663', '605', '183', '422', '674', '399', '395', '111', '9', '67', '5', '666', '944', '41', '177', '409', '547']
['391', '787', '898', '359', '603', '421', '738', '88', '387', '450', '22', '214', '81', '166', '235', '683', '402', '254', '334', '380', '649', '997', '687', '967']
['194', '562', '191', '958', '424', '585', '781', '723', '899', '266', '952', '998', '631', '776', '599', '942', '361', '883', '680', '956', '16', '187', '243', '123']
['962', '940', '744', '265', '493', '669', '337', '501', '210', '268', '527', '596', '591', '106', '876', '228', '273', '919', '311', '707', '518', '394', '960', '439']
