['633', '928', '253', '435', '54', '972', '819', '379', '488', '614', '900', '168', '529', '100', '584', '630', '65', '184', '964', '468', '782', '643', '282', '617', '254', '611', '270', '124', '37', '5', '883', '680', '669', '999', '243', '123']
['463', '397', '18', '262', '641', '460', '14', '236', '161', '763', '770', '287', '565', '559', '471', '407', '769', '516', '77', '914', '286', '858', '762', '132', '957', '229', '780', '830', '395', '81', '302', '989', '578', '472', '334', '337']
['91', '486', '905', '536', '889', '865', '358', '427', '621', '871', '93', '11', '188', '980', '600', '95', '412', '786', '835', '806', '101', '848', '323', '930', '52', '952', '9', '67', '944', '220', '631', '431', '562', '597', '409', '892']
['896', '36', '955', '521', '74', '873', '462', '467', '466', '406', '709', '218', '51', '721', '295', '804', '20', '119', '652', '667', '657', '543', '737', '73', '654', '380', '419', '591']
['981', '951', '541', '182', '470', '783', '815', '604', '437', '66', '413', '595', '974', '993', '703', '850', '893', '303', '784', '773', '308', '615', '44', '49']
['125', '34', '245', '300', '704', '820', '970', '98', '151', '675', '779', '271', '589', '713', '520', '197', '458', '708', '662', '949', '185', '747', '354', '230']
['131', '734', '211', '975', '644', '25', '234', '927', '158', '83', '26', '923', '401', '276', '672', '925', '822', '360', '85', '953', '403', '954', '269', '943']
['642', '89', '571', '226', '325', '568', '705', '449', '137', '677', '139', '915', '634', '798', '408', '616', '628', '491', '249', '272', '107', '812', '163', '636']
['711', '382', '452', '117', '535', '333', '116', '160', '564', '313', '717', '936', '481', '415', '563', '698', '834', '904', '159', '827', '304', '794', '441', '257']
['732', '655', '12', '99', '813', '592', '912', '897', '355', '454', '288', '808', '533', '135', '13', '977', '558', '759', '446', '221', '828', '594', '417', '33']
['682', '283', '92', '901', '241', '859', '53', '602', '528', '610', '607', '250', '503', '279', '64', '320', '261', '792', '598', '414', '867', '365', '910', '788']
['496', '487', '126', '844', '525', '23', '681', '248', '343', '281', '619', '971', '90', '477', '651', '567', '225', '21', '761', '961', '75', '929', '760', '801']
['17', '862', '920', '824', '505', '148', '252', '213', '880', '694', '153', '646', '145', '490', '285', '364', '728', '465', '715', '510', '140', '456', '121', '833']
['219', '554', '818', '94', '59', '670', '297', '315', '861', '155', '829', '569', '301', '476', '275', '601', '931', '442', '247', '538', '60', '215', '606', '991']
['344', '436', '837', '267', '474', '938', '531', '790', '57', '664', '625', '193', '772', '369', '284', '879', '583', '351', '523', '386', '240', '306', '685', '537']
['816', '195', '726', '922', '875', '483', '340', '969', '888', '86', '745', '984', '389', '847', '507', '758', '207', '179', '729', '263', '686', '659', '678', '362']
['363', '146', '864', '947', '767', '173', '618', '45', '710', '475', '566', '826', '109', '317', '778', '500', '577', '852', '141', '613', '811', '319', '868', '545']
['751', '560', '497', '653', '803', '222', '129', '459', '314', '573', '373', '550', '104', '347', '251', '198', '259', '668', '305', '455', '307', '746', '152', '671']
['206', '574', '171', '590', '42', '113', '673', '212', '200', '624', '489', '352', '870', '191', '30', '903', '650', '190', '627', '96', '515', '227', '802', '178']
['885', '31', '2', '484', '702', '479', '292', '727', '926', '973', '332', '78', '208', '345', '800', '995', '180', '309', '58', '170', '55', '260', '130', '752']
['994', '199', '720', '839', '0', '546', '842', '855', '777', '209', '133', '172', '105', '714', '508', '976', '174', '934', '935', '736', '576', '647', '115', '978']
['24', '911', '593', '482', '423', '821', '626', '84', '50', '388', '430', '448', '274', '167', '223', '164', '61', '632', '534', '791', '147', '572', '966', '404']
['312', '825', '609', '189', '15', '750', '371', '339', '581', '950', '586', '169', '838', '695', '764', '916', '237', '891', '765', '428', '878', '383', '513', '768']
['35', '149', '877', '28', '793', '656', '982', '461', '921', '724', '846', '909', '433', '335', '608', '134', '289', '908', '799', '434', '495', '640', '985', '440']
