['618', '70', '614', '906', '420', '284', '67', '75', '353', '690', '405', '86', '418', '755', '901', '896', '779', '871', '6', '687', '388', '682', '812', '18', '52', '899', '321', '270', '289', '642', '913', '243', '496', '456', '287', '432', '702', '109', '889', '674', '299', '199', '650', '824', '393', '512', '185', '647', '510', '626']
['782', '260', '932', '331', '229', '48', '625', '759', '615', '740', '311', '4', '406', '194', '930', '500', '131', '898', '756', '327', '417', '123', '161', '636', '294', '110', '318', '413', '39', '535', '517', '761', '377', '900', '446', '344', '511', '471', '939', '679', '685', '32', '372', '366', '882', '76', '864', '529', '26', '874']
['838', '296', '654', '594', '573', '737', '814', '407', '79', '733', '646', '68', '657', '112', '378', '188', '783', '715', '324', '1', '444', '940', '367', '686', '292', '746', '897', '355', '261', '622', '40', '27', '803', '342', '794', '860', '206', '584', '34', '704', '805', '818', '786', '867', '224', '697', '600', '330', '842', '776']
['397', '395', '777', '125', '943', '255', '93', '490', '695', '543', '111', '419', '11', '892', '71', '51', '579', '351', '479', '699', '920', '426', '745', '144', '796', '836', '672', '316', '875', '41', '862', '369', '266', '820', '544', '403', '840', '305', '645', '855', '461', '865', '428', '670', '139', '450', '558', '830', '668', '195']
['449', '644', '232', '404', '542', '368', '834', '137', '352', '339', '53', '518', '893', '62', '429', '880', '203', '423', '634', '98', '383', '335', '877', '382', '550', '443', '472', '167', '235', '534', '596', '716', '649', '861', '493', '667', '808', '25', '267', '598', '515', '569', '603', '574', '477', '5', '447', '422', '435', '760']
['473', '863', '312', '942', '129', '905', '386', '937', '20', '440', '464', '831', '692', '575', '434', '469', '399', '916', '97', '77', '476', '789', '604', '171', '459', '237', '154', '291', '514', '402', '698', '361', '133', '766', '879', '822', '380', '533', '356', '192', '241', '286', '408', '767', '91', '554', '457', '545', '563', '272']
['797', '551', '23', '319', '80', '273', '552', '632', '661', '250', '895', '176', '281', '839', '142', '58', '504', '503', '748', '492', '298', '810', '775', '841', '360', '597', '21', '46', '925', '101', '376', '627', '917', '401', '635', '795', '878', '226', '488', '252', '225', '553', '722', '336', '208', '365', '280', '785', '666', '846']
['724', '857', '35', '753', '941', '310', '501', '485', '521', '381', '56', '541', '811', '238', '216', '138', '295', '45', '883', '792', '200', '482', '909', '240', '903', '83', '180', '120', '301', '747', '743', '30', '712', '132', '453', '565', '585', '463', '907', '525', '95', '911', '190', '616', '678', '197', '609', '326']
['727', '710', '693', '560', '254', '610', '829', '768', '313', '949', '617', '719', '278', '263', '815', '398', '431', '160', '908', '624', '400', '127', '155', '781', '934', '149', '475', '852', '660', '720', '718', '297', '817', '448', '74', '538', '946', '379', '421', '866', '166', '205', '890', '392', '60', '113']
['531', '302', '63', '769', '580', '923', '265', '303', '723', '213', '38', '78', '495', '623', '346', '731', '72', '570', '595', '359', '915', '844', '601', '659', '424', '509', '734', '891', '926', '536', '677', '164', '728', '717', '621', '257', '279', '277', '223', '799', '173', '244', '117', '816', '914', '884']
['126', '136', '460', '519', '230', '806', '888', '437', '546', '156', '153', '220', '680', '384', '236', '219', '828', '765', '151', '910', '613', '282', '338', '228', '593', '673', '259', '468', '548', '245', '227', '870', '436', '121', '572', '540', '689', '329', '394', '16', '85', '526', '451', '141', '631', '128']
['17', '868', '143', '364', '276', '843', '102', '524', '586', '494', '246', '334', '582', '935', '202', '750', '527', '390', '936', '628', '118', '106', '349', '549', '433', '416', '588', '602', '61', '177', '749', '412', '703', '528', '590', '793', '730', '357', '152', '221', '274', '608', '480', '427', '561', '124']
['189', '193', '54', '801', '577', '505', '172', '373', '502', '902', '938', '778', '711', '928', '275', '103', '445', '770', '848', '375', '438', '513', '620', '325', '486', '924', '348', '212', '537', '391', '790', '242', '396', '191', '87', '59', '168', '50', '532', '562', '474', '7', '823', '387', '648', '826']
['209', '96', '714', '385', '271', '178', '922', '833', '307', '487', '599', '43', '322', '187', '218', '13', '858', '825', '439', '847', '483', '233', '945', '859', '370', '100', '566', '886', '308', '135', '3', '115', '306', '409', '88', '258', '611', '662', '181', '10', '119', '134', '885', '328', '147', '506']
['231', '641', '894', '165', '186', '876', '757', '821', '29', '507', '813', '309', '371', '358', '758', '33', '931', '207', '751', '557', '709', '763', '122', '198', '415', '681', '317', '787', '323', '721', '170', '105', '707', '791', '345', '802', '314', '774', '754', '389', '363', '285', '850', '559', '253', '629']
['264', '248', '643', '332', '736', '293', '247', '927', '591', '516', '484', '819', '66', '853', '498', '491', '14', '589', '454', '315', '656', '410', '175', '12', '856', '869', '708', '234', '944', '918', '726', '108', '741', '739', '742', '694', '809', '655', '664', '568', '706', '466', '547', '539', '140', '872']
['320', '411', '169', '89', '211', '162', '73', '780', '633', '947', '84', '146', '174', '19', '65', '807', '15', '465', '99', '300', '150', '343', '283', '44', '729', '9', '462', '881', '179', '612', '578', '571', '64', '873', '201', '290', '658', '688', '837', '887', '288', '639', '158', '489', '249', '798']
['452', '478', '744', '497', '675', '163', '665', '691', '835', '0', '640', '262', '605', '81', '204', '564', '481', '933', '94', '210', '671', '705', '470', '455', '904', '55', '849', '49', '921', '57', '845', '773', '430', '362', '508', '738', '354', '467', '37', '333', '663', '215', '638', '130', '90', '630']
['607', '683', '341', '116', '69', '652', '522', '239', '157', '104', '800', '499', '441', '269', '256', '752', '159', '24', '414', '304', '251', '555', '182', '854', '374', '2', '458', '583', '92', '772', '22', '669', '42', '929', '762', '337', '587', '771', '700', '696', '28', '764', '832', '701', '567', '581']
['788', '576', '145', '107', '217', '606', '619', '948', '827', '851', '784', '676', '268', '442', '912', '114', '425', '36', '637', '735', '520', '523', '653', '222', '82', '347', '556', '340', '684', '530', '31', '214', '47', '725', '804', '183', '592', '148', '732', '196', '713', '184', '8', '350', '919', '651']
