['912', '24', '337', '169', '626', '808', '396', '994', '745', '208', '515', '323', '673', '792', '444', '652', '46', '203', '801', '581', '776', '294', '434', '542', '226', '174', '16', '893', '995', '539', '566', '794', '334', '316', '791', '803', '577', '262', '867', '865']
['307', '795', '952', '738', '405', '739', '514', '49', '408', '900', '119', '153', '850', '145', '217', '858', '903', '844', '847', '797', '23', '676', '552', '253', '579', '258', '618', '911', '749', '790', '272', '179', '548', '136', '634', '447', '244', '424', '883', '508']
['814', '10', '32', '818', '837', '484', '205', '255', '487', '15', '9', '573', '630', '111', '439', '558', '584', '765', '137', '406', '490', '57', '488', '816', '580', '740', '419', '680', '475', '945', '389', '525', '600', '132', '247', '611', '339', '753', '101', '985']
['399', '639', '440', '91', '958', '606', '748', '734', '824', '350', '769', '310', '507', '0', '536', '250', '102', '829', '510', '335', '993', '384', '446', '655', '229', '551', '271', '303', '160', '361', '270', '88', '701', '736', '234', '154', '457', '276', '308', '974']
['213', '509', '197', '836', '352', '949', '876', '512', '38', '210', '252', '443', '64', '259', '482', '404', '379', '535', '812', '204', '87', '93', '39', '496', '887', '621', '299', '527', '133', '878', '678', '843', '528', '522', '720', '703']
['34', '209', '873', '934', '498', '806', '19', '670', '148', '343', '885', '342', '691', '315', '466', '499', '901', '518', '787', '660', '300', '601', '906', '877', '980', '322', '336', '722', '832', '516', '651', '604']
['410', '889', '284', '627', '754', '694', '817', '122', '915', '263', '6', '422', '388', '563', '364', '62', '321', '402', '979', '989', '966', '968', '215', '690', '557', '467', '653', '84', '982', '326', '369', '241']
['544', '641', '884', '950', '380', '928', '383', '242', '254', '14', '188', '667', '149', '947', '988', '159', '435', '354', '47', '657', '237', '960', '561', '631', '727', '356', '959', '372', '504', '186', '501', '151']
['333', '83', '181', '681', '559', '845', '783', '139', '987', '50', '162', '925', '992', '427', '194', '180', '940', '853', '476', '472', '78', '453', '21', '699', '1', '582', '381', '304', '393', '264', '784', '521']
['914', '668', '785', '688', '442', '671', '362', '25', '268', '417', '497', '325', '363', '973', '713', '780', '207', '981', '894', '711', '189', '874', '549', '13', '555', '141', '709', '319', '658', '568', '173', '297']
['553', '452', '42', '819', '931', '77', '619', '432', '445', '409', '728', '984', '972', '897', '112', '674', '282', '98', '182', '166', '743', '48', '124', '923', '505', '11', '438', '231', '870', '176', '684', '963']
['212', '937', '543', '650', '147', '480', '687', '274', '8', '802', '731', '702', '125', '615', '913', '866', '199', '82', '473', '593', '492', '919', '103', '376', '944', '214', '104', '74', '612', '370', '5', '954']
['178', '635', '460', '861', '712', '403', '831', '935', '81', '29', '341', '962', '965', '58', '881', '574', '846', '683', '540', '481', '971', '596', '18', '366', '778', '570', '3', '640', '371', '61', '471', '735']
['502', '236', '458', '63', '152', '855', '223', '774', '468', '848', '349', '531', '879', '916', '40', '700', '545', '267', '920', '314', '324', '279', '852', '175', '675', '800', '441', '7', '75', '759', '495', '192']
['811', '331', '741', '462', '891', '70', '423', '804', '762', '94', '644', '643', '391', '68', '775', '100', '249', '698', '538', '431', '588', '89', '286', '587', '107', '398', '532', '143', '92', '529', '632', '430']
['420', '526', '929', '554', '168', '594', '932', '320', '534', '454', '669', '686', '933', '31', '311', '222', '287', '390', '761', '158', '183', '220', '413', '524', '211', '491', '943', '302', '53', '367', '875', '760']
['477', '523', '723', '841', '69', '72', '298', '607', '216', '633', '589', '346', '550', '623', '368', '936', '533', '170', '232', '520', '546', '970', '105', '190', '221', '478', '757', '273', '948', '938', '782', '59']
['144', '571', '130', '638', '602', '387', '347', '519', '35', '171', '327', '196', '809', '246', '807', '820', '766', '329', '489', '165', '827', '744', '823', '131', '20', '285', '834', '746', '758', '2', '377', '201']
['219', '240', '565', '465', '951', '51', '815', '79', '969', '637', '67', '770', '155', '218', '695', '939', '45', '789', '730', '590', '73', '576', '429', '17', '12', '200', '976', '461', '129', '494', '828', '459']
['436', '469', '394', '418', '71', '198', '128', '86', '184', '106', '707', '27', '854', '860', '624', '899', '895', '332', '146', '164', '76', '358', '395', '265', '296', '592', '737', '918', '500', '705', '595', '97']
['605', '60', '693', '907', '305', '22', '583', '288', '772', '983', '609', '666', '33', '191', '113', '127', '134', '511', '591', '115', '917', '161', '622', '261', '905', '628', '385', '493', '710', '345', '978', '942']
['437', '109', '202', '986', '80', '412', '121', '922', '872', '400', '52', '415', '888', '840', '864', '120', '187', '464', '340', '956', '882', '338', '869', '318', '904', '37', '786', '908', '280', '54', '603', '449']
['257', '830', '921', '360', '645', '955', '56', '66', '26', '821', '185', '233', '747', '725', '755', '890', '909', '721', '967', '941', '856', '863', '708', '353', '156', '598', '714', '433', '961', '110', '117', '43']
['281', '777', '108', '642', '763', '344', '541', '706', '677', '926', '977', '428', '793', '796', '788', '578', '357', '95', '886', '195', '365', '726', '724', '613', '317', '266', '275', '648', '719', '239', '599', '636']
['751', '355', '799', '562', '421', '455', '142', '842', '30', '679', '729', '401', '839', '238', '742', '348', '764', '892', '36', '610', '392', '718', '28', '649', '301', '530', '697', '55', '245', '225', '896', '851']
['696', '586', '99', '871', '715', '251', '313', '407', '269', '833', '416', '243', '474', '704', '672', '902', '682', '248', '659', '278', '575', '537', '733', '798', '569', '450', '990', '126', '230', '567', '485', '157']
['172', '752', '617', '857', '283', '647', '114', '378', '898', '556', '456', '85', '426', '118', '716', '451', '448', '290', '629', '547', '227', '614', '685', '4', '414', '946', '656', '924', '805', '930', '732', '291']
['646', '96', '235', '375', '750', '386', '351', '692', '486', '625', '663', '560', '224', '975', '193', '597', '838', '849', '256', '228', '463', '813', '964', '689', '90', '835', '309', '620', '503', '717', '506', '163']
