['341', '414', '175', '326', '353', '534', '382', '571', '337', '204', '596', '244', '292', '593', '500', '142', '519', '268', '344', '168', '536', '125', '438', '329', '581', '397', '35', '688', '493', '103']
['95', '308', '343', '28', '320', '441', '407', '483', '570', '388', '453', '597', '622', '26', '4', '160', '99', '631', '248', '521', '421', '591', '678', '39', '54', '315', '7', '252', '628', '64']
['29', '413', '459', '188', '165', '304', '574', '223', '367', '634', '302', '442', '220', '225', '0', '672', '613', '646', '348', '655', '274', '659', '293', '157', '668', '599', '480', '324', '684', '389']
['434', '74', '263', '351', '196', '167', '313', '490', '558', '661', '12', '532', '266', '58', '222', '386', '488', '694', '136', '229', '208', '520', '280', '385', '542', '423', '377', '190', '600', '589']
['48', '410', '115', '216', '444', '206', '595', '513', '528', '368', '654', '156', '497', '619', '359', '370', '284', '126', '45', '335', '92', '451', '264', '632', '540', '174', '387', '66', '697', '578']
['657', '355', '150', '169', '565', '516', '362', '649', '541', '333', '330', '288', '68', '603', '445', '585', '517', '93', '230', '478', '590', '582']
['699', '172', '518', '508', '651', '183', '567', '396', '698', '259', '146', '653', '325', '202', '432', '90', '116', '238', '22', '105', '246', '506']
['11', '37', '239', '428', '61', '276', '47', '554', '641', '166', '13', '494', '250', '652', '111', '559', '243', '210', '557', '334', '137', '399']
['110', '643', '683', '269', '639', '471', '354', '192', '98', '237', '621', '588', '669', '342', '687', '496', '671', '549', '346', '406', '44', '485']
['138', '667', '159', '564', '228', '51', '41', '331', '152', '537', '644', '235', '199', '305', '298', '134', '9', '285', '178', '186', '360', '87']
['143', '499', '601', '271', '102', '475', '609', '682', '547', '476', '415', '612', '121', '696', '400', '114', '424', '577', '332', '690', '141', '262']
['176', '106', '544', '179', '616', '119', '108', '460', '617', '691', '328', '8', '301', '14', '63', '203', '83', '236', '218', '140', '681', '633']
['193', '686', '81', '295', '563', '270', '664', '73', '637', '76', '393', '275', '254', '27', '42', '380', '312', '495', '405', '255', '314', '583']
['180', '533', '586', '510', '692', '265', '515', '100', '566', '78', '674', '636', '467', '504', '154', '107', '207', '38', '15', '426', '289', '437']
['525', '662', '417', '80', '409', '34', '395', '607', '561', '139', '84', '477', '82', '611', '502', '65', '88', '645', '482', '422', '680', '278']
['197', '345', '530', '181', '282', '615', '227', '306', '465', '211', '374', '677', '177', '131', '419', '665', '349', '373', '642', '36', '365', '56']
['279', '363', '647', '21', '214', '6', '656', '283', '70', '59', '592', '32', '257', '133', '529', '1', '526', '369', '552', '120', '258', '57']
['281', '164', '484', '124', '685', '587', '323', '398', '679', '5', '610', '77', '130', '170', '455', '439', '213', '357', '86', '171', '31', '580']
['161', '128', '10', '336', '569', '16', '350', '443', '311', '512', '219', '514', '97', '598', '408', '472', '122', '464', '430', '256', '553', '189']
['322', '135', '456', '267', '185', '53', '555', '470', '117', '226', '640', '104', '364', '260', '221', '310', '463', '448', '251', '666', '240', '49']
['503', '253', '401', '548', '198', '195', '556', '25', '69', '446', '538', '300', '689', '594', '436', '20', '427', '522', '212', '614', '294', '318']
['23', '623', '627', '620', '630', '466', '231', '118', '233', '43', '67', '2', '440', '498', '650', '492', '149', '46', '403', '486', '60', '366']
['433', '452', '390', '608', '392', '184', '321', '462', '376', '394', '309', '545', '112', '245', '234', '454', '487', '602', '247', '579', '560', '511']
['435', '347', '173', '648', '693', '101', '606', '670', '201', '546', '327', '658', '109', '50', '209', '340', '663', '489', '474', '624', '457', '89']
['30', '379', '129', '626', '429', '52', '217', '673', '383', '375', '319', '113', '468', '272', '62', '163', '573', '449', '491', '625', '127', '418']
['431', '249', '501', '144', '317', '384', '91', '287', '71', '461', '205', '291', '242', '33', '416', '145', '543', '562', '307', '618', '153', '551']
['215', '24', '339', '629', '356', '158', '450', '371', '660', '79', '635', '404', '55', '576', '123', '372', '479', '299', '381', '94', '296', '316']
['527', '96', '155', '550', '584', '575', '338', '75', '420', '458', '303', '402', '469', '297', '18', '277', '411', '290', '85', '568', '232', '676']
['531', '17', '151', '523', '425', '447', '378', '638', '675', '191', '224', '473', '481', '412', '539', '286', '132', '524', '605', '695', '505', '358']
['535', '261', '187', '19', '391', '604', '40', '148', '241', '352', '182', '509', '507', '572', '273', '3', '200', '361', '147', '194', '72', '162']
